序号,学校招生代码,学校名称,所属区,办别,学校类型,寄宿情况,计划区域,计划数
1,042032,上海市上海中学,上海市,公办,市实验性示范性高中,全部寄宿,嘉定,10
2,102056,上海交通大学附属中学,上海市,公办,市实验性示范性高中,部分寄宿,嘉定,9
3,102057,复旦大学附属中学,上海市,公办,市实验性示范性高中,部分寄宿,嘉定,10
4,152003,华东师范大学第二附属中学,上海市,公办,市实验性示范性高中,部分寄宿,嘉定,10
5,152006,上海师范大学附属中学,上海市,公办,市实验性示范性高中,部分寄宿,嘉定,3
6,012001,上海市格致中学,黄浦区,公办,市实验性示范性高中,部分寄宿,嘉定,5
7,012003,上海市大同中学,黄浦区,公办,市实验性示范性高中,部分寄宿,嘉定,4
8,012008,上海市光明中学,黄浦区,公办,市实验性示范性高中,无寄宿,嘉定,1
9,012010,上海市卢湾高级中学,黄浦区,公办,市实验性示范性高中,部分寄宿,嘉定,6
10,042001,上海市第二中学,徐汇区,公办,市实验性示范性高中,无寄宿,嘉定,5
11,042008,上海市南洋模范中学,徐汇区,公办,市实验性示范性高中,部分寄宿,嘉定,4
12,042035,上海市位育中学,徐汇区,公办,市实验性示范性高中,全部寄宿,嘉定,2
13,043015,上海市南洋中学,徐汇区,公办,市实验性示范性高中,部分寄宿,嘉定,2
14,042036,复旦大学附属中学徐汇分校,徐汇区,公办,"享受市实验性示范性高中招生政策高中",全部寄宿,嘉定,3
15,052001,上海市第三女子中学,长宁区,公办,市实验性示范性高中,部分寄宿,嘉定,4
16,052002,上海市延安中学,长宁区,公办,市实验性示范性高中,全部寄宿,嘉定,5
17,053004,上海市复旦中学,长宁区,公办,市实验性示范性高中,全部寄宿,嘉定,4
18,062002,上海市育才中学,静安区,公办,市实验性示范性高中,全部寄宿,嘉定,10
19,062003,上海市新中高级中学,静安区,公办,市实验性示范性高中,部分寄宿,嘉定,4
20,062004,上海市市北中学,静安区,公办,市实验性示范性高中,无寄宿,嘉定,3
21,064001,上海市华东模范中学,静安区,公办,市实验性示范性高中,无寄宿,嘉定,2
22,072001,上海市晋元高级中学,普陀区,公办,市实验性示范性高中,全部寄宿,嘉定,10
23,072002,上海市曹杨第二中学,普陀区,公办,市实验性示范性高中,部分寄宿,嘉定,12
24,073003,上海市宜川中学,普陀区,公办,市实验性示范性高中,无寄宿,嘉定,7
25,073082,"华东师范大学第二附属中学（普陀校区）",普陀区,公办,"享受市实验性示范性高中招生政策高中",部分寄宿,嘉定,6
26,092001,上海市复兴高级中学,虹口区,公办,市实验性示范性高中,部分寄宿,嘉定,5
27,092002,华东师范大学第一附属中学,虹口区,公办,市实验性示范性高中,部分寄宿,嘉定,5
28,093001,"上海财经大学附属北郊高级中学",虹口区,公办,市实验性示范性高中,无寄宿,嘉定,2
29,102004,上海市杨浦高级中学,杨浦区,公办,市实验性示范性高中,部分寄宿,嘉定,5
30,102032,上海市控江中学,杨浦区,公办,市实验性示范性高中,部分寄宿,嘉定,5
31,103002,同济大学第一附属中学,杨浦区,公办,市实验性示范性高中,部分寄宿,嘉定,5
32,122001,上海市七宝中学,闵行区,公办,市实验性示范性高中,部分寄宿,嘉定,6
33,123001,上海市闵行中学,闵行区,公办,市实验性示范性高中,部分寄宿,嘉定,12
34,122002,"华东师范大学第二附属中学闵行紫竹分校",闵行区,公办,"享受市实验性示范性高中招生政策高中",部分寄宿,嘉定,3
35,122003,"上海师范大学附属中学闵行分校",闵行区,公办,"享受市实验性示范性高中招生政策高中",部分寄宿,嘉定,2
36,132001,上海市行知中学,宝山区,公办,市实验性示范性高中,部分寄宿,嘉定,6
37,132002,上海大学附属中学,宝山区,公办,市实验性示范性高中,部分寄宿,嘉定,9
38,133001,上海市吴淞中学,宝山区,公办,市实验性示范性高中,部分寄宿,嘉定,13
39,132003,"上海师范大学附属中学宝山分校",宝山区,公办,"享受市实验性示范性高中招生政策高中",全部寄宿,嘉定,2
40,133003,"华东师范大学第二附属中学（宝山校区）",宝山区,公办,"享受市实验性示范性高中招生政策高中",全部寄宿,嘉定,3
41,142001,上海市嘉定区第一中学,嘉定区,公办,市实验性示范性高中,部分寄宿,嘉定,9
42,142002,"上海交通大学附属中学嘉定分校",嘉定区,公办,"享受市实验性示范性高中招生政策高中",部分寄宿,嘉定,10
43,152001,上海市建平中学,浦东新区,公办,市实验性示范性高中,部分寄宿,嘉定,4
44,152002,上海市进才中学,浦东新区,公办,市实验性示范性高中,全部寄宿,嘉定,5
45,152004,上海南汇中学,浦东新区,公办,市实验性示范性高中,部分寄宿,嘉定,14
46,153001,上海市洋泾中学,浦东新区,公办,市实验性示范性高中,部分寄宿,嘉定,4
47,153004,上海市高桥中学,浦东新区,公办,市实验性示范性高中,部分寄宿,嘉定,7
48,153005,上海市川沙中学,浦东新区,公办,市实验性示范性高中,部分寄宿,嘉定,6
49,151078,上海中学东校,浦东新区,公办,"享受市实验性示范性高中招生政策高中",全部寄宿,嘉定,2
50,152005,上海市浦东复旦附中分校,浦东新区,公办,"享受市实验性示范性高中招生政策高中",全部寄宿,嘉定,4
51,162000,上海市金山中学,金山区,公办,市实验性示范性高中,全部寄宿,嘉定,2
52,163002,华东师范大学第三附属中学,金山区,公办,市实验性示范性高中,全部寄宿,嘉定,3
53,172001,上海市松江二中,松江区,公办,市实验性示范性高中,全部寄宿,嘉定,3
54,173001,上海市松江一中,松江区,公办,市实验性示范性高中,部分寄宿,嘉定,4
55,172002,"华东师范大学第二附属中学松江分校",松江区,公办,"享受市实验性示范性高中招生政策高中",部分寄宿,嘉定,1
56,174003,"上海外国语大学附属外国语学校松江云间中学",松江区,公办,"享受市实验性示范性高中招生政策高中",部分寄宿,嘉定,5
57,182001,上海市青浦高级中学,青浦区,公办,市实验性示范性高中,部分寄宿,嘉定,10
58,183002,上海市朱家角中学,青浦区,公办,市实验性示范性高中,部分寄宿,嘉定,7
59,182002,复旦大学附属中学青浦分校,青浦区,公办,"享受市实验性示范性高中招生政策高中",全部寄宿,嘉定,4
60,202001,上海市奉贤中学,奉贤区,公办,市实验性示范性高中,全部寄宿,嘉定,2
61,512000,上海市崇明中学,崇明区,公办,市实验性示范性高中,全部寄宿,嘉定,4
