序号,学校招生代码,学校名称,所属区,办别,学校类型,寄宿情况,计划区域,计划数
1,042032,上海市上海中学,上海市,公办,市实验性示范性高中,全部寄宿,宝山,11
2,102056,上海交通大学附属中学,上海市,公办,市实验性示范性高中,部分寄宿,宝山,18
3,102057,复旦大学附属中学,上海市,公办,市实验性示范性高中,部分寄宿,宝山,14
4,152003,华东师范大学第二附属中学,上海市,公办,市实验性示范性高中,部分寄宿,宝山,10
5,012001,上海市格致中学,黄浦区,公办,市实验性示范性高中,部分寄宿,宝山,15
6,012003,上海市大同中学,黄浦区,公办,市实验性示范性高中,部分寄宿,宝山,5
7,012008,上海市光明中学,黄浦区,公办,市实验性示范性高中,无寄宿,宝山,3
8,042001,上海市第二中学,徐汇区,公办,市实验性示范性高中,无寄宿,宝山,2
9,042008,上海市南洋模范中学,徐汇区,公办,市实验性示范性高中,部分寄宿,宝山,3
10,042035,上海市位育中学,徐汇区,公办,市实验性示范性高中,全部寄宿,宝山,5
11,043015,上海市南洋中学,徐汇区,公办,市实验性示范性高中,部分寄宿,宝山,2
12,052001,上海市第三女子中学,长宁区,公办,市实验性示范性高中,部分寄宿,宝山,3
13,052002,上海市延安中学,长宁区,公办,市实验性示范性高中,全部寄宿,宝山,2
14,053004,上海市复旦中学,长宁区,公办,市实验性示范性高中,全部寄宿,宝山,1
15,062001,上海市市西中学,静安区,公办,市实验性示范性高中,无寄宿,宝山,5
16,062002,上海市育才中学,静安区,公办,市实验性示范性高中,全部寄宿,宝山,7
17,062003,上海市新中高级中学,静安区,公办,市实验性示范性高中,部分寄宿,宝山,26
18,062004,上海市市北中学,静安区,公办,市实验性示范性高中,无寄宿,宝山,8
19,062011,上海市回民中学,静安区,公办,市实验性示范性高中,部分寄宿,宝山,9
20,063004,上海市第六十中学,静安区,公办,市实验性示范性高中,无寄宿,宝山,12
21,064001,上海市华东模范中学,静安区,公办,市实验性示范性高中,无寄宿,宝山,2
22,072001,上海市晋元高级中学,普陀区,公办,市实验性示范性高中,全部寄宿,宝山,28
23,072002,上海市曹杨第二中学,普陀区,公办,市实验性示范性高中,部分寄宿,宝山,10
24,073003,上海市宜川中学,普陀区,公办,市实验性示范性高中,无寄宿,宝山,8
25,092001,上海市复兴高级中学,虹口区,公办,市实验性示范性高中,部分寄宿,宝山,11
26,092002,华东师范大学第一附属中学,虹口区,公办,市实验性示范性高中,部分寄宿,宝山,5
27,093001,上海财经大学附属北郊高级中学,虹口区,公办,市实验性示范性高中,无寄宿,宝山,6
28,102004,上海市杨浦高级中学,杨浦区,公办,市实验性示范性高中,部分寄宿,宝山,9
29,102032,上海市控江中学,杨浦区,公办,市实验性示范性高中,部分寄宿,宝山,10
30,103002,同济大学第一附属中学,杨浦区,公办,市实验性示范性高中,部分寄宿,宝山,15
31,122001,上海市七宝中学,闵行区,公办,市实验性示范性高中,部分寄宿,宝山,5
32,123001,上海市闵行中学,闵行区,公办,市实验性示范性高中,部分寄宿,宝山,10
33,122002,华东师范大学第二附属中学闵行紫竹分校,闵行区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,宝山,2
