序号,学校招生代码,学校名称,所属区,办别,学校类型,寄宿情况,计划区域,计划数
1,042032,上海市上海中学,上海市,公办,市实验性示范性高中,全部寄宿,浦东,36
2,102056,上海交通大学附属中学,上海市,公办,市实验性示范性高中,部分寄宿,浦东,64
3,102057,复旦大学附属中学,上海市,公办,市实验性示范性高中,部分寄宿,浦东,42
4,152003,华东师范大学第二附属中学,上海市,公办,市实验性示范性高中,部分寄宿,浦东,121
5,152006,上海师范大学附属中学,上海市,公办,市实验性示范性高中,部分寄宿,浦东,105
6,155001,上海市实验学校,上海市,公办,市实验性示范性高中,部分寄宿,浦东,54
7,012001,上海市格致中学,黄浦区,公办,市实验性示范性高中,部分寄宿,浦东,25
8,012003,上海市大同中学,黄浦区,公办,市实验性示范性高中,部分寄宿,浦东,60
9,012005,上海市向明中学,黄浦区,公办,市实验性示范性高中,无寄宿,浦东,25
10,012007,上海外国语大学附属大境中学,黄浦区,公办,市实验性示范性高中,部分寄宿,浦东,57
11,012008,上海市光明中学,黄浦区,公办,市实验性示范性高中,无寄宿,浦东,44
12,012009,上海市敬业中学,黄浦区,公办,市实验性示范性高中,无寄宿,浦东,43
13,012010,上海市卢湾高级中学,黄浦区,公办,市实验性示范性高中,部分寄宿,浦东,35
14,042001,上海市第二中学,徐汇区,公办,市实验性示范性高中,无寄宿,浦东,6
15,042008,上海市南洋模范中学,徐汇区,公办,市实验性示范性高中,部分寄宿,浦东,9
16,042035,上海市位育中学,徐汇区,公办,市实验性示范性高中,全部寄宿,浦东,14
17,043015,上海市南洋中学,徐汇区,公办,市实验性示范性高中,部分寄宿,浦东,18
18,042036,复旦大学附属中学徐汇分校,徐汇区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,浦东,5
19,052001,上海市第三女子中学,长宁区,公办,市实验性示范性高中,部分寄宿,浦东,8
20,052002,上海市延安中学,长宁区,公办,市实验性示范性高中,全部寄宿,浦东,13
21,053004,上海市复旦中学,长宁区,公办,市实验性示范性高中,全部寄宿,浦东,8
22,062001,上海市市西中学,静安区,公办,市实验性示范性高中,无寄宿,浦东,15
23,062002,上海市育才中学,静安区,公办,市实验性示范性高中,全部寄宿,浦东,14
24,062003,上海市新中高级中学,静安区,公办,市实验性示范性高中,部分寄宿,浦东,7
25,062004,上海市市北中学,静安区,公办,市实验性示范性高中,无寄宿,浦东,20
26,062011,上海市回民中学,静安区,公办,市实验性示范性高中,部分寄宿,浦东,10
27,063004,上海市第六十中学,静安区,公办,市实验性示范性高中,无寄宿,浦东,14
28,064001,上海市华东模范中学,静安区,公办,市实验性示范性高中,无寄宿,浦东,12
