序号,学校 招生代码,学校名称,所属区,办别,学校类型,寄宿情况,计划区域,计划数
1,042032,上海市上海中学,上海市,公办,市实验性示范性高中,全部寄宿,闵行,50
2,102056,上海交通大学附属中学,上海市,公办,市实验性示范性高中,部分寄宿,闵行,26
3,102057,复旦大学附属中学,上海市,公办,市实验性示范性高中,部分寄宿,闵行,28
4,152003,华东师范大学第二附属中学,上海市,公办,市实验性示范性高中,部分寄宿,闵行,21
5,152006,上海师范大学附属中学,上海市,公办,市实验性示范性高中,部分寄宿,闵行,39
6,012001,上海市格致中学,黄浦区,公办,市实验性示范性高中,部分寄宿,闵行,5
7,012003,上海市大同中学,黄浦区,公办,市实验性示范性高中,部分寄宿,闵行,15
8,012007,上海外国语大学附属大境中学,黄浦区,公办,市实验性示范性高中,部分寄宿,闵行,10
9,012008,上海市光明中学,黄浦区,公办,市实验性示范性高中,无寄宿,闵行,12
10,012009,上海市敬业中学,黄浦区,公办,市实验性示范性高中,无寄宿,闵行,6
11,012010,上海市卢湾高级中学,黄浦区,公办,市实验性示范性高中,部分寄宿,闵行,20
12,012006,上海市向明中学（浦江校区）,黄浦区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,闵行,23
13,042008,上海市南洋模范中学,徐汇区,公办,市实验性示范性高中,部分寄宿,闵行,16
14,042035,上海市位育中学,徐汇区,公办,市实验性示范性高中,全部寄宿,闵行,32
15,043015,上海市南洋中学,徐汇区,公办,市实验性示范性高中,部分寄宿,闵行,18
16,042002,上海市第二中学（梅陇校区）,徐汇区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,闵行,12
17,042036,复旦大学附属中学徐汇分校,徐汇区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,闵行,10
18,052001,上海市第三女子中学,长宁区,公办,市实验性示范性高中,部分寄宿,闵行,4
19,052002,上海市延安中学,长宁区,公办,市实验性示范性高中,全部寄宿,闵行,8
20,053004,上海市复旦中学,长宁区,公办,市实验性示范性高中,全部寄宿,闵行,7
21,062001,上海市市西中学,静安区,公办,市实验性示范性高中,无寄宿,闵行,5
22,062002,上海市育才中学,静安区,公办,市实验性示范性高中,全部寄宿,闵行,5
23,062003,上海市新中高级中学,静安区,公办,市实验性示范性高中,部分寄宿,闵行,4
24,062004,上海市市北中学,静安区,公办,市实验性示范性高中,无寄宿,闵行,7
25,062011,上海市回民中学,静安区,公办,市实验性示范性高中,部分寄宿,闵行,7
26,063004,上海市第六十中学,静安区,公办,市实验性示范性高中,无寄宿,闵行,5
27,064001,上海市华东模范中学,静安区,公办,市实验性示范性高中,无寄宿,闵行,4
28,072002,上海市曹杨第二中学,普陀区,公办,市实验性示范性高中,部分寄宿,闵行,6
29,073003,上海市宜川中学,普陀区,公办,市实验性示范性高中,无寄宿,闵行,4
30,093001,上海财经大学附属北郊高级中学,虹口区,公办,市实验性示范性高中,无寄宿,闵行,4
31,102004,上海市杨浦高级中学,杨浦区,公办,市实验性示范性高中,部分寄宿,闵行,5
32,102032,上海市控江中学,杨浦区,公办,市实验性示范性高中,部分寄宿,闵行,7
33,103002,同济大学第一附属中学,杨浦区,公办,市实验性示范性高中,部分寄宿,闵行,4
34,122001,上海市七宝中学,闵行区,公办,市实验性示范性高中,部分寄宿,闵行,12
35,123001,上海市闵行中学,闵行区,公办,市实验性示范性高中,部分寄宿,闵行,12
36,122002,华东师范大学第二附属中学闵行紫竹分校,闵行区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,闵行,7
37,122003,上海师范大学附属中学闵行分校,闵行区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,闵行,7
38,122004,上海交通大学附属中学闵行分校,闵行区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,闵行,6
39,132001,上海市行知中学,宝山区,公办,市实验性示范性高中,部分寄宿,闵行,6
40,132002,上海大学附属中学,宝山区,公办,市实验性示范性高中,部分寄宿,闵行,14
41,133001,上海市吴淞中学,宝山区,公办,市实验性示范性高中,部分寄宿,闵行,5
42,133003,"华东师范大学第二附属中学
（宝山校区）",宝山区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,闵行,3
43,142001,上海市嘉定区第一中学,嘉定区,公办,市实验性示范性高中,部分寄宿,闵行,8
44,142002,上海交通大学附属中学嘉定分校,嘉定区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,闵行,10
45,152001,上海市建平中学,浦东新区,公办,市实验性示范性高中,部分寄宿,闵行,8
46,152002,上海市进才中学,浦东新区,公办,市实验性示范性高中,全部寄宿,闵行,10
47,152004,上海南汇中学,浦东新区,公办,市实验性示范性高中,部分寄宿,闵行,14
48,153001,上海市洋泾中学,浦东新区,公办,市实验性示范性高中,部分寄宿,闵行,10
49,153004,上海市高桥中学,浦东新区,公办,市实验性示范性高中,部分寄宿,闵行,5
50,153005,上海市川沙中学,浦东新区,公办,市实验性示范性高中,部分寄宿,闵行,8
51,151078,上海中学东校,浦东新区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,闵行,14
52,152005,上海市浦东复旦附中分校,浦东新区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,闵行,6
53,162000,上海市金山中学,金山区,公办,市实验性示范性高中,全部寄宿,闵行,13
54,163002,华东师范大学第三附属中学,金山区,公办,市实验性示范性高中,全部寄宿,闵行,8
55,172001,上海市松江二中,松江区,公办,市实验性示范性高中,全部寄宿,闵行,10
56,173001,上海市松江一中,松江区,公办,市实验性示范性高中,部分寄宿,闵行,8
57,172002,华东师范大学第二附属中学松江分校,松江区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,闵行,4
58,174003,上海外国语大学附属外国语学校松江云间中学,松江区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,闵行,10
59,182001,上海市青浦高级中学,青浦区,公办,市实验性示范性高中,部分寄宿,闵行,14
60,183002,上海市朱家角中学,青浦区,公办,市实验性示范性高中,部分寄宿,闵行,14
61,182002,复旦大学附属中学青浦分校,青浦区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,闵行,5
62,202001,上海市奉贤中学,奉贤区,公办,市实验性示范性高中,全部寄宿,闵行,15
