序号,学校生代码,学校名称,所属区,办别,学校类型,寄宿情况,计划区域,计划数
1,042032,上海市上海中学,上海市,公办,市实验性示范性高中,全部寄宿,黄浦,7
2,102056,上海交通大学附属中学,上海市,公办,市实验性示范性高中,部分寄宿,黄浦,7
3,102057,复旦大学附属中学,上海市,公办,市实验性示范性高中,部分寄宿,黄浦,10
4,152003,华东师范大学第二附属中学,上海市,公办,市实验性示范性高中,部分寄宿,黄浦,10
5,012001,上海市格致中学,黄浦区,公办,市实验性示范性高中,部分寄宿,黄浦,3
6,012003,上海市大同中学,黄浦区,公办,市实验性示范性高中,部分寄宿,黄浦,3
7,012005,上海市向明中学,黄浦区,公办,市实验性示范性高中,无寄宿,黄浦,2
8,012007,上海外国语大学附属大境中学,黄浦区,公办,市实验性示范性高中,部分寄宿,黄浦,3
9,012008,上海市光明中学,黄浦区,公办,市实验性示范性高中,无寄宿,黄浦,3
10,012009,上海市敬业中学,黄浦区,公办,市实验性示范性高中,无寄宿,黄浦,3
11,012010,上海市卢湾高级中学,黄浦区,公办,市实验性示范性高中,部分寄宿,黄浦,3
12,012002,上海市格致中学（奉贤校区）,黄浦区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,黄浦,20
13,012006,上海市向明中学（浦江校区）,黄浦区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,黄浦,15
14,042001,上海市第二中学,徐汇区,公办,市实验性示范性高中,无寄宿,黄浦,3
15,042008,上海市南洋模范中学,徐汇区,公办,市实验性示范性高中,部分寄宿,黄浦,8
16,042035,上海市位育中学,徐汇区,公办,市实验性示范性高中,全部寄宿,黄浦,2
17,043015,上海市南洋中学,徐汇区,公办,市实验性示范性高中,部分寄宿,黄浦,3
18,052001,上海市第三女子中学,长宁区,公办,市实验性示范性高中,部分寄宿,黄浦,2
19,052002,上海市延安中学,长宁区,公办,市实验性示范性高中,全部寄宿,黄浦,3
20,053004,上海市复旦中学,长宁区,公办,市实验性示范性高中,全部寄宿,黄浦,2
21,062001,上海市市西中学,静安区,公办,市实验性示范性高中,无寄宿,黄浦,5
22,062002,上海市育才中学,静安区,公办,市实验性示范性高中,全部寄宿,黄浦,2
23,062004,上海市市北中学,静安区,公办,市实验性示范性高中,无寄宿,黄浦,5
24,062011,上海市回民中学,静安区,公办,市实验性示范性高中,部分寄宿,黄浦,1
25,063004,上海市第六十中学,静安区,公办,市实验性示范性高中,无寄宿,黄浦,1
26,064001,上海市华东模范中学,静安区,公办,市实验性示范性高中,无寄宿,黄浦,2
27,072002,上海市曹杨第二中学,普陀区,公办,市实验性示范性高中,部分寄宿,黄浦,2
28,073003,上海市宜川中学,普陀区,公办,市实验性示范性高中,无寄宿,黄浦,4
29,073082,"华东师范大学第二附属中学（普陀校区）",普陀区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,黄浦,3
30,092002,华东师范大学第一附属中学,虹口区,公办,市实验性示范性高中,部分寄宿,黄浦,2
31,102004,上海市杨浦高级中学,杨浦区,公办,市实验性示范性高中,部分寄宿,黄浦,3
32,102032,上海市控江中学,杨浦区,公办,市实验性示范性高中,部分寄宿,黄浦,7
33,122001,上海市七宝中学,闵行区,公办,市实验性示范性高中,部分寄宿,黄浦,5
34,123001,上海市闵行中学,闵行区,公办,市实验性示范性高中,部分寄宿,黄浦,3
35,122002,华东师范大学第二附属中学闵行紫竹分校,闵行区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,黄浦,3
36,122003,上海师范大学附属中学闵行分校,闵行区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,黄浦,3
37,132001,上海市行知中学,宝山区,公办,市实验性示范性高中,部分寄宿,黄浦,2
38,132002,上海大学附属中学,宝山区,公办,市实验性示范性高中,部分寄宿,黄浦,2
39,133001,上海市吴淞中学,宝山区,公办,市实验性示范性高中,部分寄宿,黄浦,1
40,132003,上海师范大学附属中学宝山分校,宝山区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,黄浦,1
41,133003,"华东师范大学第二附属中学（宝山校区）",宝山区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,黄浦,2
42,142001,上海市嘉定区第一中学,嘉定区,公办,市实验性示范性高中,部分寄宿,黄浦,3
43,142002,上海交通大学附属中学嘉定分校,嘉定区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,黄浦,7
44,152001,上海市建平中学,浦东新区,公办,市实验性示范性高中,部分寄宿,黄浦,10
45,152002,上海市进才中学,浦东新区,公办,市实验性示范性高中,全部寄宿,黄浦,7
46,152004,上海南汇中学,浦东新区,公办,市实验性示范性高中,部分寄宿,黄浦,6
47,153001,上海市洋泾中学,浦东新区,公办,市实验性示范性高中,部分寄宿,黄浦,7
48,153004,上海市高桥中学,浦东新区,公办,市实验性示范性高中,部分寄宿,黄浦,3
49,153005,上海市川沙中学,浦东新区,公办,市实验性示范性高中,部分寄宿,黄浦,6
50,152005,上海市浦东复旦附中分校,浦东新区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,黄浦,10
51,162000,上海市金山中学,金山区,公办,市实验性示范性高中,全部寄宿,黄浦,2
52,163002,华东师范大学第三附属中学,金山区,公办,市实验性示范性高中,全部寄宿,黄浦,4
53,172001,上海市松江二中,松江区,公办,市实验性示范性高中,全部寄宿,黄浦,2
54,173001,上海市松江一中,松江区,公办,市实验性示范性高中,部分寄宿,黄浦,2
55,174003,上海外国语大学附属外国语学校松江云间中学,松江区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,黄浦,3
56,182001,上海市青浦高级中学,青浦区,公办,市实验性示范性高中,部分寄宿,黄浦,2
57,183002,上海市朱家角中学,青浦区,公办,市实验性示范性高中,部分寄宿,黄浦,2
58,182002,复旦大学附属中学青浦分校,青浦区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,黄浦,2
59,202001,上海市奉贤中学,奉贤区,公办,市实验性示范性高中,全部寄宿,黄浦,2
