序号,学校代码,学校名称,上海市行知中学,上海市吴淞中学,上海大学附属中学,华东师范大学第二附属中学（宝山校区）,上海师范大学附属中学宝山分校,上海市上海中学,华东师范大学第二附属中学,复旦大学附属中学,上海交通大学附属中学
1,131002,上海市淞谊中学,8,9,9,3,1,,,,
2,131004,上海市宝山区教育学院附属中学,7,6,5,2,1,,,,
3,131006,上海市吴淞初级中学,1,1,1,1,0,,,,
4,131008,上海市海滨第二中学,3,2,3,1,0,,,,
5,131009,上海民办宝莲中学,7,7,8,2,1,,,1,
6,131010,上海市吴淞第二中学,2,2,2,1,0,,,,
7,131011,上海市虎林中学,3,2,3,2,0,1,,,
8,131012,上海市泗塘中学,4,4,4,1,1,,,,
9,131013,上海市宝山区求真中学北校,1,1,3,1,0,,,,
10,131014,上海市泗塘第二中学,2,2,3,1,1,,,,1
11,131015,上海市长江第二中学,6,5,7,1,0,,,,
12,131016,上海市宝山区求真中学,6,7,6,2,3,,1,,
13,131018,上海市大场中学,2,4,2,1,0,,,1,
14,131019,上海市大华中学,2,3,3,1,1,,,,
15,131020,上海市月浦中学,3,2,2,1,1,,,,1
16,131023,上海市罗泾中学,4,3,5,1,1,,,,
17,131026,上海市罗南中学,4,3,3,1,1,1,,,
18,131035,上海市民办交华中学,7,7,7,2,1,,,,
19,131036,上海市宝山区高境镇第三中学,3,2,5,1,0,,,,
20,131038,上海市宝山区罗店第二中学,4,4,3,1,0,,,,
21,131039,上海市宝山区乐之中学,3,2,3,1,0,,,,
22,131040,上海市宝山区美兰湖中学,3,4,3,1,0,,,,
23,131041,上海市宝山区杨泰实验中学,7,10,7,3,1,,,,
24,131042,上海师范大学附属宝山经纬实验中学,6,7,7,3,2,,,,
25,133002,上海师范大学附属宝山罗店中学,2,2,2,1,1,,,,
26,134004,上海市顾村中学,6,5,6,1,0,,,,
27,134005,上海市行知实验中学,2,2,2,1,1,,,,1
28,134006,上海市高境第一中学,1,1,1,1,1,,,,
29,134008,上海市盛桥中学,2,2,1,1,0,,,,
30,135001,上海市同洲模范学校,4,5,3,1,0,,,,
31,135002,上海市宝山实验学校,12,9,9,3,1,,,,
32,135004,上海市民办锦秋学校,1,1,1,1,0,,,,
33,135005,上海市月浦实验学校,4,4,6,1,2,,,,
34,135006,上海市宝钢新世纪学校,6,5,6,2,2,,,,
35,135007,上海市吴淞实验学校,4,3,3,1,1,,,,1
36,135009,上海市宝山区天馨学校,2,2,3,1,0,,,,
37,135010,上海市宝山区上海大学附属中学实验学校,5,5,5,1,1,,,,
38,135011,上海市宝山区共富实验学校,9,8,8,3,1,,,,
39,135012,华东师范大学宝山实验学校,5,5,4,1,0,,1,,
40,135013,上海大学附属学校,7,8,9,2,1,,,,
41,135014,上海农场学校,1,1,1,1,0,,,,
42,135018,上海市宝山区馨家园学校,2,2,3,1,1,,,,
43,135019,上海世外教育附属宝山大华实验学校,2,2,2,1,0,,,1,
44,135020,上海市宝山区教育学院实验学校,2,2,2,1,0,,,,
45,135021,上海市宝山区鹿鸣学校,2,2,3,1,1,,,,
46,135022,上海市宝山区庙行实验学校,2,2,2,1,2,,,,
47,135023,上海市宝山区顾村实验学校,2,2,2,1,2,,,,
48,135024,上海市教育学会宝山实验学校,2,1,1,1,0,,,,
49,135025,上海市宝山区行知外国语学校,2,2,2,1,1,,,,
50,135026,上海市宝山区新民实验学校,3,3,3,1,0,,,,1
51,135027,上海市刘行新华实验学校,6,4,4,1,1,,,,
52,135028,上海民办华曜宝山实验学校,7,5,5,2,1,,,,
53,135029,上海大学附属宝山外国语学校,1,3,1,1,0,,,,
54,135030,"上海市白茅岭学校（上海市白茅岭学校军天湖分校）",0,2,0,0,0,,,,
55,135031,上海外国语大学附属宝山双语学校,1,1,2,1,1,,,,
56,135032,上海市行知中学附属宝山实验学校,1,1,1,1,0,,,,
57,135033,上海民办至德实验学校,7,7,8,2,2,,,1,
58,135034,上海宝山区世外学校,2,3,2,1,0,,,,
59,135035,上海师范大学附属宝山实验学校,1,2,1,1,0,,,,
60,135036,上海师范大学附属宝山潜溪学校,1,1,1,1,0,,,,
61,135040,上海市存志附属宝山实验学校,1,2,1,1,0,,,,
62,135042,华东师范大学附属宝山宝杨实验学校,4,3,3,1,0,,,,
63,135043,上海市宝山区陈伯吹罗店实验学校,2,2,1,1,0,,,,
合计,合计,合计,224,221,224,81,40,2,2,4,5
