序号,学校编号,学校名称,"042001
市二中学","042008
南洋模范","042035
位育中学","042036
复附徐汇","043015
南洋中学","042032
上海中学","102056
交大附中","102057
复旦附中","152003
华二附中","152006
上师附中"
1,041302,上海市位育初级中学,8,9,9,3,7,,,,,1
2,041305,上海市第二初级中学,4,6,5,2,4,,,1,,
3,041306,上海市南洋模范初级中学,8,11,9,3,8,,1,,,
4,041316,上海市南洋初级中学,5,8,7,3,7,,,,,1
5,041318,上海市田林中学,3,4,5,2,4,1,,,,
6,041319,上海市田林第二中学,3,5,4,1,3,1,,,,
7,041320,上海市田林第三中学,10,12,12,5,10,,1,,1,
8,041326,上海市龙苑中学,1,1,1,1,1,,,,,
9,041327,上海市徐汇区教育学院附属实验中学,7,11,9,3,8,1,1,,,
10,041328,上海市长桥中学,2,3,2,2,3,1,,,,
11,041329,上海市园南中学,5,7,7,2,6,2,,,,
12,041331,上海市汾阳中学,1,4,3,1,1,1,,,,
13,041334,上海市梅园中学,2,4,3,1,2,,,,1,
14,041336,上海市紫阳中学,3,6,5,1,3,,1,,,
15,041347,上海市康健外国语实验中学,5,7,7,2,5,2,,,,
16,041363,上海市世外中学,8,11,11,3,9,,,1,,
17,041385,上海市民办华育中学,9,10,10,2,8,1,,1,,
18,044103,上海市中国中学,8,10,9,4,8,,,1,,1
19,044107,上海市第五十四中学,2,3,5,1,2,,,,,
20,044109,上海市徐汇中学,9,11,12,4,10,1,,,,1
21,044110,徐汇南校,6,7,9,1,7,,,,1,
22,044111,上海市第四中学,10,10,11,1,9,2,,,1,
23,044114,上海市零陵中学,3,3,3,2,4,1,,,,
24,044125,上海师大附中附属龙华中学,3,2,2,1,2,1,,,,
25,044133,华东理工大学附属中学,5,7,9,3,5,1,,,,
26,044162,上海市西南位育中学,10,13,13,6,10,2,,,,1
27,044164,上海市西南模范中学,10,12,13,5,11,3,,,,
28,044181,上海民办位育中学,4,3,3,1,2,,,,,1
29,044182,上海民办南模中学,2,3,3,2,2,,,,,
30,045304,上海市位育实验学校,1,1,2,2,2,,,,,
31,045444,上海师范大学第三附属实验学校,4,5,4,3,3,1,,,,
