初中学校信息,初中学校信息,上海市七宝中学,上海市闵行中学,华东师范大学第二附属中学闵行紫竹分校,上海师范大学附属中学闵行分校,上海交通大学附属中学闵行分校,"上海市向明中学
（浦江校区）","上海市第二中学
（梅陇校区）",上海市上海中学,上海交通大学附属中学,复旦大学附属中学,华东师范大学第二附属中学,上海师范大学附属中学
初中代码,初中学校名称,招生代码 122001,招生代码 123001,招生代码 122002,招生代码 122003,招生代码 122004,招生代码 012006,招生代码 042002,招生代码 042032,招生代码 102056,招生代码 102057,招生代码 152003,招生代码 152006
121002,上海市航华中学,4,3,2,3,2,,1,,,1,,
121003,上海市闵行区上虹中学,2,3,1,2,1,,1,1,,,,
121004,上海市龙柏中学,1,1,2,1,1,,1,,1,,,
121005,上海市闵行区七宝第二中学,18,17,12,11,9,2,6,2,,,,
121008,上海市罗阳中学,2,3,1,1,1,1,,,1,,,
121009,上海市闵行区莘松中学,27,28,16,16,15,4,7,1,,,,
121010,上海市七宝中学附属闵行金都实验中学,2,2,1,1,1,1,1,,,,,1
121011,上海市闵行区北桥中学,3,3,1,2,2,1,,,,,,
121013,上海市闵行区浦江第一中学,6,4,3,2,2,1,1,,,,1,
121014,上海市闵行区浦江第二中学,3,3,3,2,2,,1,,,,,1
121015,上海市闵行区浦江第三中学,4,4,2,2,4,,1,1,,,,
121016,上海市闵行第四中学,4,3,2,1,1,,1,,,,,
121018,上海市闵行区颛桥中学,5,5,2,2,3,1,1,,,,1,
121022,上海市实验学校西校,7,9,4,5,6,1,2,,,,,
121024,上海市闵行区鹤北初级中学,4,4,3,3,2,3,,,,,,
121025,上海市闵行区龙茗中学,6,4,2,2,2,,1,,,,,
121026,上海市七宝实验中学,5,5,2,3,2,,2,,,,,
121027,上海市师资培训中心附属闵行实验中学,4,5,2,3,2,,1,,,1,,
121030,上海市吴泾中学,1,2,1,1,1,1,,,,,,
121031,上海市闵行区七宝第三中学,6,7,3,3,5,1,3,,,,1,
121032,华东师范大学第二附属中学附属初级中学,9,8,5,4,4,2,1,,,,,1
121033,上海市闵行区浦航实验中学,4,4,1,1,1,,1,,,1,,
121034,上海市闵行区马桥复旦万科实验中学,6,5,2,2,3,1,2,,,,,
121035,上海中医药大学附属闵行晶城中学,4,4,3,3,3,2,,,,,,1
121036,上海师范大学附属闵行第三中学,3,3,3,1,1,,1,,,1,,
121038,上海市闵行区田园外国语中学,5,4,3,2,2,1,2,,,,,1
121039,上海市闵行中学附属实验中学,3,3,2,3,2,1,1,1,,,,
121131,上海尚师初级中学,3,3,2,2,1,1,,,,,,
初中代码,初中学校名称,招生代码 122001,招生代码 123001,招生代码 122002,招生代码 122003,招生代码 122004,招生代码 012006,招生代码 042002,招生代码 042032,招生代码 102056,招生代码 102057,招生代码 152003,招生代码 152006
121132,上海市骏博外国语学校,6,6,2,2,2,1,2,,,1,,
124006,上海市闵行第三中学,3,3,1,2,2,,1,1,,,,
124007,上海市闵行区教育学院附属友爱实验中学,2,2,1,1,3,1,,,,,,
124008,上海交通大学附属第二中学,8,7,7,4,4,2,2,,,,,1
124009,上海市民办上宝中学,7,10,4,4,3,2,2,,,,,
124011,上海市七宝中学附属鑫都实验中学,10,9,7,6,5,,5,1,,,,
124108,上海市文来中学,8,10,5,5,5,1,2,1,,,,
124109,上海市民办文绮中学,10,9,4,5,5,2,1,,,,,
124115,上海闵行区协和双语教科学校,4,6,2,2,2,,1,,,,,
125001,上海市闵行区诸翟学校,4,4,1,1,1,,1,,1,,,
125002,上海市金汇实验学校,2,2,1,1,2,,1,1,,,,
125003,上海市莘光学校,11,10,6,8,5,4,1,,,1,,
125010,上海市闵行区纪王学校,2,2,3,1,1,1,,,,,,1
125011,上海市马桥强恕学校,3,2,1,1,1,,1,1,,,,
125013,上海市古美学校,2,1,1,1,1,,1,,,,,1
125015,上海师范大学康城实验学校,7,7,3,4,3,1,3,,1,,,
125016,上海市莘城学校,7,7,3,4,3,3,1,,,1,,
125017,上海市闵行区明星学校,2,2,1,1,3,1,,,,,,1
125018,上海市闵行区文来实验学校,2,2,1,2,1,1,,,,,,
125020,上海市闵行区君莲学校,2,3,1,1,1,1,1,,,,,
125021,上海市闵行区华漕学校,3,2,1,2,1,1,,1,,,,
125022,上海世外教育附属浦江外国语学校,1,1,2,1,1,,1,,1,,,
125027,华东理工大学附属闵行梅陇实验学校,1,1,1,1,1,1,1,,,,,
125106,上海市民办德英乐实验学校,3,2,1,1,1,,1,,,,1,
125107,上海市燎原双语学校,1,1,1,1,1,1,1,,,,,
125109,上海市民办协和双语尚音学校,1,1,1,2,1,,1,1,,,,
125110,上海市民办协和双语学校,1,1,1,1,1,,,,,,,
125112,上海市民办万源城协和双语学校,1,1,1,1,1,1,1,,,,,
125113,上海星河湾双语学校,1,1,1,1,1,,,,,,,
125114,上海博世凯外国语学校,1,2,1,1,1,1,,,,,,1
初中代码,初中学校名称,招生代码 122001,招生代码 123001,招生代码 122002,招生代码 122003,招生代码 122004,招生代码 012006,招生代码 042002,招生代码 042032,招生代码 102056,招生代码 102057,招生代码 152003,招生代码 152006
125115,上海闵行区万科双语学校,1,1,1,1,1,,,,,,,
125116,上海闵行区民办美高双语学校,1,1,1,1,1,,,,,,,
125117,上海闵行区诺达双语学校,1,1,1,1,1,,,,,,,
125118,上海民办圣华紫竹双语学校,3,4,1,1,1,2,,,1,,,
125119,上海闵行区民办德闳学校,1,1,1,1,1,,,,,,,
