招生学校,录取最低分,是否军人子女同分优待对象,语数外,数学,语文,综合测试
上海市市西中学,684,是,399.5,126,133,140
上海市育才中学,669.5,否,392.5,127,128,132
上海市新中高级中学,666.5,否,392.5,135,126,137
上海市市北中学,677.5,否,398.5,117,138,133
上海市回民中学,610,否,364.5,111,134,108
上海市民立中学,639,否,377.5,125,123,122.5
上海市第一中学,615.5,否,356.5,123,111,122
上海市风华中学,650,否,384,130,122,128
上海市第六十中学,638,否,382,118,130,124
上海市彭浦中学,626.5,否,368.5,117,123,123
上海市久隆模范中学,636,否,373,114,128,123
上海市久隆模范中学（收费生）,648,是,377.5,118,128,131
上海市闸北第八中学,602,否,359,108,126,107
上海市华东模范中学,625.5,否,367.5,108,131,117
同济大学附属七一中学,596.5,否,351.5,101,116,113
上海戏剧学院附属高级中学,590.5,否,350.5,109,109,104
上海戏剧学院附属高级中学（艺术班）,585,否,323.5,99,120,124
上海市向东中学,582,否,349,119,112,111
上海大学市北附属中学,564,否,334.5,110,116,103
上海田家炳中学,626.5,否,356,104,128,137
上海市民办扬波中学,557.5,否,315.5,92,112,114
上海市民办新和中学,575,否,327,101,113,115
上海市民办风范中学,529.5,否,302.5,82,120,94
上海市五爱高级中学,647,否,373,101,129,130
上海市同济黄浦设计创意中学,612.5,否,353,105,122,121
上海市上海中学,702.5,是,404.5,130,136,144
上海市民办西南高级中学,624.5,否,371,110,125,115
上海安生学校,533.5,否,306.5,92,106,104
上海音乐学院附属安师实验中学（艺术班）,573,否,322,85,111,113
上海交通大学附属中学,705,否,417.5,144,131,144
复旦大学附属中学,702.5,否,419.5,142,135,139
上海市文来中学,650.5,否,387,124,129,131
上海市民办燎原双语高级中学,576,否,349.5,97,123,96
上海存志高级中学,651,否,390.5,117,133,124
上海宝山区民办维尚高级中学,566.5,否,326.5,105,121,105
上海创艺高级中学,525.5,否,301.5,91,125,92
上海市宝山华曜高级中学,646.5,否,373.5,112,132,128
上海宝山区世外学校,668.5,否,391,122,129,138
上海华旭双语学校,526.5,否,289.5,116,99,109
上海嘉定区民办华盛怀少学校,526,否,297,115,108,98
华东师范大学第二附属中学,703.5,否,419.5,146,131,140
上海市民办丰华高级中学,563.5,否,305.5,113,116,120
上海浦东新区民办东鼎外国语学校,580,否,345.5,91,123,107
上海市民办尚德实验学校,623.5,否,372.5,104,126,115
上海市民办交大南洋中学,568,否,334.5,109,119,95
上海市民办永昌中学,574,否,326.5,73,117,108
上海金山区世外学校,656.5,否,387,125,128,130
上海市西外外国语学校,549,否,316.5,98,113,104
上海赫贤学校,592.5,否,360.5,106,120,105
上海宋庆龄学校,673,否,396,128,133,139
上海青浦区协和双语学校,580.5,否,357,124,127,93
上海美达菲双语高级中学,541,否,309.5,80,116,99
上海奉贤区博华双语学校,547,否,319.5,96,114,98
上海民办民一中学,518.5,否,303.5,108,98,95
