区名称,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,末位录取考生成绩,末位录取考生成绩,末位录取考生成绩,末位录取考生成绩
区名称,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,语数外,数学,语文,综合测试
宝山区,上海市格致中学,740.5,否,404.5,129,133,142
宝山区,上海市大同中学,729.5,否,397,121,133,140
宝山区,上海市光明中学,717.5,否,384.5,116,130,142
宝山区,上海市第二中学,724.5,否,404.5,123,135,124
宝山区,上海市南洋模范中学,754.5,否,417,138,131,141
宝山区,上海市上海中学,761,否,422,147,134,142
宝山区,上海市位育中学,729,否,401,126,133,133
宝山区,上海市南洋中学,724,否,400,122,133,128
宝山区,上海市第三女子中学,714,否,384,122,130,135
宝山区,上海市延安中学,742.5,否,411,136,131,137
宝山区,上海市复旦中学,752.5,否,418,136,139,141
宝山区,上海市市西中学,731,否,397.5,132,133,139
宝山区,上海市育才中学,724.5,否,397,123,137,133
宝山区,上海市新中高级中学,714.5,否,390,117,133,133
宝山区,上海市市北中学,719.5,否,389.5,129,128,143
宝山区,上海市回民中学,688,否,369.5,111,125,128
宝山区,上海市第六十中学,689,否,365,107,124,130
宝山区,上海市华东模范中学,689,否,383,131,124,119
宝山区,上海市晋元高级中学,727.5,否,402.5,132,125,133
宝山区,上海市曹杨第二中学,742.5,否,404.5,137,125,140
宝山区,上海市宜川中学,710,否,385.5,122,123,132
宝山区,上海市复兴高级中学,742.5,否,409.5,124,138,139
宝山区,华东师范大学第一附属中学,732,否,398.5,122,130,139
宝山区,上海财经大学附属北郊高级中学,703,否,385,120,125,129
宝山区,上海市杨浦高级中学,730,否,401.5,123,133,134
宝山区,上海市控江中学,744.5,否,413.5,132,136,136
宝山区,上海交通大学附属中学,756,否,419,141,131,142
宝山区,复旦大学附属中学,758.5,否,422.5,139,140,140
区名称,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,语数外,数学,语文,综合测试
宝山区,同济大学第一附属中学,716.5,否,390,123,131,134
宝山区,上海市七宝中学,754.5,否,424.5,142,135,135
宝山区,华东师范大学第二附属中学闵行紫竹分校,713.5,否,388.5,118,132,129
宝山区,上海师范大学附属中学闵行分校,732.5,否,406.5,135,131,134
宝山区,上海市闵行中学,708.5,否,389.5,122,133,126
宝山区,上海市行知中学,742.5,否,408.5,135,129,143
宝山区,上海大学附属中学,733,否,399.5,122,137,137
宝山区,上海师范大学附属中学宝山分校,735,否,404,122,137,136
宝山区,上海市吴淞中学,732,否,403,139,123,138
宝山区,华东师范大学第二附属中学（宝山校区）,748.5,否,419,138,137,136
宝山区,上海市嘉定区第一中学,728.5,否,397.5,127,129,135
宝山区,上海交通大学附属中学嘉定分校,753,否,417.5,137,135,142
宝山区,上海中学东校,731,否,404.5,141,126,138
宝山区,上海市建平中学,748,否,415,135,134,136
宝山区,上海市进才中学,742,否,410,129,135,135
宝山区,华东师范大学第二附属中学,758.5,否,414,131,139,147
宝山区,上海南汇中学,700,否,376,120,121,136
宝山区,上海市洋泾中学,718,否,395,119,133,131
宝山区,上海市高桥中学,708,否,392.5,130,128,126
宝山区,上海市川沙中学,716,否,396.5,118,134,132
宝山区,上海市金山中学,728.5,否,392.5,127,126,143
宝山区,华东师范大学第三附属中学,684,否,377,120,118,118
宝山区,上海市松江二中,733,否,400,124,131,137
宝山区,华东师范大学第二附属中学松江分校,746,否,423,139,137,134
宝山区,上海市松江一中,701,否,383,123,132,130
宝山区,上海外国语大学附属外国语学校松江云间中学,716,否,392,117,139,128
宝山区,上海市青浦高级中学,712.5,否,384.5,120,126,129
宝山区,复旦大学附属中学青浦分校,745.5,否,411.5,131,133,140
宝山区,上海市朱家角中学,702,否,387,113,133,126
宝山区,上海市奉贤中学,751.5,否,423.5,141,136,132
区名称,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,语数外,数学,语文,综合测试
宝山区,上海市崇明中学,697.5,否,390.5,126,130,118
宝山区,上海市实验学校东滩高级中学,712,否,389,115,130,126
