区名称,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,末位录取考生成绩,末位录取考生成绩,末位录取考生成绩,末位录取考生成绩
区名称,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,语数外,数学,语文,综合测试
松江区,上海市格致中学,738.5,否,404,126,132,140
松江区,上海市大同中学,737.5,否,401.5,127,135,140
松江区,上海市光明中学,692,否,376,111,125,126
松江区,上海市敬业中学,713.5,否,394.5,120,130,125
松江区,上海市卢湾高级中学,709.5,否,387,123,126,134
松江区,上海市第二中学,727.5,否,392.5,124,128,144
松江区,上海市南洋模范中学,752,否,416,133,135,143
松江区,上海市上海中学,766,否,420.5,147,127,147
松江区,上海市位育中学,729.5,否,394.5,129,123,139
松江区,上海市南洋中学,724,否,393,114,137,133
松江区,上海市第三女子中学,718.5,否,395,121,128,129
松江区,上海市延安中学,742.5,否,404,129,137,144
松江区,上海市复旦中学,725.5,否,397,130,134,138
松江区,上海市育才中学,729,否,403,123,136,130
松江区,上海市华东模范中学,721.5,否,393,130,133,138
松江区,上海市晋元高级中学,726.5,否,390.5,114,133,142
松江区,上海市曹杨第二中学,746,否,409,130,136,142
松江区,上海市宜川中学,712,否,384.5,115,132,134
松江区,华东师范大学第一附属中学,724,否,390,116,131,137
松江区,上海市杨浦高级中学,717.5,否,389,130,128,139
松江区,上海市控江中学,754.5,否,420.5,138,136,140
松江区,上海交通大学附属中学,757.5,否,420.5,140,133,142
松江区,复旦大学附属中学,758,否,422,144,136,143
松江区,同济大学第一附属中学,713.5,否,386,110,129,134
松江区,上海市七宝中学,754.5,否,413.5,135,134,144
松江区,上海师范大学附属中学闵行分校,725,否,397,134,127,136
松江区,上海交通大学附属中学闵行分校,758,否,421,141,136,143
松江区,上海市闵行中学,726,否,395.5,132,125,134
区名称,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,语数外,数学,语文,综合测试
松江区,上海大学附属中学,710.5,否,391.5,118,131,128
松江区,上海市吴淞中学,719,否,391.5,129,128,135
松江区,上海市嘉定区第一中学,720,否,386,111,131,135
松江区,上海交通大学附属中学嘉定分校,744,否,412.5,138,131,140
松江区,上海中学东校,731.5,否,403.5,128,131,132
松江区,上海市建平中学,752,否,410,134,133,147
松江区,上海市进才中学,737.5,否,404,133,126,139
松江区,华东师范大学第二附属中学,759.5,否,424,145,135,140
松江区,上海南汇中学,710,否,386,125,126,135
松江区,上海市浦东复旦附中分校,747.5,否,414.5,134,139,138
松江区,上海师范大学附属中学,731.5,否,394.5,127,132,140
松江区,上海市洋泾中学,714,否,390,125,131,132
松江区,上海市高桥中学,698.5,否,381,124,125,126
松江区,上海市川沙中学,721,否,396,124,135,133
松江区,上海市金山中学,731,否,396.5,127,127,136
松江区,华东师范大学第三附属中学,704,否,387,120,132,126
松江区,上海市松江二中,752.5,否,414.5,136,136,141
松江区,华东师范大学第二附属中学松江分校,764,否,427,142,140,143
松江区,上海市松江一中,728,否,402.5,135,125,136
松江区,上海外国语大学附属外国语学校松江云间中学,737.5,否,400,132,123,143
松江区,上海市青浦高级中学,725.5,否,392.5,117,130,140
松江区,复旦大学附属中学青浦分校,757,否,418.5,138,134,145
松江区,上海市朱家角中学,712,否,394,119,132,124
松江区,上海市奉贤中学,743.5,否,407,133,138,140
松江区,上海市崇明中学,691.5,否,368.5,121,122,125
