区名称,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,末位录取考生成绩,末位录取考生成绩,末位录取考生成绩,末位录取考生成绩
区名称,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,语数外,数学,语文,综合测试
金山区,上海市第二中学,710.5,否,385.5,127,122,135
金山区,上海市南洋模范中学,742.5,否,410,139,130,140
金山区,上海市上海中学,760.5,否,420.5,143,133,145
金山区,上海市位育中学,738,否,408,130,135,134
金山区,上海市南洋中学,707.5,否,391.5,117,127,121
金山区,上海市延安中学,732,否,400,122,135,136
金山区,上海市复旦中学,693.5,否,377,125,120,130
金山区,上海市育才中学,728.5,否,402.5,125,137,132
金山区,上海市新中高级中学,677.5,否,355.5,116,122,138
金山区,上海市宜川中学,703.5,否,381.5,121,127,128
金山区,华东师范大学第一附属中学,711,否,381,113,130,136
金山区,上海财经大学附属北郊高级中学,683,否,372,112,126,115
金山区,上海市杨浦高级中学,713,否,393,125,130,128
金山区,上海交通大学附属中学,741,否,410,132,135,138
金山区,复旦大学附属中学,758,否,426.5,144,138,137
金山区,上海市七宝中学,739,否,405,134,128,139
金山区,上海师范大学附属中学闵行分校,727,否,400.5,126,128,133
金山区,上海市闵行中学,715.5,否,384,124,127,139
金山区,上海大学附属中学,704.5,否,380,118,125,135
金山区,上海市吴淞中学,697.5,否,387.5,116,131,118
金山区,上海市嘉定区第一中学,720.5,否,406.5,131,133,122
金山区,上海交通大学附属中学嘉定分校,751.5,否,416,139,133,139
金山区,上海中学东校,728.5,否,395.5,127,131,140
金山区,上海市建平中学,735.5,否,402.5,124,138,139
金山区,上海市进才中学,737,否,400.5,129,135,135
金山区,华东师范大学第二附属中学,753,否,414,138,134,141
金山区,上海南汇中学,706,否,386,125,131,130
金山区,上海师范大学附属中学,717.5,否,388,125,126,140
区名称,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,语数外,数学,语文,综合测试
金山区,上海市洋泾中学,708.5,否,390.5,130,125,124
金山区,上海市高桥中学,681.5,否,381,130,122,112
金山区,上海市川沙中学,694,否,378,122,118,123
金山区,上海市金山中学,745.5,否,410.5,129,140,143
金山区,华东师范大学第三附属中学,713,否,394,127,129,129
金山区,上海市松江二中,741,否,409,138,134,140
金山区,上海市松江一中,710.5,否,391.5,120,132,122
金山区,上海外国语大学附属外国语学校松江云间中学,722,否,389,123,132,137
金山区,上海市青浦高级中学,705,否,385,115,126,127
金山区,上海市朱家角中学,691,否,371.5,121,119,134
金山区,上海市奉贤中学,731.5,否,402.5,127,132,132
金山区,上海市崇明中学,690.5,否,381.5,127,122,127
