区名称,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,末位录取考生成绩,末位录取考生成绩,末位录取考生成绩,末位录取考生成绩
区名称,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,语数外,数学,语文,综合测试
长宁区,上海市格致中学,738.5,否,403.5,130,131,140
长宁区,上海市向明中学,717,否,393,113,136,128
长宁区,上海外国语大学附属大境中学,708,否,394.5,123,131,121
长宁区,上海市光明中学,700.5,否,387.5,117,130,129
长宁区,上海市第二中学,716.5,否,391.5,120,129,131
长宁区,上海市南洋模范中学,754,否,419.5,137,137,141
长宁区,上海市上海中学,765.5,否,424.5,139,137,143
长宁区,上海市位育中学,740.5,否,414,135,135,135
长宁区,上海市南洋中学,720.5,否,388.5,122,133,139
长宁区,上海市第三女子中学,720,否,385,128,131,138
长宁区,上海市延安中学,740.5,否,410.5,135,128,136
长宁区,上海市复旦中学,713.5,否,388,128,128,136
长宁区,上海市市西中学,737,否,400,122,132,141
长宁区,上海市育才中学,724.5,否,404.5,132,128,129
长宁区,上海市新中高级中学,706,否,386,122,123,129
长宁区,上海市市北中学,713,否,384.5,119,132,134
长宁区,上海市回民中学,669.5,否,368,121,116,111
长宁区,上海市第六十中学,676.5,否,360.5,125,120,130
长宁区,上海市华东模范中学,701.5,否,382.5,121,126,127
长宁区,上海市曹杨第二中学,744,否,407,127,135,141
长宁区,上海市宜川中学,709.5,否,385.5,113,136,132
长宁区,华东师范大学第二附属中学（普陀校区）,750.5,否,421.5,134,140,135
长宁区,上海市复兴高级中学,739,否,412.5,133,134,134
长宁区,华东师范大学第一附属中学,692.5,否,374.5,109,129,130
长宁区,上海市杨浦高级中学,687.5,否,386.5,115,128,110
长宁区,上海交通大学附属中学,750.5,否,413.5,140,130,142
长宁区,复旦大学附属中学,756,否,423,139,141,136
长宁区,上海市七宝中学,751.5,否,417.5,140,133,144
区名称,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,语数外,数学,语文,综合测试
长宁区,华东师范大学第二附属中学闵行紫竹分校,731,否,397.5,129,130,139
长宁区,上海师范大学附属中学闵行分校,724,否,389.5,126,125,142
长宁区,上海交通大学附属中学闵行分校,739,否,401,127,129,141
长宁区,上海市闵行中学,728.5,否,395.5,128,131,140
长宁区,上海市行知中学,735,否,402,131,132,137
长宁区,上海大学附属中学,720.5,否,394.5,118,131,130
长宁区,上海师范大学附属中学宝山分校,688,否,375,117,125,127
长宁区,上海市吴淞中学,706.5,否,383.5,122,122,131
长宁区,上海市嘉定区第一中学,729.5,否,394,124,131,139
长宁区,上海交通大学附属中学嘉定分校,752.5,否,419.5,128,145,137
长宁区,上海中学东校,723.5,否,387.5,120,132,139
长宁区,上海市建平中学,740.5,否,406.5,136,128,137
长宁区,上海市进才中学,733.5,否,404.5,123,137,136
长宁区,华东师范大学第二附属中学,755.5,否,415.5,135,132,145
长宁区,上海南汇中学,689,否,378,116,123,120
长宁区,上海师范大学附属中学,724,否,398,128,131,131
长宁区,上海市洋泾中学,725.5,否,393,123,133,139
长宁区,上海市高桥中学,694,否,370,127,124,136
长宁区,上海市川沙中学,704.5,否,378,116,123,135
长宁区,上海市金山中学,729.5,否,395.5,124,129,140
长宁区,华东师范大学第三附属中学,665.5,否,372.5,100,128,106
长宁区,上海市松江二中,742,否,408,133,134,140
长宁区,上海市松江一中,691.5,否,380,117,128,119
长宁区,上海外国语大学附属外国语学校松江云间中学,718.5,否,401,127,131,128
长宁区,上海市青浦高级中学,703,否,385,112,131,123
长宁区,复旦大学附属中学青浦分校,748.5,否,415,134,138,136
长宁区,上海市朱家角中学,690,否,376,124,123,123
长宁区,上海市奉贤中学,730,否,409,133,128,125
长宁区,华东师范大学第二附属中学临港奉贤分校,716,否,393,126,126,137
长宁区,上海市崇明中学,707,否,378,116,123,140
