区名称,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,末位录取考生成绩,末位录取考生成绩,末位录取考生成绩,末位录取考生成绩
区名称,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,语数外,数学,语文,综合测试
静安区,上海市格致中学,742,否,408.5,131,134,139
静安区,上海市大同中学,724.5,否,394,121,131,137
静安区,上海市向明中学,738.5,否,404,128,129,139
静安区,上海外国语大学附属大境中学,698.5,否,376,123,124,128
静安区,上海市光明中学,699,否,373,105,129,135
静安区,上海市敬业中学,716.5,否,388.5,120,128,136
静安区,上海市第二中学,724,否,402.5,136,124,133
静安区,上海市南洋模范中学,747,否,417,135,135,137
静安区,上海市上海中学,760,否,424.5,143,140,140
静安区,上海市位育中学,743.5,否,410,132,134,139
静安区,复旦大学附属中学徐汇分校,744,否,410,133,132,139
静安区,上海市南洋中学,713,否,386,121,131,134
静安区,上海市第三女子中学,718.5,否,388.5,120,126,134
静安区,上海市延安中学,734.5,否,402.5,127,134,139
静安区,上海市复旦中学,693,否,384.5,129,120,120
静安区,上海市市西中学,741.5,否,412,132,136,137
静安区,上海市育才中学,721,否,395,123,132,128
静安区,上海市新中高级中学,723,否,405.5,136,128,133
静安区,上海市市北中学,734.5,否,402.5,123,138,140
静安区,上海市回民中学,678,否,374,109,130,130
静安区,上海市第六十中学,697.5,是,364,123,114,133
静安区,上海市华东模范中学,696.5,否,384,121,128,126
静安区,上海市晋元高级中学,731.5,否,400.5,135,131,141
静安区,上海市曹杨第二中学,739.5,否,406.5,128,134,140
静安区,上海市宜川中学,721,否,387,121,127,140
静安区,华东师范大学第二附属中学（普陀校区）,741.5,否,417,135,136,134
静安区,上海市复兴高级中学,749.5,是,405.5,134,128,141
静安区,华东师范大学第一附属中学,730,否,404,129,130,137
区名称,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,语数外,数学,语文,综合测试
静安区,上海财经大学附属北郊高级中学,715.5,否,387,125,128,133
静安区,上海市杨浦高级中学,729.5,否,398.5,127,133,134
静安区,上海市控江中学,742.5,否,403.5,126,135,143
静安区,上海交通大学附属中学,748,否,420,139,136,134
静安区,复旦大学附属中学,753.5,否,423.5,138,136,137
静安区,同济大学第一附属中学,719,否,389.5,120,131,137
静安区,上海市七宝中学,747,否,414.5,135,133,138
静安区,华东师范大学第二附属中学闵行紫竹分校,740.5,否,415.5,133,137,132
静安区,上海师范大学附属中学闵行分校,723.5,否,402,130,129,131
静安区,上海交通大学附属中学闵行分校,744.5,否,410.5,135,128,139
静安区,上海市闵行中学,724.5,否,395,124,130,136
静安区,上海市行知中学,734,否,406.5,129,136,140
静安区,上海大学附属中学,720,否,392,126,129,138
静安区,上海师范大学附属中学宝山分校,718,否,387,131,117,138
静安区,上海市吴淞中学,719,否,387.5,120,139,139
静安区,华东师范大学第二附属中学（宝山校区）,739,否,403.5,127,136,140
静安区,上海市嘉定区第一中学,714.5,否,388.5,116,128,131
静安区,上海交通大学附属中学嘉定分校,756.5,否,420.5,134,142,139
静安区,上海中学东校,730,否,406.5,135,133,137
静安区,上海市建平中学,747,否,412.5,143,131,140
静安区,上海市进才中学,734,否,413.5,139,132,131
静安区,华东师范大学第二附属中学,753.5,否,413.5,137,132,144
静安区,上海南汇中学,677,否,375,113,127,112.5
静安区,上海市浦东复旦附中分校,746,否,414,135,138,137
静安区,上海市洋泾中学,713,否,398.5,122,132,124
静安区,上海市高桥中学,702,否,390.5,122,131,122
静安区,上海市川沙中学,712,否,390,123,129,130
静安区,上海市金山中学,721.5,否,392,127,128,139
静安区,华东师范大学第三附属中学,671,否,372,116,123,111
静安区,上海市松江二中,736.5,否,399,119,137,140
区名称,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,语数外,数学,语文,综合测试
静安区,上海市松江一中,710,否,388,117,132,127
静安区,上海外国语大学附属外国语学校松江云间中学,722.5,否,393,117,129,137
静安区,上海市青浦高级中学,719,否,401,121,136,125
静安区,复旦大学附属中学青浦分校,749,否,416,144,132,142
静安区,上海市朱家角中学,692.5,否,375.5,107,124,126
静安区,上海市奉贤中学,742.5,否,410,135,132,140
静安区,华东师范大学第二附属中学临港奉贤分校,736,否,410,141,124,135
静安区,上海市崇明中学,714,否,385,118,128,137
静安区,上海市实验学校东滩高级中学,715.5,否,396.5,131,128,134
