初中学校,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,末位录取考生成绩,末位录取考生成绩,末位录取考生成绩,末位录取考生成绩
初中学校,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,语数外,数学,语文,综合测试
上海市位育初级中学,上海市第二中学,727,否,393,132,121,142
上海市位育初级中学,上海市南洋模范中学,748,否,411,129,136,142
上海市位育初级中学,上海市位育中学,742,否,408,136,134,139
上海市位育初级中学,复旦大学附属中学徐汇分校,759,否,418,149,126,143
上海市位育初级中学,上海市南洋中学,721.5,否,395.5,133,125,136
上海市位育初级中学,上海师范大学附属中学,734,否,408,131,136,130
上海市第二初级中学,上海市第二中学,723,否,394,133,124,139
上海市第二初级中学,上海市南洋模范中学,741.5,否,407.5,128,132,138
上海市第二初级中学,上海市位育中学,722.5,否,395.5,111,139,137
上海市第二初级中学,复旦大学附属中学徐汇分校,745.5,否,413,135,132,133
上海市第二初级中学,上海市南洋中学,714.5,否,393.5,130,129,132
上海市第二初级中学,复旦大学附属中学,717.5,否,384.5,119,134,139
上海市南洋模范初级中学,上海市第二中学,726,否,388,126,123,135
上海市南洋模范初级中学,上海市南洋模范中学,743,否,405.5,132,129,141
上海市南洋模范初级中学,上海市位育中学,733.5,否,405,136,126,134
上海市南洋模范初级中学,复旦大学附属中学徐汇分校,753.5,否,413.5,144,129,142
上海市南洋模范初级中学,上海市南洋中学,719.5,否,385.5,118,128,140
上海市南洋模范初级中学,上海交通大学附属中学,759.5,否,412.5,137,133,146
上海市南洋初级中学,上海市第二中学,727.5,否,399.5,126,135,134
上海市南洋初级中学,上海市南洋模范中学,741.5,否,407.5,131,130,140
上海市南洋初级中学,上海市位育中学,728.5,否,400,136,123,139
上海市南洋初级中学,复旦大学附属中学徐汇分校,732,否,403,139,120,132
上海市南洋初级中学,上海市南洋中学,719,否,387.5,109,134,135
上海市南洋初级中学,上海师范大学附属中学,723.5,否,399.5,128,128,128
上海市田林中学,上海市第二中学,724,否,392.5,130,129,138
上海市田林中学,上海市南洋模范中学,740.5,否,405,142,131,139
上海市田林中学,上海市上海中学,761.5,否,417.5,139,131,147
上海市田林中学,上海市位育中学,720,否,396.5,136,127,138
初中学校,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,语数外,数学,语文,综合测试
上海市田林中学,复旦大学附属中学徐汇分校,735,否,406,141,124,135
上海市田林中学,上海市南洋中学,715,否,393.5,131,130,129
上海市田林第二中学,上海市第二中学,711.5,否,390.5,125,129,123
上海市田林第二中学,上海市南洋模范中学,742,否,407,140,127,140
上海市田林第二中学,上海市上海中学,745,否,404,131,132,142
上海市田林第二中学,上海市位育中学,709.5,否,382.5,121,127,131
上海市田林第二中学,复旦大学附属中学徐汇分校,756,否,412,132,136,140
上海市田林第二中学,上海市南洋中学,708,否,384,125,130,132
上海市田林第三中学,上海市第二中学,725.5,否,406.5,129,133,126
上海市田林第三中学,上海市南洋模范中学,745,否,415,139,134,138
上海市田林第三中学,上海市位育中学,737,否,397,130,125,142
上海市田林第三中学,复旦大学附属中学徐汇分校,751.5,否,412.5,134,136,143
上海市田林第三中学,上海市南洋中学,718,否,394,123,131,130
上海市田林第三中学,上海交通大学附属中学,761,否,418.5,139,134,145
上海市田林第三中学,华东师范大学第二附属中学,759,否,419,140,131,143
上海市龙苑中学,上海市第二中学,666.5,否,372.5,109,131,106
上海市龙苑中学,上海市南洋模范中学,722.5,否,389.5,129,127,138
上海市龙苑中学,上海市位育中学,669.5,否,368.5,122,130,112
上海市龙苑中学,复旦大学附属中学徐汇分校,716,否,392,120,130,132
上海市龙苑中学,上海市南洋中学,658,否,342.5,114,118,120
上海市徐汇区教育学院附属实验中学,上海市第二中学,723,否,398,118,136,131
上海市徐汇区教育学院附属实验中学,上海市南洋模范中学,751,否,417,139,130,138
上海市徐汇区教育学院附属实验中学,上海市上海中学,759,否,418,131,140,145
上海市徐汇区教育学院附属实验中学,上海市位育中学,742,否,411,132,139,142
上海市徐汇区教育学院附属实验中学,复旦大学附属中学徐汇分校,758,否,420,133,138,143
上海市徐汇区教育学院附属实验中学,上海市南洋中学,724.5,否,395.5,123,130,138
上海市徐汇区教育学院附属实验中学,上海交通大学附属中学,756,否,416.5,137,135,144
上海市长桥中学,上海市第二中学,723.5,否,400.5,132,129,126
上海市长桥中学,上海市南洋模范中学,730.5,否,406.5,125,138,131
上海市长桥中学,上海市上海中学,760.5,否,421.5,141,132,141
初中学校,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,语数外,数学,语文,综合测试
上海市长桥中学,上海市位育中学,729.5,否,398.5,123,138,136
上海市长桥中学,复旦大学附属中学徐汇分校,751,否,411,137,134,144
上海市长桥中学,上海市南洋中学,722.5,否,397.5,124,130,129
上海市园南中学,上海市第二中学,731.5,否,402.5,130,129,136
上海市园南中学,上海市南洋模范中学,745,否,408,132,130,141
上海市园南中学,上海市上海中学,756,否,415,146,125,146
上海市园南中学,上海市位育中学,738,否,405,132,128,141
上海市园南中学,复旦大学附属中学徐汇分校,745,否,410,130,131,137
上海市园南中学,上海市南洋中学,707.5,否,392.5,118,131,125
上海市汾阳中学,上海市第二中学,722,否,387,120,132,138
上海市汾阳中学,上海市南洋模范中学,736.5,否,398,127,130,142
上海市汾阳中学,上海市上海中学,751.5,否,413.5,141,128,144
上海市汾阳中学,上海市位育中学,724,否,390,128,126,143
上海市汾阳中学,复旦大学附属中学徐汇分校,746.5,否,406.5,135,130,141
上海市汾阳中学,上海市南洋中学,720.5,否,393.5,138,119,132
上海市梅园中学,上海市第二中学,726.5,否,396.5,129,131,136
上海市梅园中学,上海市南洋模范中学,739,否,403,126,131,140
上海市梅园中学,上海市位育中学,732,否,402.5,124,131,132
上海市梅园中学,复旦大学附属中学徐汇分校,753.5,否,413.5,133,135,143
上海市梅园中学,上海市南洋中学,730,否,398,126,131,139
上海市梅园中学,华东师范大学第二附属中学,761,否,415,141,128,147
上海市紫阳中学,上海市第二中学,726.5,否,409.5,137,135,126
上海市紫阳中学,上海市南洋模范中学,740.5,否,410.5,130,137,136
上海市紫阳中学,上海市位育中学,737,否,402,133,122,142
上海市紫阳中学,复旦大学附属中学徐汇分校,758,否,420,139,134,139
上海市紫阳中学,上海市南洋中学,723.5,否,394,113,135,135
上海市紫阳中学,上海交通大学附属中学,748.5,否,413,140,132,139
上海市康健外国语实验中学,上海市第二中学,718.5,否,395,118,132,129
上海市康健外国语实验中学,上海市南洋模范中学,737,否,403,134,124,139
上海市康健外国语实验中学,上海市上海中学,743.5,否,403.5,127,133,143
初中学校,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,语数外,数学,语文,综合测试
上海市康健外国语实验中学,上海市位育中学,728,否,396,129,127,139
上海市康健外国语实验中学,复旦大学附属中学徐汇分校,746.5,否,409.5,137,129,140
上海市康健外国语实验中学,上海市南洋中学,715.5,否,403,128,131,128
上海市世外中学,上海市第二中学,713,否,393.5,119,133,126
上海市世外中学,上海市南洋模范中学,744,否,416,140,133,133
上海市世外中学,上海市位育中学,725,否,390.5,121,130,139
上海市世外中学,复旦大学附属中学徐汇分校,757,否,420,138,141,141
上海市世外中学,上海市南洋中学,689,否,378.5,129,118,122
上海市世外中学,复旦大学附属中学,761,否,425,139,138,138
上海市民办华育中学,上海市第二中学,708,否,388,111,132,124
上海市民办华育中学,上海市南洋模范中学,746.5,否,408.5,131,135,142
上海市民办华育中学,上海市上海中学,761.5,否,418.5,141,133,146
上海市民办华育中学,上海市位育中学,733,否,403,126,130,136
上海市民办华育中学,复旦大学附属中学徐汇分校,759.5,否,416.5,133,136,146
上海市民办华育中学,上海市南洋中学,706.5,否,385,120,131,126
上海市民办华育中学,复旦大学附属中学,761,否,423,140,139,141
上海市中国中学,上海市第二中学,723,否,395,124,133,135
上海市中国中学,上海市南洋模范中学,743.5,否,410,130,134,140
上海市中国中学,上海市位育中学,735,否,409,137,128,135
上海市中国中学,复旦大学附属中学徐汇分校,751.5,否,416.5,142,128,140
上海市中国中学,上海市南洋中学,719.5,否,395.5,121,133,133
上海市中国中学,复旦大学附属中学,760.5,否,422.5,143,132,141
上海市中国中学,上海师范大学附属中学,724,否,405,128,137,124
上海市第五十四中学,上海市第二中学,726,否,391,117,132,136
上海市第五十四中学,上海市南洋模范中学,735.5,否,404.5,135,130,143
上海市第五十四中学,上海市位育中学,726,否,397.5,127,130,138
上海市第五十四中学,复旦大学附属中学徐汇分校,753,否,413,140,133,145
上海市第五十四中学,上海市南洋中学,718,否,397.5,125,131,134
上海市徐汇中学,上海市第二中学,720,否,391,124,126,132
上海市徐汇中学,上海市南洋模范中学,743.5,否,416.5,134,138,131
初中学校,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,语数外,数学,语文,综合测试
上海市徐汇中学,上海市上海中学,760.5,否,424.5,146,132,144
上海市徐汇中学,上海市位育中学,727,否,400,128,129,130
上海市徐汇中学,复旦大学附属中学徐汇分校,752,否,411.5,144,125,143
上海市徐汇中学,上海市南洋中学,707,否,400,126,136,116
上海市徐汇中学,上海师范大学附属中学,730.5,否,398.5,130,128,136
徐汇南校,上海市第二中学,719.5,否,393.5,131,124,132
徐汇南校,上海市南洋模范中学,747,否,412,140,130,142
徐汇南校,上海市位育中学,740.5,否,400.5,128,131,141
徐汇南校,复旦大学附属中学徐汇分校,758,否,423,141,135,141
徐汇南校,上海市南洋中学,707,否,383,120,123,132
徐汇南校,华东师范大学第二附属中学,759.5,否,419.5,138,135,144
上海市第四中学,上海市第二中学,720,否,390,129,121,139
上海市第四中学,上海市南洋模范中学,737,否,404.5,129,133,138
上海市第四中学,上海市上海中学,757,否,417,143,133,139
上海市第四中学,上海市位育中学,725.5,否,397.5,128,130,135
上海市第四中学,复旦大学附属中学徐汇分校,707,否,385.5,129,123,127
上海市第四中学,上海市南洋中学,713.5,否,393.5,112,136,130
上海市第四中学,华东师范大学第二附属中学,752,否,414,145,125,144
上海市零陵中学,上海市第二中学,707.5,否,388.5,111,134,122
上海市零陵中学,上海市南洋模范中学,711,否,389,131,118,132
上海市零陵中学,上海市上海中学,755.5,否,419.5,144,135,138
上海市零陵中学,上海市位育中学,718,否,400,121,133,122
上海市零陵中学,复旦大学附属中学徐汇分校,740,否,409,137,127,138
上海市零陵中学,上海市南洋中学,695,否,370,114,123,132
上海师大附中附属龙华中学,上海市第二中学,707,否,371,130,129,140
上海师大附中附属龙华中学,上海市南洋模范中学,720.5,否,393.5,131,129,132
上海师大附中附属龙华中学,上海市上海中学,689.5,否,368,107,122,126
上海师大附中附属龙华中学,上海市位育中学,731.5,否,399.5,129,130,135
上海师大附中附属龙华中学,复旦大学附属中学徐汇分校,746,否,421,140,138,131
上海师大附中附属龙华中学,上海市南洋中学,721,否,387,120,127,140
初中学校,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,语数外,数学,语文,综合测试
华东理工大学附属中学,上海市第二中学,721.5,否,392.5,129,128,138
华东理工大学附属中学,上海市南洋模范中学,743.5,否,409.5,140,129,140
华东理工大学附属中学,上海市上海中学,753.5,否,414.5,145,127,142
华东理工大学附属中学,上海市位育中学,733.5,否,400.5,124,131,137
华东理工大学附属中学,复旦大学附属中学徐汇分校,752.5,否,419,143,130,136
华东理工大学附属中学,上海市南洋中学,715,否,385,126,122,135
上海市西南位育中学,上海市第二中学,708.5,否,384.5,116,125,134
上海市西南位育中学,上海市南洋模范中学,726,否,402,120,137,131
上海市西南位育中学,上海市上海中学,684.5,否,381,121,125,107
上海市西南位育中学,上海市位育中学,709.5,否,396.5,133,124,121
上海市西南位育中学,复旦大学附属中学徐汇分校,736.5,否,403,138,126,136
上海市西南位育中学,上海市南洋中学,699.5,否,376.5,123,116,133
上海市西南位育中学,上海师范大学附属中学,711,否,391,119,133,126
上海市西南模范中学,上海市第二中学,723,否,397.5,112,137,134
上海市西南模范中学,上海市南洋模范中学,748.5,否,407.5,141,126,142
上海市西南模范中学,上海市上海中学,759.5,否,416.5,138,134,142
上海市西南模范中学,上海市位育中学,735.5,否,400.5,131,124,141
上海市西南模范中学,复旦大学附属中学徐汇分校,755.5,否,421.5,149,130,138
上海市西南模范中学,上海市南洋中学,717.5,否,390,125,126,136
上海民办位育中学,上海市第二中学,723,否,390,110,136,135
上海民办位育中学,上海市南洋模范中学,748.5,否,410.5,144,128,144
上海民办位育中学,上海市位育中学,738,否,398,129,129,142
上海民办位育中学,复旦大学附属中学徐汇分校,750.5,否,410,135,132,144
上海民办位育中学,上海市南洋中学,718.5,否,395.5,123,129,128
上海民办位育中学,上海师范大学附属中学,724,否,400,129,129,131
上海民办南模中学,上海市第二中学,722,否,403,124,137,121
上海民办南模中学,上海市南洋模范中学,750,否,413,139,129,139
上海民办南模中学,上海市位育中学,730,否,399,137,124,139
上海民办南模中学,复旦大学附属中学徐汇分校,758,否,421.5,145,133,144
上海民办南模中学,上海市南洋中学,720.5,否,390.5,122,125,139
初中学校,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,语数外,数学,语文,综合测试
上海市位育实验学校,上海市第二中学,725.5,否,398.5,132,128,134
上海市位育实验学校,上海市南洋模范中学,735,否,402,128,132,135
上海市位育实验学校,上海市位育中学,723.5,否,386.5,130,124,144
上海市位育实验学校,复旦大学附属中学徐汇分校,739.5,否,410.5,130,137,135
上海市位育实验学校,上海市南洋中学,708.5,否,383.5,121,129,131
上海师范大学第三附属实验学校,上海市第二中学,728,否,402,129,127,132
上海师范大学第三附属实验学校,上海市南洋模范中学,745,否,414,138,132,135
上海师范大学第三附属实验学校,上海市上海中学,749,否,412,139,131,144
上海师范大学第三附属实验学校,上海市位育中学,738.5,否,408.5,128,133,134
上海师范大学第三附属实验学校,复旦大学附属中学徐汇分校,747.5,否,413.5,137,131,136
上海师范大学第三附属实验学校,上海市南洋中学,724.5,否,396.5,117,134,133
