初中学校,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,末位录取考生成绩,末位录取考生成绩,末位录取考生成绩,末位录取考生成绩
初中学校,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,语数外,数学,语文,综合测试
上海市松江区第七中学,上海市松江二中,741.5,否,407.5,129,132,138
上海市松江区第七中学,华东师范大学第二附属中学松江分校,750,否,420.5,136,140,133
上海市松江区第七中学,上海市松江一中,721.5,否,387,128,127,140
上海市松江区第七中学,上海外国语大学附属外国语学校松江云间中学,730,否,396,136,119,141
上海对外经贸大学附属松江实验学校花园分校,上海交通大学附属中学,754.5,否,416,135,138,145
上海对外经贸大学附属松江实验学校花园分校,上海市松江二中,738.5,否,402.5,123,136,139
上海对外经贸大学附属松江实验学校花园分校,华东师范大学第二附属中学松江分校,749,否,414,131,134,141
上海对外经贸大学附属松江实验学校花园分校,上海市松江一中,718.5,否,387,124,129,143
上海对外经贸大学附属松江实验学校花园分校,上海外国语大学附属外国语学校松江云间中学,728,否,381.5,125,116,136
上海市松江二中（集团）初级中学,上海市松江二中,734.5,否,416,134,135,129
上海市松江二中（集团）初级中学,华东师范大学第二附属中学松江分校,752.5,否,419,144,131,136
上海市松江二中（集团）初级中学,上海市松江一中,713.5,否,390.5,114,131,135
上海市松江二中（集团）初级中学,上海外国语大学附属外国语学校松江云间中学,722.5,否,391,110,136,137
上海市松江四中初级中学,上海市松江二中,738,否,403,130,132,141
上海市松江四中初级中学,华东师范大学第二附属中学松江分校,749,否,421,134,141,130
上海市松江四中初级中学,上海市松江一中,719,否,395.5,124,131,127
上海市松江四中初级中学,上海外国语大学附属外国语学校松江云间中学,722,否,389.5,115,135,138
上海市松江区九亭中学,上海市松江二中,739,否,404,125,137,140
上海市松江区九亭中学,华东师范大学第二附属中学松江分校,752,否,416.5,137,133,140
上海市松江区九亭中学,上海市松江一中,716.5,否,389.5,127,126,137
上海市松江区九亭中学,上海外国语大学附属外国语学校松江云间中学,729,否,397,137,124,134
上海市松江区第六中学,上海市松江二中,737,否,401.5,129,132,143
上海市松江区第六中学,华东师范大学第二附属中学松江分校,750.5,否,413,142,127,142
上海市松江区第六中学,上海市松江一中,719,否,394.5,127,128,134
上海市松江区第六中学,上海外国语大学附属外国语学校松江云间中学,725.5,否,406.5,132,134,129
上海市松江区九亭第二中学,上海市松江二中,733.5,否,401.5,125,131,136
上海市松江区九亭第二中学,华东师范大学第二附属中学松江分校,666.5,否,370,123,111,115
上海市松江区九亭第二中学,上海市松江一中,715,否,389,116,130,136
初中学校,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,语数外,数学,语文,综合测试
上海市松江区九亭第二中学,上海外国语大学附属外国语学校松江云间中学,719,否,396,125,133,127
上海市松江区立达中学,上海市松江二中,736,否,409.5,139,126,134
上海市松江区立达中学,华东师范大学第二附属中学松江分校,719,否,395.5,129,125,136
上海市松江区立达中学,上海市松江一中,713.5,否,394.5,132,129,129
上海市松江区立达中学,上海外国语大学附属外国语学校松江云间中学,724.5,否,389.5,126,130,144
上海市松江区新桥中学,复旦大学附属中学,750,否,413,135,138,145
上海市松江区新桥中学,上海市松江二中,733.5,否,398,132,131,142
上海市松江区新桥中学,华东师范大学第二附属中学松江分校,746.5,否,410,135,135,141
上海市松江区新桥中学,上海市松江一中,703,否,395,122,134,121
上海市松江区新桥中学,上海外国语大学附属外国语学校松江云间中学,728,否,404,134,127,133
上海市松江区民办茸一中学,上海市松江二中,740.5,否,413.5,138,131,136
上海市松江区民办茸一中学,华东师范大学第二附属中学松江分校,752.5,否,420,143,134,141
上海市松江区民办茸一中学,上海市松江一中,718,否,391,131,127,135
上海市松江区民办茸一中学,上海外国语大学附属外国语学校松江云间中学,730,否,406,132,130,131
上海市松江九峰实验学校,上海市松江二中,746.5,否,411.5,129,136,139
上海市松江九峰实验学校,华东师范大学第二附属中学松江分校,757,否,426,135,142,138
上海市松江九峰实验学校,上海市松江一中,714,否,385,128,126,138
上海市松江九峰实验学校,上海外国语大学附属外国语学校松江云间中学,729.5,否,398.5,124,134,136
上海领科双语学校,上海市松江二中,737,否,405,136,131,136
上海领科双语学校,华东师范大学第二附属中学松江分校,740,否,401,119,137,139
上海领科双语学校,上海市松江一中,717,否,387,120,128,136
上海领科双语学校,上海外国语大学附属外国语学校松江云间中学,725,否,396,129,132,137
上海市松江区洞泾学校,上海市松江二中,736.5,否,399.5,123,132,142
上海市松江区洞泾学校,华东师范大学第二附属中学松江分校,751,否,416.5,132,143,139
上海市松江区洞泾学校,上海市松江一中,713.5,否,388.5,117,125,134
上海市松江区洞泾学校,上海外国语大学附属外国语学校松江云间中学,721,否,387,131,125,142
上海市松江区李塔汇学校,华东师范大学第二附属中学,735.5,否,410.5,134,130,131
上海市松江区李塔汇学校,上海市松江二中,709,否,388.5,131,122,131
上海市松江区李塔汇学校,华东师范大学第二附属中学松江分校,705,否,378,124,123,135
上海市松江区李塔汇学校,上海市松江一中,681,否,377,116,121,116
初中学校,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,语数外,数学,语文,综合测试
上海市松江区李塔汇学校,上海外国语大学附属外国语学校松江云间中学,686,否,374,125,116,119
上海市松江区古松学校,上海市松江二中,742.5,否,405.5,125,137,141
上海市松江区古松学校,华东师范大学第二附属中学松江分校,732.5,否,397.5,128,132,140
上海市松江区古松学校,上海市松江一中,713,否,386,121,128,136
上海市松江区古松学校,上海外国语大学附属外国语学校松江云间中学,723.5,否,391.5,124,130,136
上海市松江区泖港学校,上海市松江二中,695.5,否,375,118,126,130
上海市松江区泖港学校,华东师范大学第二附属中学松江分校,711,否,387,126,128,137
上海市松江区泖港学校,上海市松江一中,698.5,否,382.5,137,125,127
上海市松江区泖港学校,上海外国语大学附属外国语学校松江云间中学,689.5,否,366.5,119,124,131
上海市松江区民乐学校,上海师范大学附属中学,742.5,否,410,132,133,139
上海市松江区民乐学校,上海市松江二中,746.5,否,409.5,137,127,142
上海市松江区民乐学校,华东师范大学第二附属中学松江分校,758,否,417.5,134,137,144
上海市松江区民乐学校,上海市松江一中,714,否,385,113,127,138
上海市松江区民乐学校,上海外国语大学附属外国语学校松江云间中学,727,否,395.5,125,128,135
上海市松江区泗泾实验学校,上海市松江二中,740.5,否,405,143,130,142
上海市松江区泗泾实验学校,华东师范大学第二附属中学松江分校,746,否,407.5,140,128,144
上海市松江区泗泾实验学校,上海市松江一中,712,否,388,121,129,135
上海市松江区泗泾实验学校,上海外国语大学附属外国语学校松江云间中学,728,否,401,134,129,134
上海市松江区佘山外国语实验学校,上海市松江二中,729.5,否,394.5,134,127,139
上海市松江区佘山外国语实验学校,华东师范大学第二附属中学松江分校,760.5,否,415.5,138,134,140
上海市松江区佘山外国语实验学校,上海市松江一中,701.5,否,376.5,118,126,130
上海市松江区佘山外国语实验学校,上海外国语大学附属外国语学校松江云间中学,722.5,否,390.5,123,129,134
上海市松江区五厍学校,复旦大学附属中学,717.5,否,397.5,140,123,135
上海市松江区五厍学校,上海市松江二中,683,否,380,115,122,118
上海市松江区五厍学校,华东师范大学第二附属中学松江分校,705,否,377.5,125,126,133
上海市松江区五厍学校,上海市松江一中,686,否,371.5,115,129,124
上海市松江区五厍学校,上海外国语大学附属外国语学校松江云间中学,686,否,359.5,138,122,137
东华大学附属实验学校松江小昆山分校,上海市松江二中,742,否,407,142,128,143
东华大学附属实验学校松江小昆山分校,华东师范大学第二附属中学松江分校,744,否,416,143,128,134
东华大学附属实验学校松江小昆山分校,上海市松江一中,721,否,396,133,126,139
初中学校,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,语数外,数学,语文,综合测试
东华大学附属实验学校松江小昆山分校,上海外国语大学附属外国语学校松江云间中学,732,否,394,140,128,146
上海市松江区仓桥学校,上海市上海中学,747.5,否,418.5,143,135,139
上海市松江区仓桥学校,上海市松江二中,739,否,407,126,135,141
上海市松江区仓桥学校,华东师范大学第二附属中学松江分校,754,否,422.5,148,131,139
上海市松江区仓桥学校,上海市松江一中,715.5,否,387,118,126,137
上海市松江区仓桥学校,上海外国语大学附属外国语学校松江云间中学,723.5,否,389.5,113,133,140
上海市松江区佘山学校,上海交通大学附属中学,724.5,否,392.5,121,136,138
上海市松江区佘山学校,上海市松江二中,726,否,392,126,126,141
上海市松江区佘山学校,华东师范大学第二附属中学松江分校,722,否,389,128,130,141
上海市松江区佘山学校,上海市松江一中,708,否,378,112,128,140
上海市松江区佘山学校,上海外国语大学附属外国语学校松江云间中学,723,否,393.5,125,130,137
上海市三新学校,上海市松江二中,745.5,否,418.5,145,130,136
上海市三新学校,华东师范大学第二附属中学松江分校,750.5,否,418.5,135,138,137
上海市三新学校,上海市松江一中,714.5,否,387,121,124,138
上海市三新学校,上海外国语大学附属外国语学校松江云间中学,729.5,否,402.5,125,132,135
上海世外教育附属松江区车墩学校,上海市松江二中,737.5,否,409,133,133,138
上海世外教育附属松江区车墩学校,华东师范大学第二附属中学松江分校,722.5,否,384.5,130,128,142
上海世外教育附属松江区车墩学校,上海市松江一中,723.5,否,389,123,125,142
上海世外教育附属松江区车墩学校,上海外国语大学附属外国语学校松江云间中学,724.5,否,389.5,124,128,138
上海市松江区张泽学校,上海市松江二中,729.5,否,403.5,139,123,136
上海市松江区张泽学校,华东师范大学第二附属中学松江分校,707,否,387.5,132,125,133
上海市松江区张泽学校,上海市松江一中,692.5,否,369.5,120,120,134
上海市松江区张泽学校,上海外国语大学附属外国语学校松江云间中学,712.5,否,384.5,121,126,137
上海市松江区天马山学校,上海市松江二中,737,否,411,132,133,135
上海市松江区天马山学校,华东师范大学第二附属中学松江分校,721.5,否,398,121,136,133
上海市松江区天马山学校,上海市松江一中,726,否,389.5,118,131,139
上海市松江区天马山学校,上海外国语大学附属外国语学校松江云间中学,713.5,否,396,126,128,127
上海戏剧学院附属松江实验学校,上海市松江二中,725,否,394.5,126,129,138
上海戏剧学院附属松江实验学校,华东师范大学第二附属中学松江分校,740.5,否,412.5,139,131,135
上海戏剧学院附属松江实验学校,上海市松江一中,724.5,否,396,128,129,137
初中学校,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,语数外,数学,语文,综合测试
上海戏剧学院附属松江实验学校,上海外国语大学附属外国语学校松江云间中学,705.5,否,389.5,122,130,123
