初中学校,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,末位录取考生成绩,末位录取考生成绩,末位录取考生成绩,末位录取考生成绩
初中学校,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,语数外,数学,语文,综合测试
上海市钟山初级中学,上海市复兴高级中学,719.5,否,398.5,128,133,130
上海市钟山初级中学,华东师范大学第一附属中学,712.5,否,390.5,128,124,132
上海市钟山初级中学,上海财经大学附属北郊高级中学,699.5,否,385.5,124,124,120
上海市江湾初级中学,上海市复兴高级中学,726.5,否,398.5,128,130,133
上海市江湾初级中学,华东师范大学第一附属中学,717.5,否,390,113,134,134
上海市江湾初级中学,上海财经大学附属北郊高级中学,707.5,否,385.5,129,125,135
上海市复兴实验中学,上海市复兴高级中学,732,否,396.5,121,130,136
上海市复兴实验中学,华东师范大学第一附属中学,717,否,390,121,123,133
上海市复兴实验中学,上海财经大学附属北郊高级中学,709,否,386,120,130,131
上海市虹口区教育学院实验中学,上海市复兴高级中学,727.5,否,405.5,140,129,137
上海市虹口区教育学院实验中学,华东师范大学第一附属中学,720.5,否,384,126,127,140
上海市虹口区教育学院实验中学,上海财经大学附属北郊高级中学,706.5,否,386.5,122,129,135
上海市虹口区教育学院实验中学,华东师范大学第二附属中学,753.5,否,418.5,136,136,138
上海市第五中学,上海市复兴高级中学,727,否,398.5,135,125,136
上海市第五中学,华东师范大学第一附属中学,691,否,389,123,128,114
上海市第五中学,上海财经大学附属北郊高级中学,698.5,否,392.5,125,129,119
上海市曲阳第二中学,上海市复兴高级中学,730,否,396.5,125,131,139
上海市曲阳第二中学,华东师范大学第一附属中学,721,否,400.5,123,132,127
上海市曲阳第二中学,上海财经大学附属北郊高级中学,711,否,392.5,118,131,124
上海市北虹初级中学,上海市复兴高级中学,717.5,否,399,124,131,128
上海市北虹初级中学,华东师范大学第一附属中学,722.5,否,402,123,134,127
上海市北虹初级中学,上海财经大学附属北郊高级中学,704,否,381,122,122,134
上海市北虹初级中学,复旦大学附属中学,751.5,否,414,138,130,144
上海市海南中学,上海市复兴高级中学,732,否,404,138,127,130
上海市海南中学,华东师范大学第一附属中学,705,否,388,113,136,127
上海市海南中学,上海财经大学附属北郊高级中学,698.5,否,386,122,126,118
上海市丰镇中学,上海市复兴高级中学,730.5,否,403.5,120,138,131
上海市丰镇中学,华东师范大学第一附属中学,715.5,否,389,126,128,135
初中学校,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,语数外,数学,语文,综合测试
上海市丰镇中学,上海财经大学附属北郊高级中学,693.5,否,365.5,109,120,135
上海市丰镇中学,华东师范大学第二附属中学,752,否,410,131,136,143
上海市澄衷初级中学,上海市上海中学,730.5,否,400.5,129,130,133
上海市澄衷初级中学,上海市复兴高级中学,736.5,否,406,129,133,142
上海市澄衷初级中学,华东师范大学第一附属中学,713.5,否,389,121,128,131
上海市澄衷初级中学,上海财经大学附属北郊高级中学,688,否,370,115,120,128
上海市鲁迅初级中学,上海市复兴高级中学,738,否,407.5,134,128,137
上海市鲁迅初级中学,华东师范大学第一附属中学,722,否,408,124,139,125
上海市鲁迅初级中学,上海财经大学附属北郊高级中学,707,否,387.5,129,115,130
上海市继光初级中学,上海市复兴高级中学,720,否,402.5,128,132,129
上海市继光初级中学,华东师范大学第一附属中学,720,否,388,126,127,141
上海市继光初级中学,上海财经大学附属北郊高级中学,704,否,387,118,130,127
华东师范大学第一附属初级中学,上海市复兴高级中学,719.5,否,395.5,117,134,132
华东师范大学第一附属初级中学,华东师范大学第一附属中学,719,否,389,122,129,139
华东师范大学第一附属初级中学,上海财经大学附属北郊高级中学,710,否,391,121,132,126
华东师范大学第一附属初级中学,上海交通大学附属中学,745,否,405.5,131,134,144
上海市民办新复兴初级中学,上海市复兴高级中学,738.5,否,409.5,137,135,136
上海市民办新复兴初级中学,华东师范大学第一附属中学,721.5,否,391.5,125,124,139
上海市民办新复兴初级中学,上海财经大学附属北郊高级中学,709,否,387,121,126,127
上海市民办新华初级中学,上海市复兴高级中学,744.5,否,411.5,134,131,139
