年份,批次,区名称,初中学校代码,初中学校,高中学校代码,名额,文件来源
2025,名额分配到校,静安,061001,上海市市西初级中学,062001,10,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061001,上海市市西初级中学,062002,9,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061001,上海市市西初级中学,062003,9,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061001,上海市市西初级中学,062011,10,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061001,上海市市西初级中学,063004,5,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061001,上海市市西初级中学,064001,7,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061001,上海市市西初级中学,042032,5,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061002,上海市育才初级中学,062001,5,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061002,上海市育才初级中学,062002,5,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061002,上海市育才初级中学,062003,5,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061002,上海市育才初级中学,062011,5,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061002,上海市育才初级中学,063004,3,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061002,上海市育才初级中学,064001,4,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061002,上海市育才初级中学,042032,3,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061003,上海市静安区协和双语培明学校,062001,2,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061003,上海市静安区协和双语培明学校,062002,2,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061003,上海市静安区协和双语培明学校,062003,2,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061003,上海市静安区协和双语培明学校,062011,2,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061003,上海市静安区协和双语培明学校,063004,2,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061003,上海市静安区协和双语培明学校,064001,2,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061003,上海市静安区协和双语培明学校,042032,2,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061003,上海市静安区协和双语培明学校,102056,1,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061005,上海市时代中学,062001,2,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061005,上海市时代中学,062002,2,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061005,上海市时代中学,062003,2,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061005,上海市时代中学,062011,2,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061005,上海市时代中学,063004,2,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061005,上海市时代中学,064001,2,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061005,上海市时代中学,042032,2,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061005,上海市时代中学,102056,1,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061008,上海市五四中学,062001,3,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061008,上海市五四中学,062002,2,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061008,上海市五四中学,062003,2,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061008,上海市五四中学,062011,3,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061008,上海市五四中学,063004,2,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061008,上海市五四中学,064001,2,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061008,上海市五四中学,042032,2,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061009,民办上海上外静安外国语中学,062001,4,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061009,民办上海上外静安外国语中学,062002,4,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061009,民办上海上外静安外国语中学,062003,4,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061009,民办上海上外静安外国语中学,062011,4,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061009,民办上海上外静安外国语中学,063004,3,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061009,民办上海上外静安外国语中学,064001,3,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061009,民办上海上外静安外国语中学,042032,3,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061050,上海市静安区市北初级中学北校,062001,7,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061050,上海市静安区市北初级中学北校,062002,6,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061050,上海市静安区市北初级中学北校,062003,6,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061050,上海市静安区市北初级中学北校,062011,7,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061050,上海市静安区市北初级中学北校,063004,4,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061050,上海市静安区市北初级中学北校,064001,5,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061050,上海市静安区市北初级中学北校,042032,4,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061051,上海市新中初级中学,062001,8,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061051,上海市新中初级中学,062002,8,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061051,上海市新中初级中学,062003,8,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061051,上海市新中初级中学,062011,9,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061051,上海市新中初级中学,063004,5,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061051,上海市新中初级中学,064001,6,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061051,上海市新中初级中学,042032,5,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061053,上海市静安区实验中学,062001,3,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061053,上海市静安区实验中学,062002,3,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061053,上海市静安区实验中学,062003,3,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061053,上海市静安区实验中学,062011,3,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061053,上海市静安区实验中学,063004,2,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061053,上海市静安区实验中学,064001,2,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061053,上海市静安区实验中学,042032,2,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061053,上海市静安区实验中学,102056,1,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061055,上海市朝阳中学,062001,1,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061055,上海市朝阳中学,062002,1,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061055,上海市朝阳中学,062003,1,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061055,上海市朝阳中学,062011,1,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061055,上海市朝阳中学,063004,1,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061055,上海市朝阳中学,064001,1,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061055,上海市朝阳中学,042032,1,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061055,上海市朝阳中学,102056,1,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061059,上海市市北初级中学,062001,10,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061059,上海市市北初级中学,062002,9,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061059,上海市市北初级中学,062003,9,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061059,上海市市北初级中学,062011,11,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061059,上海市市北初级中学,063004,6,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061059,上海市市北初级中学,064001,7,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061059,上海市市北初级中学,042032,6,2025年上海市高中名额分配到校招生计划（静安区）.pdf
