year,district,district_code,middle_school_name,high_school_code,high_school_name,quota_count,source
2025,嘉定区,JD,上海市嘉定区启良中学,142001,上海市嘉定区第一中学,6,page_1
2025,嘉定区,JD,上海市嘉定区启良中学,142002,上海交通大学附属中学嘉定分校,7,page_1
2025,嘉定区,JD,上海市嘉定区启良中学,142004,上海师范大学附属中学嘉定新城分校,2,page_1
2025,嘉定区,JD,上海市嘉定区方泰中学,152003,华东师范大学第二附属中学,1,page_1
2025,嘉定区,JD,上海市嘉定区方泰中学,142001,上海市嘉定区第一中学,1,page_1
2025,嘉定区,JD,上海市嘉定区方泰中学,142002,上海交通大学附属中学嘉定分校,2,page_1
2025,嘉定区,JD,上海市嘉定区方泰中学,142004,上海师范大学附属中学嘉定新城分校,1,page_1
2025,嘉定区,JD,上海市曹杨二中附属江桥实验中学,142001,上海市嘉定区第一中学,8,page_1
2025,嘉定区,JD,上海市曹杨二中附属江桥实验中学,142002,上海交通大学附属中学嘉定分校,10,page_1
2025,嘉定区,JD,上海市曹杨二中附属江桥实验中学,142004,上海师范大学附属中学嘉定新城分校,3,page_1
2025,嘉定区,JD,上海市嘉定区迎园中学,142001,上海市嘉定区第一中学,11,page_1
2025,嘉定区,JD,上海市嘉定区迎园中学,142002,上海交通大学附属中学嘉定分校,13,page_1
2025,嘉定区,JD,上海市嘉定区迎园中学,142004,上海师范大学附属中学嘉定新城分校,4,page_1
2025,嘉定区,JD,上海市嘉定区南苑中学,142001,上海市嘉定区第一中学,4,page_1
2025,嘉定区,JD,上海市嘉定区南苑中学,142002,上海交通大学附属中学嘉定分校,5,page_1
2025,嘉定区,JD,上海市嘉定区南苑中学,142004,上海师范大学附属中学嘉定新城分校,1,page_1
2025,嘉定区,JD,上海市嘉定区黄渡中学,152003,华东师范大学第二附属中学,1,page_1
2025,嘉定区,JD,上海市嘉定区黄渡中学,142001,上海市嘉定区第一中学,6,page_1
2025,嘉定区,JD,上海市嘉定区黄渡中学,142002,上海交通大学附属中学嘉定分校,6,page_1
2025,嘉定区,JD,上海市嘉定区黄渡中学,142004,上海师范大学附属中学嘉定新城分校,2,page_1
2025,嘉定区,JD,上海市嘉定区徐行中学,142001,上海市嘉定区第一中学,2,page_1
2025,嘉定区,JD,上海市嘉定区徐行中学,142002,上海交通大学附属中学嘉定分校,2,page_1
2025,嘉定区,JD,上海市嘉定区徐行中学,142004,上海师范大学附属中学嘉定新城分校,1,page_1
2025,嘉定区,JD,上海市嘉定区马陆育才联合中学,152003,华东师范大学第二附属中学,1,page_1
2025,嘉定区,JD,上海市嘉定区马陆育才联合中学,142001,上海市嘉定区第一中学,4,page_1
2025,嘉定区,JD,上海市嘉定区马陆育才联合中学,142002,上海交通大学附属中学嘉定分校,4,page_1
