year,district,district_code,middle_school_name,high_school_code,high_school_name,quota_count,source
2025,崇明区,CM,上海市崇明区三星中学,512001,高中512001,1,markdown
2025,崇明区,CM,上海市崇明区建设中学,512001,高中512001,1,markdown
2025,崇明区,CM,上海市崇明区建设中学,042032,上海市上海中学,1,markdown
2025,崇明区,CM,上海市崇明区合兴中学,512000,上海市崇明中学,3,markdown
2025,崇明区,CM,上海市崇明区向化中学,512000,上海市崇明中学,2,markdown
2025,崇明区,CM,上海市崇明区向化中学,512001,高中512001,1,markdown
2025,崇明区,CM,上海市崇明区崇东中学,512000,上海市崇明中学,2,markdown
2025,崇明区,CM,上海市崇明区崇东中学,512001,高中512001,2,markdown
2025,崇明区,CM,上海市崇明区裕安中学,512000,上海市崇明中学,11,markdown
2025,崇明区,CM,上海市崇明区裕安中学,512001,高中512001,7,markdown
2025,崇明区,CM,上海市崇明区实验中学,512000,上海市崇明中学,20,markdown
2025,崇明区,CM,上海市崇明区实验中学,512001,高中512001,6,markdown
2025,崇明区,CM,上海市崇明中学附属东门中学,512000,上海市崇明中学,33,markdown
2025,崇明区,CM,上海市崇明中学附属东门中学,512001,高中512001,8,markdown
2025,崇明区,CM,上海市崇明区凌云中学,512000,上海市崇明中学,1,markdown
2025,崇明区,CM,上海市崇明区凌云中学,512001,高中512001,1,markdown
2025,崇明区,CM,上海市崇明区凌云中学,042032,上海市上海中学,1,markdown
2025,崇明区,CM,上海市崇明区长兴中学,512000,上海市崇明中学,8,markdown
2025,崇明区,CM,上海市崇明区长明中学,512000,上海市崇明中学,4,markdown
2025,崇明区,CM,上海市崇明区长明中学,512001,高中512001,2,markdown
2025,崇明区,CM,上海师范大学附属崇明正大中学,512000,上海市崇明中学,16,markdown
2025,崇明区,CM,上海师范大学附属崇明正大中学,512001,高中512001,9,markdown
2025,崇明区,CM,上海市崇明区大新中学,512000,上海市崇明中学,3,markdown
2025,崇明区,CM,上海市崇明区大新中学,512001,高中512001,1,markdown
2025,崇明区,CM,上海市崇明区大公中学,512000,上海市崇明中学,4,markdown
2025,崇明区,CM,上海市崇明区大公中学,512001,高中512001,3,markdown
2025,崇明区,CM,上海市崇明区大公中学,042032,上海市上海中学,1,markdown
2025,崇明区,CM,上海民办民一中学,512000,上海市崇明中学,11,markdown
2025,崇明区,CM,上海民办民一中学,512001,高中512001,4,markdown
2025,崇明区,CM,上海市崇明区横沙中学,512000,上海市崇明中学,4,markdown
2025,崇明区,CM,上海市崇明区横沙中学,512001,高中512001,1,markdown
