year,district,district_code,middle_school_name,high_school_code,high_school_name,quota_count,source
2025,杨浦区,YP,许上海市铁岭中学,102032,上海市控江中学,16,page_1
2025,杨浦区,YP,许上海市铁岭中学,103002,同济大学第一附属中学,13,page_1
2025,杨浦区,YP,上海市鞍山初级中学,102032,上海市控江中学,9,page_1
2025,杨浦区,YP,上海市鞍山初级中学,102004,上海市杨浦高级中学,9,page_1
2025,杨浦区,YP,上海市鞍山初级中学,103002,同济大学第一附属中学,7,page_1
2025,杨浦区,YP,上海市鞍山初级中学,102056,上海交通大学附属中学,1,page_1
2025,杨浦区,YP,经上海市十五中学,102004,上海市杨浦高级中学,5,page_1
2025,杨浦区,YP,经上海市十五中学,103002,同济大学第一附属中学,4,page_1
2025,杨浦区,YP,上海市杨浦初级中学,102032,上海市控江中学,3,page_1
2025,杨浦区,YP,上海市杨浦初级中学,102004,上海市杨浦高级中学,3,page_1
2025,杨浦区,YP,上海市杨浦初级中学,103002,同济大学第一附属中学,2,page_1
2025,杨浦区,YP,上海市杨浦初级中学,102057,复旦大学附属中学,1,page_1
2025,杨浦区,YP,未上海市惠民中学,102004,上海市杨浦高级中学,4,page_1
2025,杨浦区,YP,上海市辽阳中学,102032,上海市控江中学,8,page_1
2025,杨浦区,YP,上海市辽阳中学,102004,上海市杨浦高级中学,8,page_1
2025,杨浦区,YP,上海市辽阳中学,103002,同济大学第一附属中学,7,page_1
2025,杨浦区,YP,上海市辽阳中学,102056,上海交通大学附属中学,1,page_1
2025,杨浦区,YP,上海市新大桥中学,102032,上海市控江中学,4,page_1
2025,杨浦区,YP,上海市新大桥中学,102004,上海市杨浦高级中学,4,page_1
2025,杨浦区,YP,上海市新大桥中学,103002,同济大学第一附属中学,3,page_1
2025,杨浦区,YP,经上海市建设初级中学,102032,上海市控江中学,2,page_1
2025,杨浦区,YP,经上海市建设初级中学,102004,上海市杨浦高级中学,2,page_1
2025,杨浦区,YP,上海市东辽阳中学,102032,上海市控江中学,1,page_1
2025,杨浦区,YP,上海市东辽阳中学,102004,上海市杨浦高级中学,1,page_1
2025,杨浦区,YP,上海市东辽阳中学,103002,同济大学第一附属中学,1,page_1
2025,杨浦区,YP,未上海市二十五中学,102032,上海市控江中学,4,page_1
2025,杨浦区,YP,未上海市二十五中学,103002,同济大学第一附属中学,3,page_1
2025,杨浦区,YP,上海理工大学附属初级中学,102032,上海市控江中学,10,page_1
2025,杨浦区,YP,上海理工大学附属初级中学,102004,上海市杨浦高级中学,10,page_1
2025,杨浦区,YP,上海理工大学附属初级中学,103002,同济大学第一附属中学,8,page_1
2025,杨浦区,YP,上海理工大学附属初级中学,152003,华东师范大学第二附属中学,1,page_1
2025,杨浦区,YP,上海市杨浦区教育学院附属中学,102004,上海市杨浦高级中学,3,page_1
2025,杨浦区,YP,上海市杨浦区教育学院附属中学,103002,同济大学第一附属中学,2,page_1
2025,杨浦区,YP,上海市杨浦区教育学院附属中学,102057,复旦大学附属中学,1,page_1
2025,杨浦区,YP,上海市同济初级中学,102032,上海市控江中学,7,page_2
2025,杨浦区,YP,上海市同济初级中学,102004,上海市杨浦高级中学,7,page_2
2025,杨浦区,YP,上海市同济初级中学,103002,同济大学第一附属中学,6,page_2
2025,杨浦区,YP,上海市同济初级中学,152003,华东师范大学第二附属中学,1,page_2
2025,杨浦区,YP,许上海市三门中学（上海财经大学附属初级中学）,102004,上海市杨浦高级中学,9,page_2
2025,杨浦区,YP,许上海市三门中学（上海财经大学附属初级中学）,102056,上海交通大学附属中学,1,page_2
2025,杨浦区,YP,上海市包头中学,102032,上海市控江中学,3,page_2
2025,杨浦区,YP,上海市包头中学,102004,上海市杨浦高级中学,3,page_2
2025,杨浦区,YP,上海市包头中学,103002,同济大学第一附属中学,3,page_2
2025,杨浦区,YP,可上海市思源中学,102032,上海市控江中学,5,page_2
2025,杨浦区,YP,可上海市思源中学,102004,上海市杨浦高级中学,5,page_2
2025,杨浦区,YP,可上海市思源中学,102056,上海交通大学附属中学,1,page_2
2025,杨浦区,YP,上海市鞍山实验中学,102032,上海市控江中学,5,page_2
2025,杨浦区,YP,上海市鞍山实验中学,102004,上海市杨浦高级中学,5,page_2
2025,杨浦区,YP,上海市鞍山实验中学,103002,同济大学第一附属中学,4,page_2
2025,杨浦区,YP,许上海市同济第二初级中学,102032,上海市控江中学,6,page_2
2025,杨浦区,YP,许上海市同济第二初级中学,103002,同济大学第一附属中学,5,page_2
2025,杨浦区,YP,许上海市同济第二初级中学,102057,复旦大学附属中学,1,page_2
2025,杨浦区,YP,上海市国和中学,102032,上海市控江中学,10,page_2
2025,杨浦区,YP,上海市国和中学,102004,上海市杨浦高级中学,10,page_2
2025,杨浦区,YP,上海市国和中学,103002,同济大学第一附属中学,8,page_2
2025,杨浦区,YP,上海市国和中学,102057,复旦大学附属中学,1,page_2
2025,杨浦区,YP,经上海理工大学附属实验初级中学,102004,上海市杨浦高级中学,6,page_2
2025,杨浦区,YP,经上海理工大学附属实验初级中学,103002,同济大学第一附属中学,5,page_2
2025,杨浦区,YP,经上海理工大学附属实验初级中学,102057,复旦大学附属中学,1,page_2
2025,杨浦区,YP,上海市控江初级中学,102032,上海市控江中学,11,page_2
2025,杨浦区,YP,上海市控江初级中学,102004,上海市杨浦高级中学,11,page_2
2025,杨浦区,YP,上海市控江初级中学,103002,同济大学第一附属中学,9,page_2
2025,杨浦区,YP,上海市控江初级中学,042032,上海市上海中学,1,page_2
2025,杨浦区,YP,上海民办杨浦凯慧初级中学,102032,上海市控江中学,5,page_2
2025,杨浦区,YP,上海民办杨浦凯慧初级中学,102004,上海市杨浦高级中学,5,page_2
2025,杨浦区,YP,上海民办杨浦凯慧初级中学,103002,同济大学第一附属中学,4,page_2
