year,district,district_code,middle_school_name,high_school_code,high_school_name,quota_count,source
2025,松江区,SJ,上海市松江区第七中学,172001,上海市松江二中,15,page_1
2025,松江区,SJ,上海市松江区第七中学,173001,上海市松江一中,14,page_1
2025,松江区,SJ,上海市松江区第七中学,174003,上海外国语大学附属外国语学校松江云间中学,15,page_1
2025,松江区,SJ,上海市松江区第七中学,172002,华东师范大学第二附属中学松江分校,6,page_1
2025,松江区,SJ,上海市松江区第七中学,172004,上海师范大学附属中学松江分校,1,page_1
2025,松江区,SJ,上海市松江区第七中学,042032,上海市上海中学,51,page_1
2025,松江区,SJ,上海市松江区第五中学,172001,上海市松江二中,5,page_1
2025,松江区,SJ,上海市松江区第五中学,173001,上海市松江一中,6,page_1
2025,松江区,SJ,上海市松江区第五中学,174003,上海外国语大学附属外国语学校松江云间中学,5,page_1
2025,松江区,SJ,上海市松江区第五中学,172002,华东师范大学第二附属中学松江分校,2,page_1
2025,松江区,SJ,上海市松江区第五中学,172004,上海师范大学附属中学松江分校,1,page_1
2025,松江区,SJ,上海市松江区第五中学,042032,上海市上海中学,19,page_1
2025,松江区,SJ,上海市松江四中初级中学,172001,上海市松江二中,5,page_1
2025,松江区,SJ,上海市松江四中初级中学,173001,上海市松江一中,5,page_1
2025,松江区,SJ,上海市松江四中初级中学,174003,上海外国语大学附属外国语学校松江云间中学,5,page_1
2025,松江区,SJ,上海市松江四中初级中学,172004,上海师范大学附属中学松江分校,1,page_1
2025,松江区,SJ,上海市松江四中初级中学,042032,上海市上海中学,18,page_1
2025,松江区,SJ,上海市松江区九亭中学,172001,上海市松江二中,13,page_1
2025,松江区,SJ,上海市松江区九亭中学,173001,上海市松江一中,14,page_1
2025,松江区,SJ,上海市松江区九亭中学,174003,上海外国语大学附属外国语学校松江云间中学,14,page_1
2025,松江区,SJ,上海市松江区九亭中学,172002,华东师范大学第二附属中学松江分校,5,page_1
2025,松江区,SJ,上海市松江区九亭中学,172004,上海师范大学附属中学松江分校,1,page_1
2025,松江区,SJ,上海市松江区九亭中学,042032,上海市上海中学,47,page_1
2025,松江区,SJ,上海市松江区第六中学,172001,上海市松江二中,8,page_1
2025,松江区,SJ,上海市松江区第六中学,173001,上海市松江一中,7,page_1
2025,松江区,SJ,上海市松江区第六中学,172002,华东师范大学第二附属中学松江分校,2,page_1
2025,松江区,SJ,上海市松江区第六中学,172004,上海师范大学附属中学松江分校,1,page_1
2025,松江区,SJ,上海市松江区第六中学,042032,上海市上海中学,26,page_1
2025,松江区,SJ,上海市松江区九亭第二中学,172001,上海市松江二中,4,page_1
2025,松江区,SJ,上海市松江区九亭第二中学,173001,上海市松江一中,5,page_1
2025,松江区,SJ,上海市松江区九亭第二中学,174003,上海外国语大学附属外国语学校松江云间中学,5,page_1
2025,松江区,SJ,上海市松江区九亭第二中学,172002,华东师范大学第二附属中学松江分校,2,page_1
2025,松江区,SJ,上海市松江区九亭第二中学,172004,上海师范大学附属中学松江分校,1,page_1
2025,松江区,SJ,上海市松江区九亭第二中学,042032,上海市上海中学,17,page_1
2025,松江区,SJ,上海外国语大学附属外国语学校松江云间中学,172001,上海市松江二中,7,page_1
2025,松江区,SJ,上海外国语大学附属外国语学校松江云间中学,174003,上海外国语大学附属外国语学校松江云间中学,6,page_1
2025,松江区,SJ,上海外国语大学附属外国语学校松江云间中学,172002,华东师范大学第二附属中学松江分校,2,page_1
2025,松江区,SJ,上海外国语大学附属外国语学校松江云间中学,172004,上海师范大学附属中学松江分校,1,page_1
2025,松江区,SJ,上海外国语大学附属外国语学校松江云间中学,042032,上海市上海中学,22,page_1
2025,松江区,SJ,上海市松江区新桥中学,172001,上海市松江二中,3,page_1
2025,松江区,SJ,上海市松江区新桥中学,173001,上海市松江一中,3,page_1
2025,松江区,SJ,上海市松江区新桥中学,174003,上海外国语大学附属外国语学校松江云间中学,3,page_1
2025,松江区,SJ,上海市松江区新桥中学,172002,华东师范大学第二附属中学松江分校,1,page_1
2025,松江区,SJ,上海市松江区新桥中学,172004,上海师范大学附属中学松江分校,1,page_1
2025,松江区,SJ,上海市松江区新桥中学,042032,上海市上海中学,11,page_1
2025,松江区,SJ,上海市松江区民办茸一中学,173001,上海市松江一中,7,page_1
2025,松江区,SJ,上海市松江区民办茸一中学,174003,上海外国语大学附属外国语学校松江云间中学,6,page_1
2025,松江区,SJ,上海市松江区民办茸一中学,172002,华东师范大学第二附属中学松江分校,2,page_1
2025,松江区,SJ,上海市松江区民办茸一中学,172004,上海师范大学附属中学松江分校,1,page_1
2025,松江区,SJ,上海市松江区民办茸一中学,042032,上海市上海中学,23,page_1
