year,district,district_code,middle_school_name,high_school_code,high_school_name,quota_count,source
2025,虹口区,HK,虹口实验中学,092001,复旦大学附属复兴中学,14,xlsx
2025,虹口区,HK,虹口实验中学,092002,华东师范大学第一附属中学,13,xlsx
2025,虹口区,HK,虹口实验中学,093001,上海财经大学附属北郊高级中学,10,xlsx
2025,虹口区,HK,曲阳二中中学,092001,复旦大学附属复兴中学,12,xlsx
2025,虹口区,HK,曲阳二中中学,092002,华东师范大学第一附属中学,11,xlsx
2025,虹口区,HK,曲阳二中中学,093001,上海财经大学附属北郊高级中学,9,xlsx
2025,虹口区,HK,钟山初级中学,092001,复旦大学附属复兴中学,9,xlsx
2025,虹口区,HK,钟山初级中学,092002,华东师范大学第一附属中学,9,xlsx
2025,虹口区,HK,钟山初级中学,093001,上海财经大学附属北郊高级中学,8,xlsx
2025,虹口区,HK,长青学校中学,092001,复旦大学附属复兴中学,6,xlsx
2025,虹口区,HK,长青学校中学,092002,华东师范大学第一附属中学,5,xlsx
2025,虹口区,HK,长青学校中学,093001,上海财经大学附属北郊高级中学,5,xlsx
2025,虹口区,HK,公办华初中学,092001,复旦大学附属复兴中学,8,xlsx
2025,虹口区,HK,公办华初中学,092002,华东师范大学第一附属中学,7,xlsx
2025,虹口区,HK,公办华初中学,093001,上海财经大学附属北郊高级中学,6,xlsx
2025,虹口区,HK,公办华初中学,102056,上海交通大学附属中学,1,xlsx
2025,虹口区,HK,丰镇中学,092001,复旦大学附属复兴中学,9,xlsx
2025,虹口区,HK,丰镇中学,092002,华东师范大学第一附属中学,8,xlsx
2025,虹口区,HK,丰镇中学,093001,上海财经大学附属北郊高级中学,7,xlsx
2025,虹口区,HK,北郊学校中学,092001,复旦大学附属复兴中学,5,xlsx
2025,虹口区,HK,北郊学校中学,092002,华东师范大学第一附属中学,5,xlsx
2025,虹口区,HK,北郊学校中学,093001,上海财经大学附属北郊高级中学,4,xlsx
2025,虹口区,HK,江湾初级中学,092001,复旦大学附属复兴中学,8,xlsx
2025,虹口区,HK,江湾初级中学,092002,华东师范大学第一附属中学,7,xlsx
2025,虹口区,HK,江湾初级中学,093001,上海财经大学附属北郊高级中学,6,xlsx
2025,虹口区,HK,江湾初级中学,102056,上海交通大学附属中学,1,xlsx
2025,虹口区,HK,复兴实验中学,092001,复旦大学附属复兴中学,5,xlsx
2025,虹口区,HK,复兴实验中学,092002,华东师范大学第一附属中学,5,xlsx
2025,虹口区,HK,复兴实验中学,093001,上海财经大学附属北郊高级中学,4,xlsx
2025,虹口区,HK,上音实验中学,092001,复旦大学附属复兴中学,6,xlsx
2025,虹口区,HK,上音实验中学,092002,华东师范大学第一附属中学,5,xlsx
2025,虹口区,HK,上音实验中学,093001,上海财经大学附属北郊高级中学,5,xlsx
2025,虹口区,HK,上音实验中学,102056,上海交通大学附属中学,1,xlsx
2025,虹口区,HK,实验中学,092001,复旦大学附属复兴中学,5,xlsx
2025,虹口区,HK,实验中学,092002,华东师范大学第一附属中学,6,xlsx
2025,虹口区,HK,实验中学,093001,上海财经大学附属北郊高级中学,4,xlsx
2025,虹口区,HK,继光初级中学,092001,复旦大学附属复兴中学,4,xlsx
2025,虹口区,HK,继光初级中学,092002,华东师范大学第一附属中学,4,xlsx
2025,虹口区,HK,继光初级中学,093001,上海财经大学附属北郊高级中学,3,xlsx
2025,虹口区,HK,海南中学,092001,复旦大学附属复兴中学,1,xlsx
2025,虹口区,HK,海南中学,092002,华东师范大学第一附属中学,1,xlsx
2025,虹口区,HK,海南中学,093001,上海财经大学附属北郊高级中学,1,xlsx
2025,虹口区,HK,海南中学,152003,华东师范大学第二附属中学,1,xlsx
2025,虹口区,HK,鲁迅初级中学,092001,复旦大学附属复兴中学,5,xlsx
2025,虹口区,HK,鲁迅初级中学,092002,华东师范大学第一附属中学,5,xlsx
2025,虹口区,HK,鲁迅初级中学,093001,上海财经大学附属北郊高级中学,3,xlsx
2025,虹口区,HK,五十二中中学,092001,复旦大学附属复兴中学,3,xlsx
2025,虹口区,HK,五十二中中学,092002,华东师范大学第一附属中学,3,xlsx
2025,虹口区,HK,五十二中中学,093001,上海财经大学附属北郊高级中学,2,xlsx
2025,虹口区,HK,上师虹口中学,092001,复旦大学附属复兴中学,3,xlsx
2025,虹口区,HK,上师虹口中学,092002,华东师范大学第一附属中学,3,xlsx
2025,虹口区,HK,上师虹口中学,093001,上海财经大学附属北郊高级中学,2,xlsx
2025,虹口区,HK,上师虹口中学,102057,复旦大学附属中学,1,xlsx
2025,虹口区,HK,同济澄衷中学,092001,复旦大学附属复兴中学,2,xlsx
2025,虹口区,HK,同济澄衷中学,092002,华东师范大学第一附属中学,3,xlsx
2025,虹口区,HK,同济澄衷中学,093001,上海财经大学附属北郊高级中学,2,xlsx
2025,虹口区,HK,同济澄衷中学,102057,复旦大学附属中学,1,xlsx
2025,虹口区,HK,世外欧阳中学,092001,复旦大学附属复兴中学,4,xlsx
2025,虹口区,HK,世外欧阳中学,092002,华东师范大学第一附属中学,4,xlsx
2025,虹口区,HK,世外欧阳中学,093001,上海财经大学附属北郊高级中学,2,xlsx
2025,虹口区,HK,民办新华初中学,092001,复旦大学附属复兴中学,17,xlsx
2025,虹口区,HK,民办新华初中学,092002,华东师范大学第一附属中学,15,xlsx
2025,虹口区,HK,民办新华初中学,093001,上海财经大学附属北郊高级中学,11,xlsx
2025,虹口区,HK,民办新华初中学,042032,上海市上海中学,1,xlsx
2025,虹口区,HK,民办新复兴中学,092001,复旦大学附属复兴中学,17,xlsx
2025,虹口区,HK,民办新复兴中学,092002,华东师范大学第一附属中学,15,xlsx
2025,虹口区,HK,民办新复兴中学,093001,上海财经大学附属北郊高级中学,12,xlsx
2025,虹口区,HK,民办新复兴中学,102057,复旦大学附属中学,1,xlsx
2025,虹口区,HK,民办新北郊中学,092001,复旦大学附属复兴中学,17,xlsx
2025,虹口区,HK,民办新北郊中学,092002,华东师范大学第一附属中学,15,xlsx
2025,虹口区,HK,民办新北郊中学,093001,上海财经大学附属北郊高级中学,12,xlsx
2025,虹口区,HK,民办新北郊中学,152003,华东师范大学第二附属中学,1,xlsx
2025,虹口区,HK,民办迅行中学,092001,复旦大学附属复兴中学,8,xlsx
2025,虹口区,HK,民办迅行中学,092002,华东师范大学第一附属中学,7,xlsx
2025,虹口区,HK,民办迅行中学,093001,上海财经大学附属北郊高级中学,5,xlsx
2025,虹口区,HK,民办克勒中学,092001,复旦大学附属复兴中学,10,xlsx
2025,虹口区,HK,民办克勒中学,092002,华东师范大学第一附属中学,10,xlsx
2025,虹口区,HK,民办克勒中学,093001,上海财经大学附属北郊高级中学,8,xlsx
2025,虹口区,HK,民办克勒中学,042032,上海市上海中学,1,xlsx
2025,虹口区,HK,民办克勒中学,102056,上海交通大学附属中学,1,xlsx
