year,district,district_code,middle_school_name,high_school_code,high_school_name,quota_count,source
2025,闵行区,MH,上海市航华中学,122001,上海市七宝中学,5,page_1
2025,闵行区,MH,上海市航华中学,123001,上海市闵行中学,3,page_1
2025,闵行区,MH,上海市航华中学,122002,华东师范大学第二附属中学闵行紫竹分校,2,page_1
2025,闵行区,MH,上海市航华中学,122003,上海师范大学附属中学闵行分校,2,page_1
2025,闵行区,MH,上海市航华中学,122004,上海交通大学附属中学闵行分校,2,page_1
2025,闵行区,MH,上海市航华中学,012006,上海市向明中学（浦江校区）,1,page_1
2025,闵行区,MH,上海市航华中学,152006,上海师范大学附属中学,1,page_1
2025,闵行区,MH,上海市闵行区上虹中学,122001,上海市七宝中学,3,page_1
2025,闵行区,MH,上海市闵行区上虹中学,123001,上海市闵行中学,2,page_1
2025,闵行区,MH,上海市闵行区上虹中学,122002,华东师范大学第二附属中学闵行紫竹分校,2,page_1
2025,闵行区,MH,上海市闵行区上虹中学,122003,上海师范大学附属中学闵行分校,2,page_1
2025,闵行区,MH,上海市闵行区上虹中学,122004,上海交通大学附属中学闵行分校,1,page_1
2025,闵行区,MH,上海市闵行区上虹中学,042002,上海市第二中学（梅陇校区）,1,page_1
2025,闵行区,MH,上海市闵行区上虹中学,042032,上海市上海中学,1,page_1
2025,闵行区,MH,上海市龙柏中学,122001,上海市七宝中学,1,page_1
2025,闵行区,MH,上海市龙柏中学,123001,上海市闵行中学,1,page_1
2025,闵行区,MH,上海市龙柏中学,122002,华东师范大学第二附属中学闵行紫竹分校,1,page_1
2025,闵行区,MH,上海市龙柏中学,122003,上海师范大学附属中学闵行分校,1,page_1
2025,闵行区,MH,上海市龙柏中学,122004,上海交通大学附属中学闵行分校,1,page_1
2025,闵行区,MH,上海市龙柏中学,042002,上海市第二中学（梅陇校区）,2,page_1
2025,闵行区,MH,上海市闵行区七宝第二中学,122001,上海市七宝中学,16,page_1
2025,闵行区,MH,上海市闵行区七宝第二中学,123001,上海市闵行中学,19,page_1
2025,闵行区,MH,上海市闵行区七宝第二中学,122002,华东师范大学第二附属中学闵行紫竹分校,10,page_1
2025,闵行区,MH,上海市闵行区七宝第二中学,122003,上海师范大学附属中学闵行分校,11,page_1
2025,闵行区,MH,上海市闵行区七宝第二中学,122004,上海交通大学附属中学闵行分校,11,page_1
2025,闵行区,MH,上海市闵行区七宝第二中学,012006,上海市向明中学（浦江校区）,5,page_1
2025,闵行区,MH,上海市闵行区七宝第二中学,042002,上海市第二中学（梅陇校区）,6,page_1
2025,闵行区,MH,上海市罗阳中学,122001,上海市七宝中学,2,page_1
2025,闵行区,MH,上海市罗阳中学,123001,上海市闵行中学,2,page_1
2025,闵行区,MH,上海市罗阳中学,122002,华东师范大学第二附属中学闵行紫竹分校,1,page_1
2025,闵行区,MH,上海市罗阳中学,122003,上海师范大学附属中学闵行分校,2,page_1
2025,闵行区,MH,上海市罗阳中学,122004,上海交通大学附属中学闵行分校,1,page_1
