school_code,school_name,district,plan_balance
064024,上海市民办风范中学,静安区,1
074081,上海安生学校,普陀区,27
104021,上海市民办上实剑桥外国语中学,杨浦区,118
124117,上海闵行区诺美高级中学,闵行区,26
124118,上海圣华紫竹高级中学,闵行区,93
125117,上海闵行区诺达双语学校,闵行区,51
125119,上海闵行区民办德闳学校,闵行区,42
134010,上海民办行中中学,宝山区,157
134013,上海宝山区民办维尚高级中学,宝山区,32
134014,上海创艺高级中学,宝山区,133
134015,上海市宝山华曜高级中学,宝山区,28
135001,上海市同洲模范学校,宝山区,39
135003,上海金瑞学校,宝山区,58
145007,上海市民办远东学校,嘉定区,2
145018,上海华旭双语学校,嘉定区,226
145030,上海嘉定区民办华盛怀少学校,嘉定区,166
151082,上海民办光华中学,浦东新区,24
154033,上海市浦东新区民办浦实高级中学,浦东新区,86
154039,上海市民办丰华高级中学,浦东新区,3
155013,上海市民办金苹果学校,浦东新区,6
155041,上海浦东新区民办东鼎外国语学校,浦东新区,36
155047,上海浦东新区民办沪港学校,浦东新区,44
155050,上海浦东新区民办万科学校,浦东新区,26
155052,上海浦东新区民办惠立学校,浦东新区,12
155053,上海浦东新区民办宏文学校,浦东新区,5
155056,上海浦东新区民办康德学校,浦东新区,45
155057,上海浦东新区民办籽奥高级中学,浦东新区,40
164005,上海市民办交大南洋中学,金山区,13
164008,上海市民办永昌中学,金山区,27
173002,上海市松江区科德高级中学,松江区,35
173005,上海市松江区励滕高级中学,松江区,38
173006,上海市松江区弘毅南洋高级中学,松江区,69
174013,上海领科双语学校,松江区,1
175024,上海赫贤学校,松江区,42
175025,上海松江区爱菊学校,松江区,41
184006,上海青浦区世外高级中学,青浦区,20
184007,上海青浦区宏润博源高级中学,青浦区,62
185014,上海青浦区协和双语学校,青浦区,32
204020,上海美达菲双语高级中学,奉贤区,87
204021,上海奉贤区博华高级中学,奉贤区,1
514010,上海民办民一中学,崇明区,18
514014,上海新纪元双语学校,崇明区,20
