school_code,school_name,min_score,chinese_math_foreign_sum,math_score,chinese_score,comprehensive_score
132001,上海市行知中学,695.0,410.0,138.0,127.0,None
132002,上海大学附属中学,678.0,396.0,127.0,129.0,None
132003,上海师范大学附属中学宝山分校,691.0,405.0,140.0,122.0,None
133001,上海市吴淞中学,681.5,399.5,130.0,124.0,None
133002,上海师范大学附属宝山罗店中学,659.5,385.5,136.0,113.0,None
133003,华东师范大学第二附属中学（宝山校区）,704.5,412.5,137.0,128.0,None
134001,上海市宝山中学,645.0,378.0,131.0,111.0,None
134002,上海市通河中学,636.5,369.0,112.0,122.0,None
134003,上海市淞浦中学,575.5,329.5,113.0,126.0,None
134004,上海市顾村中学,620.5,355.0,105.0,121.0,None
134005,上海市行知实验中学,611.0,366.5,116.0,117.0,None
134006,上海市高境第一中学,599.5,346.0,101.0,116.0,None
134009,上海市宝山区海滨中学,590.5,331.5,104.0,103.0,None
134010,上海民办行中中学,480.0,None,None,None,None
134012,上海存志高级中学,591.0,346.5,97.0,124.0,None
134013,上海宝山区民办维尚高级中学,501.0,None,None,None,None
134014,上海创艺高级中学,485.0,None,None,None,None
134015,上海市宝山华曜高级中学,527.5,307.5,90.0,111.0,None
135001,上海市同洲模范学校,501.0,None,None,None,None
135003,上海金瑞学校,501.0,None,None,None,None
135033,上海民办至德实验学校,621.5,358.5,101.0,124.0,None
135034,上海宝山区世外学校,670.5,394.5,126.0,125.0,None
014006,上海市同济黄浦设计创意中学,659.0,373.5,111.0,119.0,None
042032,上海市上海中学,717.5,426.0,150.0,131.0,None
063008,上海市久隆模范中学,633.5,372.0,118.0,119.0,None
064020,上海田家炳中学,656.0,377.0,130.0,108.0,None
064021,上海市民办扬波中学,573.5,336.5,86.0,111.0,None
064024,上海市民办风范中学,568.0,337.0,98.0,112.0,None
069004,上海戏剧学院附属高级中学（艺术班）,616.5,359.0,112.0,119.0,None
074081,上海安生学校,501.0,None,None,None,None
079016,上海音乐学院附属安师实验中学（艺术班）,580.5,333.5,87.0,121.0,None
102056,上海交通大学附属中学,717.0,423.0,146.0,129.0,None
102057,复旦大学附属中学,717.0,424.0,144.0,134.0,None
124116,上海市民办燎原双语高级中学,608.5,346.5,103.0,117.0,None
145007,上海市民办远东学校,567.5,338.5,99.0,111.0,None
145018,上海华旭双语学校,491.0,None,None,None,None
145030,上海嘉定区民办华盛怀少学校,501.0,None,None,None,None
152003,华东师范大学第二附属中学,716.5,428.0,150.0,130.0,None
154039,上海市民办丰华高级中学,559.0,329.0,107.0,116.0,None
154048,民办上海工商外国语职业学院附属中学,562.5,335.0,95.0,118.0,None
155041,上海浦东新区民办东鼎外国语学校,553.5,315.0,77.0,119.0,None
155043,上海市民办尚德实验学校,630.0,366.0,105.0,124.0,None
164005,上海市民办交大南洋中学,501.0,None,None,None,None
164008,上海市民办永昌中学,501.0,None,None,None,None
165004,上海金山区世外学校,662.0,397.5,129.0,127.0,None
173005,上海市松江区励滕高级中学,501.0,None,None,None,None
174013,上海领科双语学校,603.5,353.0,116.0,113.0,None
175018,上海市西外外国语学校,504.5,287.0,86.0,103.0,None
175024,上海赫贤学校,501.0,None,None,None,None
175025,上海松江区爱菊学校,501.0,None,None,None,None
184006,上海青浦区世外高级中学,533.0,303.0,91.0,98.0,None
184007,上海青浦区宏润博源高级中学,491.0,None,None,None,None
185014,上海青浦区协和双语学校,501.0,None,None,None,None
204020,上海美达菲双语高级中学,501.0,None,None,None,None
204021,上海奉贤区博华高级中学,558.0,309.5,100.0,109.0,None
514001,上海市崇明区城桥中学,564.0,326.5,104.0,108.0,None
514004,上海市崇明区堡镇中学,599.5,347.0,100.0,118.0,None
514010,上海民办民一中学,483.0,311.0,70.0,110.0,None
514014,上海新纪元双语学校,462.0,None,None,None,None
