school_code,school_id,school_name,min_score,chinese_math_foreign_sum,math_score,chinese_score
202001,281,上海市奉贤中学,690,406,138,126
202002,282,华东师范大学第二附属中学临港奉贤分校,682.5,401.5,129,130
012002,38,上海市格致中学（奉贤校区）,682,402,129,133
203002,283,华东理工大学附属奉贤曙光中学,659.5,385.5,125,121
204001,284,东华大学附属奉贤致远中学,637.5,371.5,128,113
204005,285,上海应用技术大学附属奉贤奉城高级中学,616.5,362.5,133,126
204006,286,上海师范大学第四附属中学,579,336,119,103
204008,287,上海市奉贤区景秀高级中学,591.5,345.5,103,116
204020,342,上海美达菲双语高级中学,506.5,259.5,102,106
204021,364,上海奉贤区博华高级中学,507.5,282.5,57,119
042032,1,上海市上海中学,718,424,140,137
064020,323,上海田家炳中学,637.5,369.5,116,125
069004,368,上海戏剧学院附属高级中学（艺术班）,662.5,394,123,134
079016,369,上海音乐学院附属安师实验中学（艺术班）,630,378,120,123
102056,2,上海交通大学附属中学,713,428,146,137
102057,3,复旦大学附属中学,709.5,420.5,143,133
124109,154,上海市民办文绮中学,627,363,106,117
124118,352,上海圣华紫竹高级中学,513,280.5,67,120
134010,175,上海民办行中中学,491,275.5,78,97
134012,176,上海存志高级中学,649.5,370.5,118,115
134014,178,上海创艺高级中学,578.5,333.5,106,119
134015,179,上海市宝山华曜高级中学,506,276,96,99
135001,180,上海市同洲模范学校,503,293.5,76,99
145007,190,上海市民办远东学校,529,283,122,100
152003,4,华东师范大学第二附属中学,711,417,138,133
152006,5,上海师范大学附属中学,694.5,403.5,134,128
154039,225,上海市民办丰华高级中学,573.5,298.5,106,109
154048,227,民办上海工商外国语职业学院附属中学,568,321,100,111
155041,234,上海浦东新区民办东鼎外国语学校,578,333,93,118
155043,235,上海市民办尚德实验学校,619.5,356.5,111,123
164005,341,上海市民办交大南洋中学,523.5,312,101,110
164008,251,上海市民办永昌中学,565.5,318.5,103,114
165004,249,上海金山区世外学校,624,360,111,120
175018,267,上海市西外外国语学校,532.5,286.5,76,113
175024,269,上海赫贤学校,629,369,113,119
175025,270,上海松江区爱菊学校,531,302,82,111
184006,277,上海青浦区世外高级中学,509,275,103,103
201004,363,上海市奉贤中学附属南桥中学,657.5,383.5,111,128
514001,291,上海市崇明区城桥中学,559.5,328.5,88,107
514004,294,上海市崇明区堡镇中学,624,370,110,120
514010,295,上海民办民一中学,544,296,87,121
