school_code,program_name,min_score,is_tie,chinese_math_foreign_sum,math_score,chinese_score,comprehensive_score
201001,商业会计,533.5,否,325,92,111,88
209001,工商外语,510.5,否,271.5,84,97,111
212001,工业技术,516,否,312,93,101,70
213001,材料工程,537,否,299.5,83,102,102
215001,信息管理,567.5,否,297,97,109,128
225001,经济管理,473.5,否,257.5,76,112,85
227001,商校财经,446,否,242,53,116,74
229001,贸易学校,374,否,187,89,51,66
236001,科技综合,443.5,否,235.5,69,108,78
241001,建筑工程,468.5,否,268.5,75,117,77
242001,西南工程,497,否,274,63,105,92.5
253001,大众中专,511,否,283.5,118,114,99
254001,行政管理,355.5,否,170.5,84,59,76
259001,二轻统招,479,否,275.5,83,117,67
260001,医药学校,562.5,否,329.5,86,118,101
261001,环境学校,457,否,262.5,79,104,76
262001,航空安检,574.5,否,339,110,115,104
262005,航空维修,577,否,341,114,98,106.5
265001,食品科技1,473,否,228.5,71,113,102
269001,工商信息,438,否,236.5,45,101,74
273001,奉贤数控1,368,否,185.5,66,96,61
273002,奉贤机电1,403.5,否,235.5,69,93,55
273003,奉贤机人,449,否,210,46,114,107
273004,奉贤会计1,341.5,否,167,27,81,52
273005,奉贤平面,393.5,否,201,84,79,65
273006,奉贤汽修,354.5,否,164.5,41,91,66
273007,奉贤酒店,347.5,否,157.5,24,102,71
273008,奉贤网销,329.5,否,151.5,17,94,59
302001,江南船舶,450,否,239,114,92,101
326001,新闻出版,460.5,否,265.5,52,107,74
331001,沪东造船,417.5,否,209.5,89,106,89
408001,中华职校,452,否,235.5,93,102,95
416001,逸夫职校,550.5,否,320,121,107,107
418001,曹杨职校,450,否,211.5,53,121,108
427001,上师附职,348,否,179.5,26,105,54
436001,鸿文职校,338,否,177.5,50,91,45
441001,振华国商,420.5,否,220.5,57,98,77
441002,振华跨境,545.5,否,313,103,102,99
441007,振华烹饪,421,否,244,48,113,57
442001,群星职校,437,否,241,16,106,66
454001,青职汽车,345.5,否,183,75,85,49
454002,青职计应,319,否,153,19,82,46
454003,青职物流,373,否,179,8,107,66
454004,青职服装,447.5,否,248,61,106,76
460001,奉贤数控2,347,否,173,48,61,59
460002,奉贤机电2,375.5,否,169,67,74,84
460003,奉贤会计2,305,否,122.5,26,82,59
