high_school_code,high_school_name,quota_count
042032,上海市上海中学,11
102056,上海交通大学附属中学,24
102057,复旦大学附属中学,17
152003,华东师范大学第二附属中学,10
012001,上海市格致中学,15
012003,上海市大同中学,6
012007,上海外国语大学附属大境中学,4
012008,上海市光明中学,2
012011,同济大学科技中学,2
042001,上海市第二中学,2
042008,上海市南洋模范中学,3
042035,上海市位育中学,2
043015,上海市南洋中学,2
052001,上海市第三女子中学,5
052002,上海市延安中学,2
053004,上海市复旦中学,1
062001,上海市市西中学,6
062002,上海市育才中学,6
062003,上海市新中高级中学,28
062004,上海市市北中学,12
062011,上海市回民中学,9
063004,上海市第六十中学,12
064001,上海市华东模范中学,2
072001,上海市晋元高级中学,30
072002,上海市曹杨第二中学,10
073003,上海市宜川中学,10
092001,复旦大学附属复兴中学,12
092002,华东师范大学第一附属中学,4
093001,上海财大学附属北郊高级中学,6
102004,上海市杨浦高级中学,18
102032,上海市控江中学,10
103002,同济大学第一附属中学,26
122001,上海市七宝中学,6
123001,上海市闵行中学,10
122002,华东师范大学第二附属中学 闵行紫竹分校,2
122003,上海师范大学附属中学闵行分校,7
132001,上海市行知中学,11
132002,上海大学附属中学,12
133001,上海市吴淞中学,10
132003,上海师范大学附属中学宝山分校,5
133003,华东师范大学第二附属中学 （宝山校区）,6
142001,上海市嘉定区第一中学,9
142002,上海交通大学附属中学嘉定分校,8
142004,上海师范大学附属中学嘉定新城分校,4
152001,上海市建平中学,9
152002,上海市进才中学,8
152004,上海南汇中学,8
153001,上海市洋泾中学,5
153004,上海市高桥中学,8
153005,上海市川沙中学,5
151078,上海中学东校,9
152005,上海市浦东复旦附中分校,2
162000,上海市金山中学,2
163002,华东师范大学第三附属中学,2
172001,上海市松江二中,3
173001,上海市松江一中,3
174003,上海外国语大学附属外国语学校 松江云间中学,4
182001,上海市青浦高级中学,6
183002,上海市朱家角中学,7
182002,复旦大学附属中学青浦分校,4
202001,上海市奉贤中学,2
202002,华东师范大学第二附属中学 临港奉贤分校,2
512000,上海市崇明中学,8
512001,上海市实验学校东滩高级中学,2
