high_school_code,high_school_name,quota_count
042032,上海市上海中学,9
102056,上海交通大学附属中学,8
102057,复旦大学附属中学,10
152003,华东师范大学第二附属中学,9
152006,上海师范大学附属中学,2
012001,上海市格致中学,4
012005,上海市向明中学,4
012007,上海外国语大学附属大境中学,2
012008,上海市光明中学,1
012011,同济大学科技中学,2
042001,上海市第二中学,6
042008,上海市南洋模范中学,7
042035,上海市位育中学,2
043015,上海市南洋中学,4
052001,上海市第三女子中学,8
052002,上海市延安中学,6
053004,上海市复旦中学,5
062001,上海市市西中学,7
062002,上海市育才中学,2
062003,上海市新中高级中学,3
062004,上海市市北中学,3
062011,上海市回民中学,1
063004,上海市第六十中学,3
064001,上海市华东模范中学,4
072001,上海市晋元高级中学,4
072002,上海市曹杨第二中学,6
073003,上海市宜川中学,7
073082,华东师范大学第二附属中学 （普陀校区）,9
092001,复旦大学附属复兴中学,2
092002,华东师范大学第一附属中学,1
102004,上海市杨浦高级中学,1
122001,上海市七宝中学,3
123001,上海市闵行中学,4
122002,华东师范大学第二附属中学 闵行紫竹分校,4
122003,上海师范大学附属中学闵行分校,2
122004,上海交通大学附属中学闵行分校,3
132001,上海市行知中学,1
132002,上海大学附属中学,3
132003,上海师范大学附属中学宝山分校,3
133003,华东师范大学第二附属中学 （宝山校区）,2
142001,上海市嘉定区第一中学,4
142002,上海交通大学附属中学嘉定分校,7
142004,上海师范大学附属中学嘉定新城分校,3
152001,上海市建平中学,6
152002,上海市进才中学,8
152004,上海南汇中学,10
153001,上海市洋泾中学,1
153004,上海市高桥中学,3
153005,上海市川沙中学,7
151078,上海中学东校,4
162000,上海市金山中学,1
163002,华东师范大学第三附属中学,3
172001,上海市松江二中,2
173001,上海市松江一中,5
174003,上海外国语大学附属外国语学校 松江云间中学,2
182001,上海市青浦高级中学,5
183002,上海市朱家角中学,6
182002,复旦大学附属中学青浦分校,4
202001,上海市奉贤中学,2
202002,华东师范大学第二附属中学 临港奉贤分校,4
512000,上海市崇明中学,2
