high_school_code,high_school_name,middle_school_name,middle_school_code,quota_count
132001,行知中学,上海市淞谊中学,131002,8
133001,吴淞中学,上海市淞谊中学,131002,7
132002,上大附中,上海市淞谊中学,131002,8
133003,华二宝山,上海市淞谊中学,131002,4
132003,上师附中,上海市淞谊中学,131002,3
132001,行知中学,上海市宝山区教育学院附属中学,131004,6
133001,吴淞中学,上海市宝山区教育学院附属中学,131004,7
132002,上大附中,上海市宝山区教育学院附属中学,131004,7
133003,华二宝山,上海市宝山区教育学院附属中学,131004,4
132003,上师附中,上海市宝山区教育学院附属中学,131004,4
132001,行知中学,上海市宝山区吴淞初级中学,131006,1
133001,吴淞中学,上海市宝山区吴淞初级中学,131006,1
132002,上大附中,上海市宝山区吴淞初级中学,131006,1
133003,华二宝山,上海市宝山区吴淞初级中学,131006,1
132003,上师附中,上海市宝山区吴淞初级中学,131006,1
132001,行知中学,上海市吴淞中学附属宝山实验学校,131008,2
133001,吴淞中学,上海市吴淞中学附属宝山实验学校,131008,3
132002,上大附中,上海市吴淞中学附属宝山实验学校,131008,3
133003,华二宝山,上海市吴淞中学附属宝山实验学校,131008,2
132003,上师附中,上海市吴淞中学附属宝山实验学校,131008,1
132001,行知中学,上海民办宝莲中学,131009,8
133001,吴淞中学,上海民办宝莲中学,131009,7
132002,上大附中,上海民办宝莲中学,131009,7
133003,华二宝山,上海民办宝莲中学,131009,5
132003,上师附中,上海民办宝莲中学,131009,3
132001,行知中学,上海市吴淞第二中学,131010,2
133001,吴淞中学,上海市吴淞第二中学,131010,3
132002,上大附中,上海市吴淞第二中学,131010,3
133003,华二宝山,上海市吴淞第二中学,131010,2
132003,上师附中,上海市吴淞第二中学,131010,1
132001,行知中学,上海市虎林中学,131011,4
133001,吴淞中学,上海市虎林中学,131011,3
132002,上大附中,上海市虎林中学,131011,3
133003,华二宝山,上海市虎林中学,131011,1
132003,上师附中,上海市虎林中学,131011,1
102057,复旦附中,上海市虎林中学,131011,1
132001,行知中学,上海市泗塘中学,131012,5
133001,吴淞中学,上海市泗塘中学,131012,4
132002,上大附中,上海市泗塘中学,131012,4
133003,华二宝山,上海市泗塘中学,131012,2
132003,上师附中,上海市泗塘中学,131012,2
132001,行知中学,上海市宝山区求真中学北校,131013,3
133001,吴淞中学,上海市宝山区求真中学北校,131013,3
132002,上大附中,上海市宝山区求真中学北校,131013,2
133003,华二宝山,上海市宝山区求真中学北校,131013,1
132003,上师附中,上海市宝山区求真中学北校,131013,1
132001,行知中学,上海市宝山区求真中学南校,131014,2
133001,吴淞中学,上海市宝山区求真中学南校,131014,2
132002,上大附中,上海市宝山区求真中学南校,131014,3
133003,华二宝山,上海市宝山区求真中学南校,131014,2
132003,上师附中,上海市宝山区求真中学南校,131014,2
132001,行知中学,上海市长江第二中学,131015,7
133001,吴淞中学,上海市长江第二中学,131015,6
132002,上大附中,上海市长江第二中学,131015,7
133003,华二宝山,上海市长江第二中学,131015,4
132003,上师附中,上海市长江第二中学,131015,3
132001,行知中学,上海市宝山区求真中学,131016,6
133001,吴淞中学,上海市宝山区求真中学,131016,6
132002,上大附中,上海市宝山区求真中学,131016,7
133003,华二宝山,上海市宝山区求真中学,131016,3
132003,上师附中,上海市宝山区求真中学,131016,2
102056,交大附中,上海市宝山区求真中学,131016,1
132001,行知中学,上海市大场中学,131018,2
133001,吴淞中学,上海市大场中学,131018,2
132002,上大附中,上海市大场中学,131018,3
133003,华二宝山,上海市大场中学,131018,2
132003,上师附中,上海市大场中学,131018,2
132001,行知中学,上海市大华中学,131019,2
133001,吴淞中学,上海市大华中学,131019,3
132002,上大附中,上海市大华中学,131019,3
133003,华二宝山,上海市大华中学,131019,2
132003,上师附中,上海市大华中学,131019,2
132001,行知中学,上海市月浦中学,131020,5
133001,吴淞中学,上海市月浦中学,131020,4
132002,上大附中,上海市月浦中学,131020,4
133003,华二宝山,上海市月浦中学,131020,2
132003,上师附中,上海市月浦中学,131020,2
132001,行知中学,上海市宝山华曜附属罗泾中学,131023,4
133001,吴淞中学,上海市宝山华曜附属罗泾中学,131023,3
132002,上大附中,上海市宝山华曜附属罗泾中学,131023,4
