high_school_code,high_school_name,middle_school_name,quota_count
052002,延安中学,上海市第三女子初级中学,10
053004,复旦中学,上海市第三女子初级中学,8
052001,市三女中,上海市第三女子初级中学,14
052002,延安中学,上海市天山第二中学,6
053004,复旦中学,上海市天山第二中学,4
052001,市三女中,上海市天山第二中学,3
042032,上海中学,上海市天山第二中学,1
052002,延安中学,上海市姚连生中学,7
053004,复旦中学,上海市姚连生中学,5
052001,市三女中,上海市姚连生中学,5
052002,延安中学,上海市天山初级中学,10
053004,复旦中学,上海市天山初级中学,8
052001,市三女中,上海市天山初级中学,7
052002,延安中学,上海市虹桥中学,3
053004,复旦中学,上海市虹桥中学,2
052001,市三女中,上海市虹桥中学,2
052002,延安中学,上海市延安实验初级中学,10
053004,复旦中学,上海市延安实验初级中学,8
052001,市三女中,上海市延安实验初级中学,7
102056,交大附中,上海市延安实验初级中学,1
052002,延安中学,上海市复旦初级中学,11
053004,复旦中学,上海市复旦初级中学,8
052001,市三女中,上海市复旦初级中学,7
102057,复旦附中,上海市复旦初级中学,1
052002,延安中学,上海市泸定中学,3
053004,复旦中学,上海市泸定中学,2
052001,市三女中,上海市泸定中学,2
052002,延安中学,上海市娄山中学,17
053004,复旦中学,上海市娄山中学,13
052001,市三女中,上海市娄山中学,11
052002,延安中学,上海市西延安中学,14
053004,复旦中学,上海市西延安中学,10
052001,市三女中,上海市西延安中学,9
152003,华师大二附中,上海市西延安中学,1
052002,延安中学,上海市新泾中学,7
053004,复旦中学,上海市新泾中学,5
052001,市三女中,上海市新泾中学,4
152006,上师大附中,上海市新泾中学,1
052002,延安中学,上海市民办新世纪中学,9
053004,复旦中学,上海市民办新世纪中学,6
052001,市三女中,上海市民办新世纪中学,6
102057,复旦附中,上海市民办新世纪中学,1
052002,延安中学,上海市延安初级中学,26
053004,复旦中学,上海市延安初级中学,18
052001,市三女中,上海市延安初级中学,16
102056,交大附中,上海市延安初级中学,1
052002,延安中学,上海市建青实验学校,6
053004,复旦中学,上海市建青实验学校,4
052001,市三女中,上海市建青实验学校,4
052002,延安中学,上海市西郊学校,2
053004,复旦中学,上海市西郊学校,2
052001,市三女中,上海市西郊学校,1
052002,延安中学,华东政法大学附属中学,7
053004,复旦中学,华东政法大学附属中学,5
052001,市三女中,华东政法大学附属中学,5
152003,华师大二附中,华东政法大学附属中学,1
052002,延安中学,上海市仙霞高级中学,11
053004,复旦中学,上海市仙霞高级中学,8
052001,市三女中,上海市仙霞高级中学,7
052002,延安中学,上海市开元学校,10
053004,复旦中学,上海市开元学校,7
052001,市三女中,上海市开元学校,7
042032,上海中学,上海市开元学校,1
