school_name,plan_2026,plan_2025,note
复旦附中,1,1,
上海中学,1,1,
华二附中,1,1,
交大附中,1,1,
上师附中,1,1,
宝山世外,3,2,
领科双语,2,3,
宋庆龄,1,1,
存志高级,6,4,
金山世外,2,2,
久隆模范(免),1,1,
尚德实验,2,2,
黄浦同创,2,2,
青浦世外,3,3,
西南高级,2,2,
宝山华曜,13,10,
丰华高级,2,2,
同洲模范,3,2,
东鼎外国语,2,3,
上戏附中(艺),8,8,
青浦协和,6,6,
工商附中,2,2,
燎原双语,20,20,
金苹果,1,1,
诺达双语,2,2,
民办远东,2,2,
上音安师(艺),5,4,
城桥中学,3,3,
交大南洋,10,12,
安生学校,6,5,
博华双语,2,2,
赫贤学校,2,2,
宏润博源,4,4,
西外外国语,14,15,
民一中学,10,10,
科德高级,2,3,
维尚高级,2,2,
美达菲,1,4,
华盛怀少,5,4,
民办永昌,2,3,
创艺高级,1,2,
华旭双语,5,7,
行中中学,5,3,
金瑞学校,1,2,
民办德闳,2,3,
励滕高级,2,0,26新校
松江爱菊,2,0,
堡镇中学,3,3,
