school_name,plan_2026,plan_2025,note
上海中学,1,1,
复旦附中,1,1,
交大附中,2,1,
华二附中,1,1,
宝山世外,1,1,
存志高级,1,1,
田家炳,2,3,
宋庆龄,2,2,
久隆模范,1,0,
青浦世外,1,1,
金山世外,3,3,
科德高级,1,1,
尚德实验,7,7,
同洲模范,1,1,
工商附中,1,1,
宝山华曜,3,3,
领科双语,1,1,
民办扬波,2,2,
东鼎外国语,1,1,
丰华高级,1,1,
上戏附中(艺),6,6,
维尚高级,2,2,
西南高级,2,2,
赫贤学校,2,2,
燎原双语,4,4,
上音安师(艺),3,2,
金苹果,1,1,
民办风范,2,1,
交大南洋,9,9,
行中中学,2,1,
民办远东,2,2,
金瑞学校,2,1,
民办浦实,2,1,
博华双语,3,2,
华旭双语,3,2,
西外外语,10,10,
民一中学,12,12,
城桥中学,4,4,
民办永昌,8,7,
美达菲,6,5,
安生学校,7,6,
诺达双语,2,2,
创艺高级,5,5,
华盛怀少,5,3,
青浦协和,4,3,
宏润博源,1,1,
德闳学校,1,1,
励滕高级,1,0,新校
松江爱菊,1,0,新校
堡镇中学,1,0,
