school_name,plan_2026,plan_2025,note
上海中学,6,6,
交大附中,2,1,
复旦附中,1,1,
华二附中,1,1,
上师附中,4,3,
宝山世外,5,4,
维尚高级,5,5,
青浦世外,10,8,
九峰实验,4,2,
西南高级,2,2,
田家炳,13,11,
黄浦同创,5,5,同济创意
久隆模范,2,2,
尚德实验,10,10,
上戏附中,14,13,
金山世外,8,8,
存志高级,13,12,
宝山华曜,18,13,
领科双语,10,12,
宋庆龄,1,1,
工商附中,12,15,
丰华高级,11,11,
民办远东,5,5,
交大南洋,75,70,
博华双语,50,60,
同洲模范,29,20,
东鼎外国语,12,8,
西外外国语,35,35,
浦实高级,18,16,
金苹果,6,6,
美达菲,33,15,
民办永昌,25,20,
民一中学,50,50,
赫贤学校,7,5,
上音安师,4,5,
安生学校,10,10,
华盛怀少,7,10,
创艺高级,28,33,
青浦协和,10,15,
华旭双语,22,28,
民办行中,30,20,
金瑞学校,5,5,
科德高级,5,5,
宏润博源,6,6,
爱菊学校,5,6,
励滕高级,2,0,
城桥中学,9,4,
堡镇中学,8,0,
新纪元,6,0,
