school_name,plan_2026,plan_2025,note
华二附中,1,1,
建平中学,121,121,
进才中学,121,123,
南汇中学,172,172,
上师附中,33,27,
洋泾中学,127,131,
高桥中学,114,114,
川沙中学,103,110,
上海实验,10,10,
上中东校,112,112,
复附浦东,87,69,
华师东昌,468,470,
海事北蔡,272,272,
香山中学,408,408,
上南中学,540,540,
三林中学,630,630,
杨思高级,450,450,
新川中学,540,540,
周浦中学,630,630,
大团高级,630,630,
新场中学,450,540,
华理科高,270,240,
华师临港,270,240,
文建中学,540,540,
陆行中学,540,540,
浦东中学,450,450,
高行中学,270,270,
建平世纪,540,540,
交附浦实,540,540,
南汇一中,360,360,
建平筠溪,240,240,
进才根林,240,240,
川沙友仁,320,240,
临港科技,216,0,新校
泾南中学,240,80,
沪新中学,240,240,
育民中学,135,90,
龚路中学,320,320,
江镇中学,320,240,
华师张江实验,320,240,
三林东校,240,240,
川沙北校,40,40,
高东中学,160,160,
祝桥高级,240,240,
老港中学,320,240,
泥城中学,240,240,
吴迅中学,320,240,
长岛中学,240,240,
浦外东校,240,80,
民办光华,50,50,
民办浦实,128,128,
民办育辛,160,160,
民办丰华,193,192,
工商附中,129,128,
金苹果,96,96,
东鼎外语,144,145,
尚德实验,265,234,
民办沪港,50,50,
华曜浦东,50,50,
民办万科,40,40,
民办惠立,50,50,
民办宏文,20,20,
未来科技,50,50,
民办康德,50,50,
籽奥高级,50,50,
群峰高级,240,0,新校
洋泾南校,160,0,新校
