school_name,plan_2026,plan_2025,note
复旦附中,1,1,
华二附中,1,1,
上海中学,1,1,
交大附中,1,1,
上师附中,1,1,
宝山世外,2,1,
田家炳,4,4,
青浦世外,5,3,
宋庆龄,1,1,
黄浦同创,4,4,
科德高级,2,2,
尚德实验,5,4,
存志高级,10,10,
金山世外,4,4,
领科双语,1,3,
宝山华曜,13,13,
赫贤学校,3,2,
维尚高级,3,3,
久隆模范,2,2,
上戏附中(艺),11,11,
青浦协和,4,2,
城桥中学,3,3,
金瑞学校,2,3,
民办扬波,24,20,
民办风范,22,18,
燎原双语,15,20,
交大南洋,15,15,
行中中学,8,6,
东鼎外国语,4,4,
同洲模范,13,10,
工商外国语,3,3,
金苹果,8,10,
华旭双语,22,25,
丰华高级,15,15,
西外外国语,10,20,
民一中学,15,15,
诺达双语,2,2,
华盛怀少,9,8,
美达菲,1,3,
浦实高级,2,6,
宏润博源,2,3,
民办永昌,4,4,
创艺高级,5,5,
爱菊学校,3,3,
民办德闳,1,2,
堡镇中学,8,0,
励滕高级,2,0,26新校
新纪元,3,0,26新校
