school_name,plan_2026,plan_2025,note
上海中学,7,6,
华师二附,1,1,
复旦附中,1,1,
交大附中,2,1,
上师附中,2,3,
同济创意,4,4,
久隆模范,1,0,
民办扬波,6,3,
民办风范,3,2,
上戏附中,12,12,
安生学校,8,8,
上音安师,3,4,
文来中学,1,0,
燎原双语,8,8,
诺达双语,2,2,
德闳学校,1,3,
行中中学,10,5,
存志高级,2,2,
维尚高级,4,0,
创艺高级,13,8,
宝山华曜,1,0,
金瑞学校,5,3,
同洲模范,5,3,
远东学校,2,2,
华旭双语,8,15,
华盛怀少,9,3,
东鼎外语,5,2,
民办浦实,2,0,
金苹果,6,4,
尚德实验,1,0,
工商附中,1,0,
交大南洋,25,15,
金山世外,12,12,
科德高级,1,0,
励滕高级,2,0,
领科双语,1,0,
西外外语,15,10,
赫贤学校,4,4,
爱菊学校,4,0,
青浦世外,4,4,
宏润博源,8,4,
宋庆龄,3,2,
青浦协和,2,0,
美达菲,3,0,
博华高级,20,15,
城桥中学,10,4,
堡镇中学,27,0,
民一中学,30,30,
新纪元,3,0,
