school_code,school_name,min_score,chinese_math_foreign_sum,math_score,chinese_score,comprehensive_score,remark
052001,上海市第三女子中学,685.5,,,,,
052002,上海市延安中学,694.0,415.0,144.0,124.0,139.0,
053003,华东师范大学附属天山学校,662.5,,,,,
053004,上海市复旦中学,690.0,404.0,133.0,129.0,142.0,
053005,上海市建青实验学校,653.0,387.0,117.0,126.0,131.0,
054010,上海市西郊学校,616.0,363.0,111.0,125.0,116.0,
054013,华东政法大学附属中学,645.0,385.0,124.0,117.0,119.0,
054030,上海市仙霞高级中学,635.5,362.5,98.0,126.0,129.0,
054043,上海市民办新虹桥中学,503.0,,,,,未招满
014006,上海市同济黄浦设计创意中学,649.0,,,,,
042032,上海市上海中学,713.5,,,,,
044083,上海市民办西南高级中学,630.0,,,,,
063008,上海市久隆模范中学,597.0,,,,,
069004,上海戏剧学院附属高级中学（艺术班）,616.0,,,,,
074081,上海安生学校,591.0,,,,,
079016,上海音乐学院附属安师实验中学（艺术班）,598.0,,,,,
102056,上海交通大学附属中学,714.5,,,,,
102057,复旦大学附属中学,715.0,,,,,
124116,上海市民办燎原双语高级中学,607.5,,,,,
125117,上海闵行区诺达双语学校,599.5,,,,,未招满
134010,上海民办行中中学,531.5,,,,,
134014,上海创艺高级中学,546.5,,,,,
134015,上海市宝山华曜高级中学,609.5,,,,,
135001,上海市同洲模范学校,607.5,,,,,
135003,上海金瑞学校,590.5,,,,,
135034,上海宝山区世外学校,687.5,,,,,
152003,华东师范大学第二附属中学,712.5,,,,,
152006,上海师范大学附属中学,702.5,,,,,
154039,上海市民办丰华高级中学,610.0,,,,,
154048,民办上海工商外国语职业学院附属中学,597.0,,,,,
155013,上海市民办金苹果学校,602.0,,,,,
155041,上海浦东新区民办东鼎外国语学校,598.0,,,,,
155043,上海市民办尚德实验学校,644.5,,,,,
164005,上海市民办交大南洋中学,591.0,355.0,109.0,110.0,102.0,
164008,上海市民办永昌中学,575.0,,,,,未招满
165004,上海金山区世外学校,652.5,,,,,
173002,上海市松江区科德高级中学,601.5,,,,,未招满
174013,上海领科双语学校,617.0,,,,,
175018,上海市西外外国语学校,540.5,,,,,
175024,上海赫贤学校,543.0,,,,,
175025,上海松江区爱菊学校,635.0,,,,,未招满
185008,上海宋庆龄学校,670.0,,,,,
204021,上海奉贤区博华高级中学,601.5,,,,,
514001,上海市崇明区城桥中学,547.0,,,,,
514004,上海市崇明区堡镇中学,612.5,,,,,
514010,上海民办民一中学,477.0,,,,,
