school_code,school_name,min_score,is_tie,chinese_math_foreign_sum,math_score,chinese_score,comprehensive_score,remark
202001,上海市奉贤中学,690.0,否,406.0,138,126,143,
202002,华东师范大学第二附属中学临港奉贤分校,682.5,否,401.5,129,130,134,
012002,上海市格致中学（奉贤校区）,682.0,否,402.0,129,133,136,
203002,华东理工大学附属奉贤曙光中学,659.5,否,385.5,125,121,131,
204001,东华大学附属奉贤致远中学,637.5,否,371.5,128,113,131,
204005,上海应用技术大学附属奉贤奉城高级中学,616.5,否,362.5,133,126,120,
204006,上海师范大学第四附属中学,579.0,否,336.0,119,103,113,
204008,上海市奉贤区景秀高级中学,591.5,否,345.5,103,116,110,
204020,上海美达菲双语高级中学,506.5,否,259.5,102,106,114,未录满
204021,上海奉贤区博华高级中学,507.5,否,282.5,57,119,88,
042032,上海市上海中学,718.0,否,424.0,140,137,149,
064020,上海田家炳中学,637.5,否,369.5,116,125,127,
069004,上海戏剧学院附属高级中学（艺术班）,662.5,否,394.0,123,134,128,未录满
079016,上海音乐学院附属安师实验中学（艺术班）,630.0,否,378.0,120,123,118,
102056,上海交通大学附属中学,713.0,否,428.0,146,137,144,
102057,复旦大学附属中学,709.5,否,420.5,143,133,144,
124109,上海市民办文绮中学,627.0,否,363.0,106,117,128,
124118,上海圣华紫竹高级中学,513.0,否,280.5,67,120,96,未录满
134010,上海民办行中中学,491.0,否,275.5,78,97,84,未录满
134012,上海存志高级中学,649.5,否,370.5,118,115,139,
134014,上海创艺高级中学,578.5,否,333.5,106,119,125,
134015,上海市宝山华曜高级中学,506.0,否,276.0,96,99,95,未录满
135001,上海市同洲模范学校,503.0,否,293.5,76,99,87,未录满
145007,上海市民办远东学校,529.0,否,283.0,122,100,123,
152003,华东师范大学第二附属中学,711.0,否,417.0,138,133,146,
152006,上海师范大学附属中学,694.5,否,403.5,134,128,146,
154039,上海市民办丰华高级中学,573.5,否,298.5,106,109,135,
154048,民办上海工商外国语职业学院附属中学,568.0,否,321.0,100,111,111,
155041,上海浦东新区民办东鼎外国语学校,578.0,否,333.0,93,118,111,
155043,上海市民办尚德实验学校,619.5,否,356.5,111,123,125,
164005,上海市民办交大南洋中学,523.5,否,312.0,101,110,87,
164008,上海市民办永昌中学,565.5,否,318.5,103,114,110,
165004,上海金山区世外学校,624.0,否,360.0,111,120,123,
175018,上海市西外外国语学校,532.5,否,286.5,76,113,103,未录满
175024,上海赫贤学校,629.0,否,369.0,113,119,123,
175025,上海松江区爱菊学校,531.0,否,302.0,82,111,103,
184006,上海青浦区世外高级中学,509.0,否,275.0,103,103,98,
201004,上海市奉贤中学附属南桥中学,657.5,否,383.5,111,128,130,
514001,上海市崇明区城桥中学,559.5,否,328.5,88,107,104,
514004,上海市崇明区堡镇中学,624.0,否,370.0,110,120,128,
514010,上海民办民一中学,544.0,否,296.0,87,121,112,
