school_code,school_name,min_score,is_tie,chinese_math_foreign_sum,math_score,chinese_score,remark
012001,上海市格致中学,691.0,否,408.5,137,127,
012002,上海市格致中学（奉贤校区）,688.5,否,400.5,131,126,
012003,上海市大同中学,695.0,否,408.0,141,124,
012005,上海市向明中学,684.5,否,407.0,136,125,
012006,上海市向明中学（浦江校区）,684.5,否,398.5,130,122,
012007,上海外国语大学附属大境中学,674.5,否,393.5,141,120,
012008,上海市光明中学,663.0,否,393.5,121,130,
012009,上海市敬业中学,678.5,否,397.0,134,119,
012010,上海市卢湾高级中学,669.0,否,391.0,126,122,
012011,同济大学科技中学,709.5,否,422.5,142,137,
013001,上海市第八中学,648.5,否,368.5,111,116,
013003,上海市第十中学,637.5,否,367.5,116,116,
013004,上海理工大学附属储能中学,628.5,否,371.5,123,117,
014001,上海市金陵中学,593.0,否,341.5,101,107,
014003,上海市市南中学,619.5,否,356.5,104,119,
014004,,606.0,否,340.0,103,121,
014006,上海市同济黄浦设计创意中学,617.0,否,353.0,110,116,
042032,上海市上海中学,714.5,否,426.5,150,132,
044083,上海市民办西南高级中学,597.5,否,330.5,116,107,
063008,上海市久隆模范中学,652.0,否,383.0,113,126,
064020,上海田家炳中学,660.0,否,385.5,111,136,
064021,上海市民办扬波中学,598.0,否,328.0,104,119,
064024,上海市民办风范中学,591.0,否,345.5,86,123,
069004,,632.0,否,360.0,96,130,
074081,上海安生学校,561.5,否,312.5,72,109,
079016,,609.5,否,346.5,107,108,未录满
102056,上海交通大学附属中学,713.0,否,421.5,143,134,
102057,复旦大学附属中学,713.0,否,426.0,146,133,
124116,上海市民办燎原双语高级中学,591.5,否,353.0,108,113,
125117,上海闵行区诺达双语学校,545.5,否,333.0,77,116,
125119,上海闵行区民办德闳学校,,,,,,无考生达线
134010,上海民办行中中学,584.5,否,359.5,102,126,
134012,上海存志高级中学,676.5,否,391.5,134,118,
134013,上海宝山区民办维尚高级中学,513.0,否,276.0,74,120,
134014,上海创艺高级中学,534.5,否,292.5,83,106,
134015,上海市宝山华曜高级中学,601.5,否,349.0,101,116,
135001,上海市同洲模范学校,635.5,否,369.5,125,122,
135003,上海金瑞学校,570.0,否,318.0,97,115,
135034,上海宝山区世外学校,684.0,否,407.0,134,131,
145007,上海市民办远东学校,588.5,否,338.0,104,123,
145018,上海华旭双语学校,574.5,否,326.0,101,111,
145030,上海嘉定区民办华盛怀少学校,,,,,,无考生达线
152003,华东师范大学第二附属中学,712.5,否,421.5,143,131,
154033,,589.0,否,346.5,102,120,
154039,上海市民办丰华高级中学,599.5,否,342.0,98,116,
154048,,598.5,否,341.5,100,113,
155013,上海市民办金苹果学校,592.5,否,336.5,85,118,
155041,,596.0,否,335.0,94,111,
155043,上海市民办尚德实验学校,632.5,否,370.0,108,121,
164005,上海市民办交大南洋中学,579.0,否,340.5,104,108,
164008,上海市民办永昌中学,565.5,否,337.0,113,105,
165004,上海金山区世外学校,647.5,否,372.5,121,111,
173002,上海市松江区科德高级中学,618.5,否,361.0,118,107,
173005,上海市松江区励滕高级中学,,,,,,无考生达线
174013,上海领科双语学校,550.5,否,315.0,84,107,
175018,上海市西外外国语学校,580.5,否,336.5,105,111,
175024,上海赫贤学校,508.5,否,276.5,83,105,未录满
175025,上海松江区爱菊学校,697.5,否,406.5,133,130,
184006,上海青浦区世外高级中学,680.5,否,400.0,126,129,
184007,上海青浦区宏润博源高级中学,,,,,,无考生达线
185008,上海宋庆龄学校,571.5,否,325.5,98,123,
185014,上海青浦区协和双语学校,587.0,否,324.0,99,112,
204020,上海美达菲双语高级中学,518.0,否,282.0,81,105,
204021,上海奉贤区博华高级中学,577.5,否,320.5,92,114,
514001,上海市崇明区城桥中学,543.5,否,319.5,88,113,未录满
514004,上海市崇明区堡镇中学,655.5,否,383.5,123,119,
514010,上海民办民一中学,564.0,否,316.5,99,113,
