school_code,school_name,min_score,chinese_math_foreign_sum,math_score,chinese_score,school_id
042032,上海市上海中学,716,423,148,129,1
064020,上海田家炳中学,644,375,132,130,323
069004,上海戏剧学院附属高级中学（艺术班）,622.5,354.5,109,122,368
102056,上海交通大学附属中学,715.5,420.5,144,129,2
102057,复旦大学附属中学,717,429,146,139,3
124109,上海市民办文绮中学,640.5,364.5,115,113,154
134010,上海民办行中中学,486,274,81,108,175
134012,上海存志高级中学,617,367,108,124,176
134014,上海创艺高级中学,546,311.5,100,116,178
134015,上海市宝山华曜高级中学,547.5,324.5,105,113,179
135034,上海宝山区世外学校,661.5,380,131,113,182
152003,华东师范大学第二附属中学,715,424,150,130,4
152006,上海师范大学附属中学,711.5,422.5,149,129,5
155043,上海市民办尚德实验学校,639.5,364.5,113,123,235
162000,上海市金山中学,685.5,406.5,136,128,244
163000,上海市张堰中学,642.5,382.5,117,125,346
163001,上海师范大学第二附属中学,617,350,96,119,246
163002,华东师范大学第三附属中学,665,392,122,130,245
164000,华东师范大学附属枫泾中学,590,344,96,118,247
164002,上海体育大学附属金山亭林中学,555,299.5,87,117,248
164005,上海市民办交大南洋中学,510.5,267.5,89,111,341
164008,上海市民办永昌中学,501,263,77,111,251
165004,上海金山区世外学校,649.5,377.5,115,122,249
165009,华东师范大学第二附属中学金山实验学校,675.5,397.5,139,118,358
175018,上海市西外外国语学校,563.5,313,76,115,267
184006,上海青浦区世外高级中学,592.5,333.5,82,108,277
204021,上海奉贤区博华高级中学,547.5,299.5,99,110,364
514004,上海市崇明区堡镇中学,564.5,341.5,96,113,294
514010,上海民办民一中学,452,257,64,102,295
