school_name,school_id,school_code,school_district_id,min_score,chinese_math_foreign_sum,math_score,chinese_score,note
上海市第二中学,1,042032,1,689.5,402.5,133,124,
上海市第二中学（梅陇校区）,1,042032,1,697,407,137,124,
上海市南洋模范中学,1,042032,1,705,411,142,126,
上海市上海中学,1,042032,1,716,424,149,129,
上海市位育中学,1,042032,1,700,406,134,126,
复旦大学附属中学徐汇分校,1,042032,1,711,426,141,139,
上海市南洋中学,1,042032,1,685.5,400.5,138,122,
上海市民办西南高级中学,1,042032,1,559,314.5,115,119,
上海市位育附属徐汇科技实验中学,1,042032,1,690,402,132,125,
上海市中国中学,1,042032,1,663.5,387.5,115,127,
上海市第五十四中学,1,042032,1,644,367.5,108,125,
上海市徐汇中学,1,042032,1,674,399.5,129,127,
上海市第四中学,1,042032,1,653.5,382.5,119,125,
上海市零陵中学,1,042032,1,638,371.5,117,119,
华东理工大学附属中学,1,042032,1,628.5,356.5,113,119,
上海市西南位育中学,1,042032,1,671,395,126,131,
上海市西南模范中学,1,042032,1,613.5,364.5,104,121,
上海民办位育中学,1,042032,1,658.5,384.5,117,122,
上海市紫竹园中学,1,042032,1,607,344.5,109,118,
上海市徐汇区董恒甫高级中学,1,042032,1,600,355,116,116,
上海交通大学附属中学,1,042032,1,716,420,146,127,
复旦大学附属中学,1,042032,1,715.5,422.5,141,134,
华东师范大学第二附属中学,1,042032,1,715.5,423.5,146,131,
上海师范大学附属中学,1,042032,1,701,414,134,133,
上海市同济黄浦设计创意中学,1,042032,1,637,359,116,121,
上海市民办扬波中学,1,042032,1,609.5,354.5,133,118,
上海市民办风范中学,1,042032,1,552.5,322.5,108,106,
上海戏剧学院附属高级中学（艺术班）,1,042032,1,615.5,355.5,117,108,
上海安生学校,107,074081,6,539.5,299.5,71,117,未录满
上海音乐学院附属安师实验中学（艺术班）,1,042032,1,643.5,366.5,115,119,未录满
上海市文来中学,1,042032,1,671.5,390.5,131,125,
上海市民办燎原双语高级中学,1,042032,1,618.5,359,107,118,
上海闵行区诺达双语学校,161,125117,9,544.5,317.5,96,122,
上海闵行区民办德闳学校,162,125119,9,541.5,337.5,78,118,
上海民办行中中学,1,042032,1,508.5,272,80,83,
上海存志高级中学,1,042032,1,632.5,368.5,119,111,
上海宝山区民办维尚高级中学,1,042032,1,543.5,325,81,116,未录满
上海创艺高级中学,1,042032,1,581.5,347.5,101,118,未录满
上海市宝山华曜高级中学,1,042032,1,639,377,126,122,
上海市同洲模范学校,180,135001,10,558,317,78,110,
上海金瑞学校,181,135003,10,529.5,309.5,62,108,
上海市民办远东学校,190,145007,11,549,303,107,114,
上海华旭双语学校,191,145018,11,493,274,89,106,未录满
上海市浦东新区民办浦实高级中学,1,042032,1,620.5,367,104,126,
民办上海工商外国语职业学院附属中学,1,042032,1,546.5,295.5,116,101,
上海市民办金苹果学校,233,155013,12,545,319.5,88,102,
上海浦东新区民办东鼎外国语学校,234,155041,12,576.5,329.5,100,102,
上海市民办尚德实验学校,6,155001,1,631.5,371.5,114,129,
上海市民办交大南洋中学,1,042032,1,573,311,87,110,
上海金山区世外学校,249,165004,13,639.5,371.5,100,129,
上海市松江区科德高级中学,1,042032,1,537.5,299,100,102,
上海领科双语学校,266,174013,14,646,375.5,125,119,
上海市西外外国语学校,267,175018,14,563,330,101,120,
上海赫贤学校,269,175024,14,528,289,72,105,未录满
上海松江区爱菊学校,270,175025,14,610.5,353.5,98,119,
上海青浦区世外高级中学,1,042032,1,649,383.5,120,120,
上海宋庆龄学校,280,185008,15,580,339.5,85,119,
上海青浦区协和双语学校,155,124111,9,611,350.5,101,111,
上海奉贤区博华高级中学,1,042032,1,540,292,97,108,
上海市崇明区城桥中学,1,042032,1,513.5,291.5,88,106,未录满
上海市崇明区堡镇中学,1,042032,1,548,303,95,115,
上海民办民一中学,1,042032,1,472,254,49,109,
上海新纪元双语学校,365,514014,17,517.5,304.5,71,112,未录满
