年份,批次,招生学校名称,投档分数线,招生计划数,每学期学费
2023,平行志愿,上海市上海中学,710,1,
2023,平行志愿,上海交通大学附属中学,710,1,
2023,平行志愿,华东师范大学第二附属中学,710,1,
2023,平行志愿,复旦大学附属中学,709.5,1,
2023,平行志愿,上海交通大学附属中学嘉定分校,693,113,
2023,平行志愿,上海师范大学附属中学,693,1,
2023,平行志愿,上海宝山区民办维尚高级中学,684.5,2,
2023,平行志愿,上海市嘉定区第一中学,681.5,114,
2023,平行志愿,上海宝山区世外学校,678,5,
2023,平行志愿,上海市嘉定区嘉一实验高级中学,672,168,
2023,平行志愿,上海市五爱高级中学,670.5,6,
2023,平行志愿,上海存志高级中学,662,6,55000
2023,平行志愿,上海市嘉定区第二中学,657.5,429,
2023,平行志愿,上海市久隆模范中学,655.5,1,
2023,平行志愿,上海田家炳中学,650,2,15600
2023,平行志愿,上海师范大学附属嘉定高级中学,646,420,
2023,平行志愿,上海市宝山华曜高级中学,643.5,3,
2023,平行志愿,上海市同济黄浦设计创意中学,638,2,
2023,平行志愿,上海市嘉定区安亭高级中学,636,336,
2023,平行志愿,上海市民办尚德实验学校,627,3,49000
2023,平行志愿,上海大学附属嘉定高级中学,625,336,
2023,平行志愿,上海金山区世外学校,616,10,35000
2023,平行志愿,上海市嘉定区中光高级中学,611,336,
2023,平行志愿,上海戏剧学院附属高级中学（艺术班）,610.5,4,
2023,平行志愿,上海市民办新和中学,603.5,2,16800
2023,平行志愿,上海市民办交大南洋中学,591,8,14000
2023,平行志愿,上海市嘉定区封浜高级中学,589,336,
2023,平行志愿,上海市民办丰华高级中学,587,1,19350
2023,平行志愿,上海安生学校,582,4,80000
2023,平行志愿,上海奉贤区博华双语学校,576.5,2,17000
2023,平行志愿,上海市同洲模范学校,566,2,21000
2023,平行志愿,上海浦东新区民办东鼎外国语学校,565,2,28000
2023,平行志愿,上海市民办永昌中学,563.5,2,40000
2023,平行志愿,上海市西外外国语学校,561,5,32000
2023,平行志愿,上海市民办远东学校,558.5,256,
2023,平行志愿,上海民办民一中学,551,12,20000
2023,平行志愿,上海市浦东新区民办浦实高级中学,545.5,4,25000
2023,平行志愿,上海创艺高级中学,534,2,
2023,平行志愿,上海嘉定区民办华盛怀少学校,527.5,36,80000
2023,平行志愿,上海华旭双语学校,526,114,80000
2023,平行志愿,上海赫贤学校,,2,102000
2023,平行志愿,上海宋庆龄学校,,1,100000
2023,平行志愿,上海青浦区协和双语学校,,2,85000
