年份,批次,区域,学校名称,学校代码,录取分数线
2024,1-15志愿,崇明区,上海市上海中学,42032,
2024,1-15志愿,崇明区,上海师范大学附属中学,152006,
2024,1-15志愿,崇明区,华东师范大学第二附属中学,152003,
2024,1-15志愿,崇明区,复旦大学附属中学,102057,
2024,1-15志愿,崇明区,上海交通大学附属中学,102056,
2024,1-15志愿,崇明区,上海市五爱高级中学,13002,
2024,1-15志愿,崇明区,上海市同济黄浦设计创意中学,14006,
2024,1-15志愿,崇明区,上海市民办西南高级中学,44083,
2024,1-15志愿,崇明区,上海市第三女子中学,52001,
2024,1-15志愿,崇明区,上海市延安中学,52002,
2024,1-15志愿,崇明区,上海市复旦中学,53004,
2024,1-15志愿,崇明区,华东师范大学附属天山学校,53003,
2024,1-15志愿,崇明区,上海市仙霞高级中学,54030,
2024,1-15志愿,崇明区,华东政法大学附属中学,54013,
2024,1-15志愿,崇明区,上海市建青实验学校,53005,
2024,1-15志愿,崇明区,上海市民办新虹桥中学,54043,
2024,1-15志愿,崇明区,上海市西郊学校,54010,
2024,1-15志愿,崇明区,上海戏剧学院附属高级中学,69004,
2024,1-15志愿,崇明区,上海音乐学院附属安师实验中学,79016,
2024,1-15志愿,崇明区,上海安生学校,74081,
2024,1-15志愿,崇明区,上海市民办燎原双语高级中学,124116,
2024,1-15志愿,崇明区,上海市文来中学,124108,
2024,1-15志愿,崇明区,上海闵行区诺达双语学校,125117,
2024,1-15志愿,崇明区,上海宝山区世外学校,135034,
2024,1-15志愿,崇明区,上海存志高级中学,134012,
2024,1-15志愿,崇明区,上海市宝山华曜高级中学,134015,
2024,1-15志愿,崇明区,上海宝山区民办维尚高级中学,134013,
2024,1-15志愿,崇明区,上海市民办远东学校,145007,
2024,1-15志愿,崇明区,上海市民办丰华高级中学,154039,
2024,1-15志愿,崇明区,民办上海工商外国语职业学院附属中学,154048,
2024,1-15志愿,崇明区,上海浦东新区民办东鼎外国语学校,155041,
2024,1-15志愿,崇明区,上海市民办尚德实验学校,155043,
2024,1-15志愿,崇明区,上海市民办金苹果学校,155013,
2024,1-15志愿,崇明区,上海市民办交大南洋中学,164005,
2024,1-15志愿,崇明区,上海金山区世外学校,165004,
2024,1-15志愿,崇明区,上海赫贤学校,175024,
2024,1-15志愿,崇明区,上海市西外外国语学校,175018,
2024,1-15志愿,崇明区,上海市松江区科德高级中学,173002,
2024,1-15志愿,崇明区,上海宋庆龄学校,185008,
2024,1-15志愿,崇明区,上海青浦区协和双语学校,185014,
2024,1-15志愿,崇明区,上海青浦区世外高级中学,184006,
2024,1-15志愿,崇明区,上海美达菲双语高级中学,204020,
2024,1-15志愿,崇明区,上海奉贤区博华双语学校,205006,
2024,1-15志愿,崇明区,上海民办民一中学,514010,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
2024,1-15志愿,崇明区,,,
