年份,批次,区名称,学校信息,录取最低分,是否同分优待,来源文件
2023,名额分配到区,嘉定区,嘉定区      上海市格致中学,731,否,嘉定区-2023年上海市高中学校“名额分配到区”招生录取最低分数线.pdf
2023,名额分配到区,嘉定区,嘉定区      上海市大同中学,735.5,否,嘉定区-2023年上海市高中学校“名额分配到区”招生录取最低分数线.pdf
2023,名额分配到区,嘉定区,嘉定区     上海市卢湾高级中学,708,否,嘉定区-2023年上海市高中学校“名额分配到区”招生录取最低分数线.pdf
2023,名额分配到区,嘉定区,嘉定区      上海市上海中学,760.5,否,嘉定区-2023年上海市高中学校“名额分配到区”招生录取最低分数线.pdf
2023,名额分配到区,嘉定区,嘉定区      上海市位育中学,744,否,嘉定区-2023年上海市高中学校“名额分配到区”招生录取最低分数线.pdf
2023,名额分配到区,嘉定区,嘉定区      上海市南洋中学,722.5,否,嘉定区-2023年上海市高中学校“名额分配到区”招生录取最低分数线.pdf
2023,名额分配到区,嘉定区,嘉定区      上海市复旦中学,736,否,嘉定区-2023年上海市高中学校“名额分配到区”招生录取最低分数线.pdf
2023,名额分配到区,嘉定区,市,698.5,否,嘉定区-2023年上海市高中学校“名额分配到区”招生录取最低分数线.pdf
2023,名额分配到区,嘉定区,海,731,否,嘉定区-2023年上海市高中学校“名额分配到区”招生录取最低分数线.pdf
2023,名额分配到区,嘉定区,嘉定区     上海市复兴高级中学,728,否,嘉定区-2023年上海市高中学校“名额分配到区”招生录取最低分数线.pdf
2023,名额分配到区,嘉定区,嘉定区     上海市杨浦高级中学,721.5,否,嘉定区-2023年上海市高中学校“名额分配到区”招生录取最低分数线.pdf
2023,名额分配到区,嘉定区,嘉定区      上海市控江中学,729.5,否,嘉定区-2023年上海市高中学校“名额分配到区”招生录取最低分数线.pdf
2023,名额分配到区,嘉定区,嘉定区    上海交通大学附属中学,757.5,否,嘉定区-2023年上海市高中学校“名额分配到区”招生录取最低分数线.pdf
2023,名额分配到区,嘉定区,嘉定区     复旦大学附属中学,760,否,嘉定区-2023年上海市高中学校“名额分配到区”招生录取最低分数线.pdf
2023,名额分配到区,嘉定区,嘉定区    同济大学第一附属中学,719.5,否,嘉定区-2023年上海市高中学校“名额分配到区”招生录取最低分数线.pdf
2023,名额分配到区,嘉定区,嘉定区      上海市七宝中学,754.5,否,嘉定区-2023年上海市高中学校“名额分配到区”招生录取最低分数线.pdf
2023,名额分配到区,嘉定区,嘉定区,756.5,否,嘉定区-2023年上海市高中学校“名额分配到区”招生录取最低分数线.pdf
2023,名额分配到区,嘉定区,嘉定区,731,否,嘉定区-2023年上海市高中学校“名额分配到区”招生录取最低分数线.pdf
2023,名额分配到区,嘉定区,嘉定区      上海市闵行中学,725.5,否,嘉定区-2023年上海市高中学校“名额分配到区”招生录取最低分数线.pdf
2023,名额分配到区,嘉定区,嘉定区,728.5,否,嘉定区-2023年上海市高中学校“名额分配到区”招生录取最低分数线.pdf
2023,名额分配到区,嘉定区,嘉定区      上海市吴淞中学,714,否,嘉定区-2023年上海市高中学校“名额分配到区”招生录取最低分数线.pdf
2023,名额分配到区,嘉定区,嘉定区,745.5,否,嘉定区-2023年上海市高中学校“名额分配到区”招生录取最低分数线.pdf
2023,名额分配到区,嘉定区,嘉定区      上海中学东校,736,否,嘉定区-2023年上海市高中学校“名额分配到区”招生录取最低分数线.pdf
2023,名额分配到区,嘉定区,市,747,否,嘉定区-2023年上海市高中学校“名额分配到区”招生录取最低分数线.pdf
2023,名额分配到区,嘉定区,海,737,否,嘉定区-2023年上海市高中学校“名额分配到区”招生录取最低分数线.pdf
2023,名额分配到区,嘉定区,嘉定区      上海市金山中学,719,否,嘉定区-2023年上海市高中学校“名额分配到区”招生录取最低分数线.pdf
2023,名额分配到区,嘉定区,嘉定区   华东师范大学第三附属中学,718,否,嘉定区-2023年上海市高中学校“名额分配到区”招生录取最低分数线.pdf
2023,名额分配到区,嘉定区,嘉定区      上海市松江一中,723,否,嘉定区-2023年上海市高中学校“名额分配到区”招生录取最低分数线.pdf
2023,名额分配到区,嘉定区,嘉定区,732.5,否,嘉定区-2023年上海市高中学校“名额分配到区”招生录取最低分数线.pdf
