年份,区域,学校名称,学校代码,录取分数线
2024,嘉定,招生学校,,录取最低分     (含学业考总成绩和综合素质评价成绩)
2024,嘉定,上海市格致中学,,738
2024,嘉定,上海市大同中学,,737
2024,嘉定,上海市光明中学,,682.5
2024,嘉定,上海市卢湾高级中学,,708
2024,嘉定,上海市第二中学,,695.5
2024,嘉定,上海市南洋模范中学,,745
2024,嘉定,上海市上海中学,,763.5
2024,嘉定,上海市位育中学,,713.5
2024,嘉定,复旦大学附属中学徐汇分校,,744
2024,嘉定,上海市南洋中学,,713
2024,嘉定,上海市第三女子中学,,722
2024,嘉定,上海市延安中学,,737
2024,嘉定,上海市复旦中学,,700.5
2024,嘉定,上海市育才中学,,727
2024,嘉定,上海市新中高级中学,,712
2024,嘉定,上海市市北中学,,718.5
2024,嘉定,上海市华东模范中学,,702.5
2024,嘉定,上海市晋元高级中学,,732.5
2024,嘉定,上海市曹杨第二中学,,737.5
2024,嘉定,上海市宜川中学,,717
2024,嘉定,华东师范大学第二附属中学（普陀校区）,,747.5
2024,嘉定,上海市复兴高级中学,,735.5
2024,嘉定,华东师范大学第一附属中学,,711.5
2024,嘉定,上海财经大学附属北郊高级中学,,717.5
2024,嘉定,上海市杨浦高级中学,,716.5
2024,嘉定,上海市控江中学,,746
2024,嘉定,上海交通大学附属中学,,760.5
2024,嘉定,复旦大学附属中学,,758
2024,嘉定,招生学校,,录取最低分     (含学业考总成绩和综合素质评价成绩)
2024,嘉定,同济大学第一附属中学,,709
2024,嘉定,上海市七宝中学,,748
2024,嘉定,华东师范大学第二附属中学闵行紫竹分校,,728.5
2024,嘉定,上海师范大学附属中学闵行分校,,722.5
2024,嘉定,上海市闵行中学,,714.5
2024,嘉定,上海市行知中学,,728.5
2024,嘉定,上海大学附属中学,,712.5
2024,嘉定,上海师范大学附属中学宝山分校,,730
2024,嘉定,上海市吴淞中学,,705
2024,嘉定,华东师范大学第二附属中学（宝山校区）,,738.5
2024,嘉定,上海市嘉定区第一中学,,728
2024,嘉定,上海交通大学附属中学嘉定分校,,759
2024,嘉定,上海中学东校,,729
2024,嘉定,上海市建平中学,,742.5
2024,嘉定,上海市进才中学,,741
2024,嘉定,华东师范大学第二附属中学,,749
2024,嘉定,上海南汇中学,,703.5
2024,嘉定,上海市浦东复旦附中分校,,743
2024,嘉定,上海师范大学附属中学,,692
2024,嘉定,上海市洋泾中学,,717.5
2024,嘉定,上海市高桥中学,,695.5
2024,嘉定,上海市川沙中学,,710
2024,嘉定,上海市金山中学,,721
2024,嘉定,华东师范大学第三附属中学,,681
2024,嘉定,上海市松江二中,,727
2024,嘉定,华东师范大学第二附属中学松江分校,,748
2024,嘉定,上海市松江一中,,704.5
2024,嘉定,上海外国语大学附属外国语学校松江云间中学,,722.5
2024,嘉定,上海市青浦高级中学,,728
2024,嘉定,复旦大学附属中学青浦分校,,741
2024,嘉定,招生学校,,录取最低分     (含学业考总成绩和综合素质评价成绩)
2024,嘉定,上海市朱家角中学,,704
2024,嘉定,上海市奉贤中学,,727
2024,嘉定,上海市崇明中学,,704.5
2024,奉贤,招生学校,,录取最低分     (含学业考总成绩和综合素质评价成绩)
2024,奉贤,上海市格致中学（奉贤校区）,,727.5
2024,奉贤,上海市第二中学,,664.5
2024,奉贤,上海市上海中学,,759
2024,奉贤,上海市位育中学,,728
2024,奉贤,上海市南洋中学,,678
2024,奉贤,上海市复旦中学,,704
2024,奉贤,上海市育才中学,,707.5
2024,奉贤,上海市晋元高级中学,,700
2024,奉贤,上海市宜川中学,,702
2024,奉贤,上海市杨浦高级中学,,674.5
2024,奉贤,上海交通大学附属中学,,748.5
2024,奉贤,复旦大学附属中学,,745.5
2024,奉贤,上海市七宝中学,,744.5
2024,奉贤,上海师范大学附属中学闵行分校,,719.5
2024,奉贤,上海交通大学附属中学闵行分校,,752
2024,奉贤,上海市闵行中学,,712
2024,奉贤,上海市行知中学,,716
2024,奉贤,上海大学附属中学,,703
2024,奉贤,上海市吴淞中学,,693
2024,奉贤,上海市嘉定区第一中学,,697.5
2024,奉贤,上海交通大学附属中学嘉定分校,,740
2024,奉贤,上海中学东校,,718
2024,奉贤,上海市建平中学,,732
2024,奉贤,上海市进才中学,,734.5
2024,奉贤,华东师范大学第二附属中学,,752.5
2024,奉贤,上海南汇中学,,696
2024,奉贤,上海师范大学附属中学,,730.5
2024,奉贤,上海市洋泾中学,,715
2024,奉贤,招生学校,,录取最低分     (含学业考总成绩和综合素质评价成绩)
2024,奉贤,上海市高桥中学,,681.5
2024,奉贤,上海市川沙中学,,687.5
2024,奉贤,上海市金山中学,,722
2024,奉贤,华东师范大学第三附属中学,,691
2024,奉贤,上海市松江二中,,734.5
2024,奉贤,上海市松江一中,,689
2024,奉贤,上海外国语大学附属外国语学校松江云间中学,,719.5
2024,奉贤,上海市青浦高级中学,,695.5
2024,奉贤,上海市朱家角中学,,687
2024,奉贤,上海市奉贤中学,,757
2024,奉贤,华东师范大学第二附属中学临港奉贤分校,,745
2024,奉贤,上海市崇明中学,,676
2024,宝山,招生学校,,录取最低分     (含学业考总成绩和综合素质评价成绩)
2024,宝山,上海市格致中学,,740.5
2024,宝山,上海市大同中学,,729.5
2024,宝山,上海市光明中学,,717.5
2024,宝山,上海市第二中学,,724.5
2024,宝山,上海市南洋模范中学,,754.5
2024,宝山,上海市上海中学,,761
2024,宝山,上海市位育中学,,729
2024,宝山,上海市南洋中学,,724
2024,宝山,上海市第三女子中学,,714
2024,宝山,上海市延安中学,,742.5
2024,宝山,上海市复旦中学,,752.5
2024,宝山,上海市市西中学,,731
2024,宝山,上海市育才中学,,724.5
2024,宝山,上海市新中高级中学,,714.5
2024,宝山,上海市市北中学,,719.5
2024,宝山,上海市回民中学,,688
2024,宝山,上海市第六十中学,,689
2024,宝山,上海市华东模范中学,,689
2024,宝山,上海市晋元高级中学,,727.5
2024,宝山,上海市曹杨第二中学,,742.5
2024,宝山,上海市宜川中学,,710
2024,宝山,上海市复兴高级中学,,742.5
2024,宝山,华东师范大学第一附属中学,,732
2024,宝山,上海财经大学附属北郊高级中学,,703
2024,宝山,上海市杨浦高级中学,,730
2024,宝山,上海市控江中学,,744.5
2024,宝山,上海交通大学附属中学,,756
2024,宝山,复旦大学附属中学,,758.5
2024,宝山,招生学校,,录取最低分     (含学业考总成绩和综合素质评价成绩)
2024,宝山,同济大学第一附属中学,,716.5
2024,宝山,上海市七宝中学,,754.5
2024,宝山,华东师范大学第二附属中学闵行紫竹分校,,713.5
2024,宝山,上海师范大学附属中学闵行分校,,732.5
2024,宝山,上海市闵行中学,,708.5
2024,宝山,上海市行知中学,,742.5
2024,宝山,上海大学附属中学,,733
2024,宝山,上海师范大学附属中学宝山分校,,735
2024,宝山,上海市吴淞中学,,732
2024,宝山,华东师范大学第二附属中学（宝山校区）,,748.5
2024,宝山,上海市嘉定区第一中学,,728.5
2024,宝山,上海交通大学附属中学嘉定分校,,753
2024,宝山,上海中学东校,,731
2024,宝山,上海市建平中学,,748
2024,宝山,上海市进才中学,,742
2024,宝山,华东师范大学第二附属中学,,758.5
2024,宝山,上海南汇中学,,700
2024,宝山,上海市洋泾中学,,718
2024,宝山,上海市高桥中学,,708
2024,宝山,上海市川沙中学,,716
2024,宝山,上海市金山中学,,728.5
2024,宝山,华东师范大学第三附属中学,,684
2024,宝山,上海市松江二中,,733
2024,宝山,华东师范大学第二附属中学松江分校,,746
2024,宝山,上海市松江一中,,701
2024,宝山,上海外国语大学附属外国语学校松江云间中学,,716
2024,宝山,上海市青浦高级中学,,712.5
2024,宝山,复旦大学附属中学青浦分校,,745.5
2024,宝山,上海市朱家角中学,,702
2024,宝山,上海市奉贤中学,,751.5
2024,宝山,招生学校,,录取最低分     (含学业考总成绩和综合素质评价成绩)
2024,宝山,上海市崇明中学,,697.5
2024,宝山,上海市实验学校东滩高级中学,,712
2024,崇明,招生学校,,录取最低分     (含学业考总成绩和综合素质评价成绩)
2024,崇明,上海市上海中学,,755.5
2024,崇明,上海市育才中学,,711
2024,崇明,上海市新中高级中学,,691
2024,崇明,上海市宜川中学,,676.5
2024,崇明,上海市杨浦高级中学,,724
2024,崇明,上海市控江中学,,736
2024,崇明,上海交通大学附属中学,,740
2024,崇明,复旦大学附属中学,,749
2024,崇明,同济大学第一附属中学,,709.5
2024,崇明,上海师范大学附属中学闵行分校,,710
2024,崇明,上海市闵行中学,,698.5
2024,崇明,上海市行知中学,,717
2024,崇明,上海大学附属中学,,677.5
2024,崇明,上海师范大学附属中学宝山分校,,687.5
2024,崇明,上海市吴淞中学,,709
2024,崇明,华东师范大学第二附属中学（宝山校区）,,752.5
2024,崇明,上海市嘉定区第一中学,,736.5
2024,崇明,上海市建平中学,,738
2024,崇明,上海市进才中学,,720.5
2024,崇明,华东师范大学第二附属中学,,759.5
2024,崇明,上海南汇中学,,687
2024,崇明,上海市洋泾中学,,713.5
2024,崇明,上海市高桥中学,,689.5
2024,崇明,上海市川沙中学,,694.5
2024,崇明,华东师范大学第三附属中学,,663.5
2024,崇明,上海市松江一中,,706.5
2024,崇明,上海外国语大学附属外国语学校松江云间中学,,698.5
2024,崇明,上海市青浦高级中学,,703
2024,崇明,招生学校,,录取最低分     (含学业考总成绩和综合素质评价成绩)
2024,崇明,上海市朱家角中学,,664
2024,崇明,上海市奉贤中学,,744
2024,崇明,上海市崇明中学,,727
2024,崇明,上海市实验学校东滩高级中学,,748
2024,徐汇,招生学校,,录取最低分     (含学业考总成绩和综合素质评价成绩)
2024,徐汇,上海市格致中学,,747
2024,徐汇,上海市大同中学,,743
2024,徐汇,上海市向明中学,,726.5
2024,徐汇,上海外国语大学附属大境中学,,717.5
2024,徐汇,上海市光明中学,,715
2024,徐汇,上海市敬业中学,,715
2024,徐汇,上海市卢湾高级中学,,708
2024,徐汇,上海市第二中学,,735.5
2024,徐汇,上海市第二中学（梅陇校区）,,730
2024,徐汇,上海市南洋模范中学,,751
2024,徐汇,上海市上海中学,,761.5
2024,徐汇,上海市位育中学,,746.5
2024,徐汇,复旦大学附属中学徐汇分校,,757.5
2024,徐汇,上海市南洋中学,,724.5
2024,徐汇,上海市第三女子中学,,722.5
2024,徐汇,上海市延安中学,,735.5
2024,徐汇,上海市复旦中学,,725.5
2024,徐汇,上海市市西中学,,739
2024,徐汇,上海市育才中学,,718.5
2024,徐汇,上海市新中高级中学,,708.5
2024,徐汇,上海市市北中学,,731.5
2024,徐汇,上海市回民中学,,671
2024,徐汇,上海市第六十中学,,676
2024,徐汇,上海市华东模范中学,,708
2024,徐汇,上海市曹杨第二中学,,747.5
2024,徐汇,上海市宜川中学,,700
2024,徐汇,华东师范大学第二附属中学（普陀校区）,,750.5
2024,徐汇,上海财经大学附属北郊高级中学,,710
2024,徐汇,招生学校,,录取最低分     (含学业考总成绩和综合素质评价成绩)
2024,徐汇,上海市杨浦高级中学,,731
2024,徐汇,上海市控江中学,,737.5
2024,徐汇,上海交通大学附属中学,,751.5
2024,徐汇,复旦大学附属中学,,752.5
2024,徐汇,同济大学第一附属中学,,718.5
2024,徐汇,上海市七宝中学,,750.5
2024,徐汇,华东师范大学第二附属中学闵行紫竹分校,,743
2024,徐汇,上海师范大学附属中学闵行分校,,719.5
2024,徐汇,上海交通大学附属中学闵行分校,,747.5
2024,徐汇,上海市闵行中学,,727.5
2024,徐汇,上海市行知中学,,666.5
2024,徐汇,上海大学附属中学,,720
2024,徐汇,上海师范大学附属中学宝山分校,,719
2024,徐汇,上海市吴淞中学,,707.5
2024,徐汇,华东师范大学第二附属中学（宝山校区）,,744.5
2024,徐汇,上海市嘉定区第一中学,,704.5
2024,徐汇,上海交通大学附属中学嘉定分校,,744.5
2024,徐汇,上海中学东校,,724.5
2024,徐汇,上海市建平中学,,750
2024,徐汇,上海市进才中学,,733.5
2024,徐汇,华东师范大学第二附属中学,,751.5
2024,徐汇,上海南汇中学,,710
2024,徐汇,上海市浦东复旦附中分校,,748.5
2024,徐汇,上海师范大学附属中学,,728
2024,徐汇,上海市洋泾中学,,719.5
2024,徐汇,上海市高桥中学,,700
2024,徐汇,上海市川沙中学,,716
2024,徐汇,上海市金山中学,,726.5
2024,徐汇,华东师范大学第三附属中学,,679
2024,徐汇,上海市松江二中,,733
2024,徐汇,招生学校,,录取最低分     (含学业考总成绩和综合素质评价成绩)
2024,徐汇,华东师范大学第二附属中学松江分校,,748.5
2024,徐汇,上海市松江一中,,707.5
2024,徐汇,上海外国语大学附属外国语学校松江云间中学,,729.5
2024,徐汇,上海市青浦高级中学,,726.5
2024,徐汇,复旦大学附属中学青浦分校,,750.5
2024,徐汇,上海市朱家角中学,,692.5
2024,徐汇,上海市奉贤中学,,739
2024,徐汇,华东师范大学第二附属中学临港奉贤分校,,726.5
2024,徐汇,上海市崇明中学,,708.5
2024,普陀,招生学校,,录取最低分     (含学业考总成绩和综合素质评价成绩)
2024,普陀,上海市格致中学,,740.5
2024,普陀,上海市大同中学,,726.5
2024,普陀,上海市向明中学,,724
2024,普陀,上海外国语大学附属大境中学,,705.5
2024,普陀,上海市光明中学,,700.5
2024,普陀,上海市敬业中学,,726.5
2024,普陀,上海市卢湾高级中学,,702
2024,普陀,上海市第二中学,,727
2024,普陀,上海市南洋模范中学,,746.5
2024,普陀,上海市上海中学,,766
2024,普陀,上海市位育中学,,730.5
2024,普陀,复旦大学附属中学徐汇分校,,759
2024,普陀,上海市南洋中学,,733
2024,普陀,上海市第三女子中学,,725
2024,普陀,上海市延安中学,,739.5
2024,普陀,上海市复旦中学,,723.5
2024,普陀,上海市市西中学,,743
2024,普陀,上海市育才中学,,734.5
2024,普陀,上海市新中高级中学,,730.5
2024,普陀,上海市市北中学,,727.5
2024,普陀,上海市回民中学,,689.5
2024,普陀,上海市第六十中学,,692
2024,普陀,上海市华东模范中学,,711.5
2024,普陀,上海市晋元高级中学,,741
2024,普陀,上海市曹杨第二中学,,750
2024,普陀,上海市宜川中学,,725.5
2024,普陀,华东师范大学第二附属中学（普陀校区）,,759
2024,普陀,上海市复兴高级中学,,746.5
2024,普陀,招生学校,,录取最低分     (含学业考总成绩和综合素质评价成绩)
2024,普陀,华东师范大学第一附属中学,,730.5
2024,普陀,上海财经大学附属北郊高级中学,,684.5
2024,普陀,上海市杨浦高级中学,,717.5
2024,普陀,上海市控江中学,,726
2024,普陀,上海交通大学附属中学,,757.5
2024,普陀,复旦大学附属中学,,759
2024,普陀,同济大学第一附属中学,,722.5
2024,普陀,上海市七宝中学,,755
2024,普陀,华东师范大学第二附属中学闵行紫竹分校,,744
2024,普陀,上海师范大学附属中学闵行分校,,718
2024,普陀,上海交通大学附属中学闵行分校,,748.5
2024,普陀,上海市闵行中学,,713
2024,普陀,上海市行知中学,,736.5
2024,普陀,上海大学附属中学,,732.5
2024,普陀,上海师范大学附属中学宝山分校,,746
2024,普陀,上海市吴淞中学,,719.5
2024,普陀,上海市嘉定区第一中学,,723.5
2024,普陀,上海交通大学附属中学嘉定分校,,753.5
2024,普陀,上海市建平中学,,740
2024,普陀,上海市进才中学,,735
2024,普陀,华东师范大学第二附属中学,,751.5
2024,普陀,上海南汇中学,,706
2024,普陀,上海市浦东复旦附中分校,,755
2024,普陀,上海师范大学附属中学,,729
2024,普陀,上海市洋泾中学,,723.5
2024,普陀,上海市高桥中学,,704.5
2024,普陀,上海市川沙中学,,715.5
2024,普陀,上海市金山中学,,710.5
2024,普陀,华东师范大学第三附属中学,,711
2024,普陀,上海市松江二中,,746
2024,普陀,招生学校,,录取最低分     (含学业考总成绩和综合素质评价成绩)
2024,普陀,上海市松江一中,,718
2024,普陀,上海外国语大学附属外国语学校松江云间中学,,715
2024,普陀,上海市青浦高级中学,,724.5
2024,普陀,复旦大学附属中学青浦分校,,749
2024,普陀,上海市朱家角中学,,688.5
2024,普陀,上海市奉贤中学,,732.5
2024,普陀,上海市崇明中学,,714.5
2024,杨浦,招生学校,,录取最低分     (含学业考总成绩和综合素质评价成绩)
2024,杨浦,上海市格致中学,,736.5
2024,杨浦,上海市大同中学,,693
2024,杨浦,上海市向明中学,,734
2024,杨浦,上海外国语大学附属大境中学,,713.5
2024,杨浦,上海市光明中学,,702
2024,杨浦,上海市敬业中学,,718.5
2024,杨浦,上海市第二中学,,724.5
2024,杨浦,上海市南洋模范中学,,748.5
2024,杨浦,上海市上海中学,,756
2024,杨浦,上海市位育中学,,741.5
2024,杨浦,复旦大学附属中学徐汇分校,,744.5
2024,杨浦,上海市南洋中学,,716.5
2024,杨浦,上海市第三女子中学,,713
2024,杨浦,上海市延安中学,,745.5
2024,杨浦,上海市复旦中学,,724.5
2024,杨浦,上海市市西中学,,688.5
2024,杨浦,上海市育才中学,,720.5
2024,杨浦,上海市新中高级中学,,714
2024,杨浦,上海市市北中学,,734
2024,杨浦,上海市回民中学,,685
2024,杨浦,上海市第六十中学,,701
2024,杨浦,上海市晋元高级中学,,725.5
2024,杨浦,上海市曹杨第二中学,,741.5
2024,杨浦,上海市宜川中学,,717.5
2024,杨浦,上海市复兴高级中学,,740.5
2024,杨浦,华东师范大学第一附属中学,,739
2024,杨浦,上海财经大学附属北郊高级中学,,723
2024,杨浦,上海市杨浦高级中学,,736.5
2024,杨浦,招生学校,,录取最低分     (含学业考总成绩和综合素质评价成绩)
2024,杨浦,上海市控江中学,,750
2024,杨浦,上海交通大学附属中学,,751.5
2024,杨浦,复旦大学附属中学,,759.5
2024,杨浦,同济大学第一附属中学,,728
2024,杨浦,上海市七宝中学,,748.5
2024,杨浦,华东师范大学第二附属中学闵行紫竹分校,,722.5
2024,杨浦,上海师范大学附属中学闵行分校,,728.5
2024,杨浦,上海交通大学附属中学闵行分校,,750.5
2024,杨浦,上海市闵行中学,,712
2024,杨浦,上海市行知中学,,733.5
2024,杨浦,上海大学附属中学,,720.5
2024,杨浦,上海师范大学附属中学宝山分校,,731
2024,杨浦,上海市吴淞中学,,724
2024,杨浦,华东师范大学第二附属中学（宝山校区）,,737
2024,杨浦,上海市嘉定区第一中学,,716
2024,杨浦,上海交通大学附属中学嘉定分校,,755
2024,杨浦,上海中学东校,,734.5
2024,杨浦,上海市建平中学,,748
2024,杨浦,上海市进才中学,,740
2024,杨浦,华东师范大学第二附属中学,,752
2024,杨浦,上海南汇中学,,712.5
2024,杨浦,上海市浦东复旦附中分校,,752.5
2024,杨浦,上海市洋泾中学,,729.5
2024,杨浦,上海市高桥中学,,713.5
2024,杨浦,上海市川沙中学,,718.5
2024,杨浦,上海市金山中学,,723
2024,杨浦,华东师范大学第三附属中学,,681.5
2024,杨浦,上海市松江二中,,730
2024,杨浦,华东师范大学第二附属中学松江分校,,748.5
2024,杨浦,上海市松江一中,,704
2024,杨浦,招生学校,,录取最低分     (含学业考总成绩和综合素质评价成绩)
2024,杨浦,上海外国语大学附属外国语学校松江云间中学,,698
2024,杨浦,上海市青浦高级中学,,719.5
2024,杨浦,复旦大学附属中学青浦分校,,740
2024,杨浦,上海市朱家角中学,,704.5
2024,杨浦,上海市奉贤中学,,727.5
2024,杨浦,上海市崇明中学,,706
2024,杨浦,上海市实验学校东滩高级中学,,720.5
2024,松江,招生学校,,录取最低分     (含学业考总成绩和综合素质评价成绩)
2024,松江,上海市格致中学,,738.5
2024,松江,上海市大同中学,,737.5
2024,松江,上海市光明中学,,692
2024,松江,上海市敬业中学,,713.5
2024,松江,上海市卢湾高级中学,,709.5
2024,松江,上海市第二中学,,727.5
2024,松江,上海市南洋模范中学,,752
2024,松江,上海市上海中学,,766
2024,松江,上海市位育中学,,729.5
2024,松江,上海市南洋中学,,724
2024,松江,上海市第三女子中学,,718.5
2024,松江,上海市延安中学,,742.5
2024,松江,上海市复旦中学,,725.5
2024,松江,上海市育才中学,,729
2024,松江,上海市华东模范中学,,721.5
2024,松江,上海市晋元高级中学,,726.5
2024,松江,上海市曹杨第二中学,,746
2024,松江,上海市宜川中学,,712
2024,松江,华东师范大学第一附属中学,,724
2024,松江,上海市杨浦高级中学,,717.5
2024,松江,上海市控江中学,,754.5
2024,松江,上海交通大学附属中学,,757.5
2024,松江,复旦大学附属中学,,758
2024,松江,同济大学第一附属中学,,713.5
2024,松江,上海市七宝中学,,754.5
2024,松江,上海师范大学附属中学闵行分校,,725
2024,松江,上海交通大学附属中学闵行分校,,758
2024,松江,上海市闵行中学,,726
2024,松江,招生学校,,录取最低分     (含学业考总成绩和综合素质评价成绩)
2024,松江,上海大学附属中学,,710.5
2024,松江,上海市吴淞中学,,719
2024,松江,上海市嘉定区第一中学,,720
2024,松江,上海交通大学附属中学嘉定分校,,744
2024,松江,上海中学东校,,731.5
2024,松江,上海市建平中学,,752
2024,松江,上海市进才中学,,737.5
2024,松江,华东师范大学第二附属中学,,759.5
2024,松江,上海南汇中学,,710
2024,松江,上海市浦东复旦附中分校,,747.5
2024,松江,上海师范大学附属中学,,731.5
2024,松江,上海市洋泾中学,,714
2024,松江,上海市高桥中学,,698.5
2024,松江,上海市川沙中学,,721
2024,松江,上海市金山中学,,731
2024,松江,华东师范大学第三附属中学,,704
2024,松江,上海市松江二中,,752.5
