年份,批次,区名称,招生学校,录取最低分,是否同分优待
2025,名额分配到区,黄浦区,院上海市格致中学,747.5,否
2025,名额分配到区,黄浦区,上海市格致中学（奉贤校区）,714,否
2025,名额分配到区,黄浦区,上海市大同中学,746,否
2025,名额分配到区,黄浦区,上海市向明中学,732,否
2025,名额分配到区,黄浦区,上海市向明中学（浦江校区）,707.5,否
2025,名额分配到区,黄浦区,院,709,否
2025,名额分配到区,黄浦区,上海市光明中学,691,否
2025,名额分配到区,黄浦区,上海市敬业中学,719.5,否
2025,名额分配到区,黄浦区,上海市第二中学,723.5,否
2025,名额分配到区,黄浦区,上海市南洋模范中学,756,否
2025,名额分配到区,黄浦区,上海市上海中学,761.5,否
2025,名额分配到区,黄浦区,上海市位育中学,739.5,否
2025,名额分配到区,黄浦区,上海市南洋中学,728,否
2025,名额分配到区,黄浦区,上海市第三女子中学,709.5,否
2025,名额分配到区,黄浦区,上海市延安中学,737,否
2025,名额分配到区,黄浦区,上海市复旦中学,693.5,否
2025,名额分配到区,黄浦区,上海市市西中学,733.5,否
2025,名额分配到区,黄浦区,上海市育才中学,706.5,否
2025,名额分配到区,黄浦区,上海市市北中学,719.5,否
2025,名额分配到区,黄浦区,上海市回民中学,691.5,否
2025,名额分配到区,黄浦区,上海市第六十中学,680.5,否
2025,名额分配到区,黄浦区,上海市华东模范中学,678,否
2025,名额分配到区,黄浦区,上海市曹杨第二中学,758,否
2025,名额分配到区,黄浦区,上海市宜川中学,694.5,否
2025,名额分配到区,黄浦区,华东师范大学第二附属中学（普陀校区）,747,否
2025,名额分配到区,黄浦区,华东师范大学第一附属中学,719.5,否
2025,名额分配到区,黄浦区,上海市杨浦高级中学,722.5,否
2025,名额分配到区,黄浦区,上海市控江中学,732.5,否
2025,名额分配到区,黄浦区,上海交通大学附属中学,762.5,否
2025,名额分配到区,黄浦区,复旦大学附属中学,757.5,否
2025,名额分配到区,黄浦区,上海市七宝中学,748.5,否
2025,名额分配到区,黄浦区,华东师范大学第二附属中学闵行紫竹分校,748,否
2025,名额分配到区,黄浦区,上海师范大学附属中学闵行分校院,720.5,否
2025,名额分配到区,黄浦区,上海市闵行中学,705.5,否
2025,名额分配到区,黄浦区,上海市行知中学,717,否
2025,名额分配到区,黄浦区,上海大学附属中学,707.5,否
2025,名额分配到区,黄浦区,上海市吴淞中学,695,否
2025,名额分配到区,黄浦区,上海市第一中学,725.5,否
2025,名额分配到区,黄浦区,上海交通大学附属中学嘉定分校,747.5,否
2025,名额分配到区,黄浦区,上海市建平中学,750.5,否
2025,名额分配到区,黄浦区,上海市进才中学,741,否
2025,名额分配到区,黄浦区,华东师范大学第二附属中学,755,否
2025,名额分配到区,黄浦区,上海南汇中学,700.5,否
2025,名额分配到区,黄浦区,上海市浦东复旦附中分校,748,否
2025,名额分配到区,黄浦区,上海市洋泾中学,718.5,否
2025,名额分配到区,黄浦区,上海市高桥中学,702.5,否
2025,名额分配到区,黄浦区,上海市川沙中学,712.5,否
2025,名额分配到区,黄浦区,上海市金山中学,703.5,否
2025,名额分配到区,黄浦区,华东师范大学第三附属中学,700.5,否
2025,名额分配到区,黄浦区,上海市松江二中,743,否
2025,名额分配到区,黄浦区,上海市松江一中,700.5,否
2025,名额分配到区,黄浦区,上海外国语大学附属外国语学校松江云间中学,733,否
2025,名额分配到区,黄浦区,上海市青浦高级中学,719.5,否
2025,名额分配到区,黄浦区,复旦大学附属中学青浦分校,752.5,否
2025,名额分配到区,黄浦区,上海市朱家角中学,659.5,否
2025,名额分配到区,黄浦区,上海市奉贤中学,743,否
2025,名额分配到区,黄浦区,华东师范大学第二附属中学临港奉贤分校,737,否
2025,名额分配到区,黄浦区,上海市崇明中学,688.5,否
2025,名额分配到区,徐汇区,上海市格致中学,740.5,否
2025,名额分配到区,徐汇区,上海市大同中学,731,否
2025,名额分配到区,徐汇区,上海市向明中学,724.5,否
2025,名额分配到区,徐汇区,上海外国语大学附属大境中学,693.5,否
2025,名额分配到区,徐汇区,上海市光明中学,696,否
2025,名额分配到区,徐汇区,院,711.5,否
2025,名额分配到区,徐汇区,上海市卢湾高级中学,708.5,否
2025,名额分配到区,徐汇区,上海市第二中学,727.5,否
2025,名额分配到区,徐汇区,上海市南洋模范中学,758.5,否
2025,名额分配到区,徐汇区,上海市上海中学,760,否
2025,名额分配到区,徐汇区,上海市位育中学,742.5,否
2025,名额分配到区,徐汇区,复旦大学附属中学徐汇分校,762,否
2025,名额分配到区,徐汇区,上海市南洋中学,731,否
2025,名额分配到区,徐汇区,上海市第三女子中学,725,否
2025,名额分配到区,徐汇区,上海市延安中学,748,否
2025,名额分配到区,徐汇区,上海市复旦中学,727,否
2025,名额分配到区,徐汇区,上海市市西中学,715,否
2025,名额分配到区,徐汇区,上海市育才中学,713,否
2025,名额分配到区,徐汇区,上海市新中高级中学,721,否
2025,名额分配到区,徐汇区,上海市市北中学,710,否
2025,名额分配到区,徐汇区,上海市回民中学,680,否
2025,名额分配到区,徐汇区,上海市第六十中学,685,否
2025,名额分配到区,徐汇区,上海市华东模范中学,680,否
2025,名额分配到区,徐汇区,上海市曹杨第二中学,734.5,否
2025,名额分配到区,徐汇区,上海市宜川中学,708.5,否
2025,名额分配到区,徐汇区,华东师范大学第二附属中学（普陀校区）,752,否
2025,名额分配到区,徐汇区,上海财经大学附属北郊高级中学,705,否
2025,名额分配到区,徐汇区,上海市杨浦高级中学,708,否
2025,名额分配到区,徐汇区,上海市控江中学,734.5,否
2025,名额分配到区,徐汇区,上海交通大学附属中学,756.5,否
2025,名额分配到区,徐汇区,复旦大学附属中学,760.5,否
2025,名额分配到区,徐汇区,上海市七宝中学,749.5,否
2025,名额分配到区,徐汇区,华东师范大学第二附属中学闵行紫竹分校院,750,否
2025,名额分配到区,徐汇区,上海师范大学附属中学闵行分校,732,否
2025,名额分配到区,徐汇区,上海交通大学附属中学闵行分校,754.5,否
2025,名额分配到区,徐汇区,上海市闵行中学,703,否
2025,名额分配到区,徐汇区,上海大学附属中学,719.5,否
2025,名额分配到区,徐汇区,上海市吴淞中学,713,否
