年份,区域,初中学校,高中学校,录取分数线
2024,嘉定,初中学校,,录取最低分     (含学业考总成绩和综合素质评价成绩)
2024,嘉定,上海市嘉定区启良中学,,722
2024,嘉定,上海市嘉定区启良中学,,728.5
2024,嘉定,上海市嘉定区方泰中学,,720.5
2024,嘉定,上海市嘉定区方泰中学,,732
2024,嘉定,上海市曹杨二中附属江桥实验中学,,755
2024,嘉定,上海市曹杨二中附属江桥实验中学,,725
2024,嘉定,上海市曹杨二中附属江桥实验中学,,729
2024,嘉定,上海市嘉定区迎园中学,,731
2024,嘉定,上海市嘉定区迎园中学,,739
2024,嘉定,上海市嘉定区南苑中学,,722
2024,嘉定,上海市嘉定区南苑中学,,734
2024,嘉定,上海市嘉定区黄渡中学,,714.5
2024,嘉定,上海市嘉定区黄渡中学,,724
2024,嘉定,上海市嘉定区徐行中学,,727.5
2024,嘉定,上海市嘉定区徐行中学,,730.5
2024,嘉定,上海市嘉定区马陆育才联合中学,,720.5
2024,嘉定,上海市嘉定区马陆育才联合中学,,704.5
2024,嘉定,上海市嘉定区马陆育才联合中学,,716.5
2024,嘉定,上海市民办嘉一联合中学,,728
2024,嘉定,上海市民办嘉一联合中学,,744.5
2024,嘉定,上海市嘉定区丰庄中学,,729.5
2024,嘉定,上海市嘉定区丰庄中学,,737.5
2024,嘉定,上海市嘉定区丰庄中学,,716.5
2024,嘉定,上海市嘉定区外冈中学,,710.5
2024,嘉定,上海市嘉定区外冈中学,,727.5
2024,嘉定,上海市嘉定区外冈中学,,743.5
2024,嘉定,上海民办华曜嘉定初级中学,,719
2024,嘉定,上海民办华曜嘉定初级中学,,749.5
2024,嘉定,初中学校,,录取最低分     (含学业考总成绩和综合素质评价成绩)
2024,嘉定,上海市嘉定区震川中学,,726
2024,嘉定,上海市嘉定区震川中学,,735.5
2024,嘉定,上海大学附属嘉定留云中学,,707.5
2024,嘉定,上海大学附属嘉定留云中学,,734
2024,嘉定,交大附中附属嘉定德富中学,,763
2024,嘉定,交大附中附属嘉定德富中学,,728
2024,嘉定,交大附中附属嘉定德富中学,,745
2024,嘉定,同济大学附属实验中学,,728
2024,嘉定,同济大学附属实验中学,,749.5
2024,嘉定,上海市嘉定区华江中学,,725.5
2024,嘉定,上海市嘉定区华江中学,,732
2024,嘉定,上海市嘉定区新城实验中学,,729.5
2024,嘉定,上海市嘉定区新城实验中学,,739
2024,嘉定,上海市嘉定区南翔中学,,728.5
2024,嘉定,上海市嘉定区南翔中学,,731.5
2024,嘉定,上海市嘉定区疁城实验学校,,715
2024,嘉定,上海市嘉定区疁城实验学校,,728
2024,嘉定,上海市嘉定区戬浜学校,,722.5
2024,嘉定,上海市嘉定区戬浜学校,,726.5
