年份,批次,区名称,学校信息,录取最低分,是否同分优待
2025,名额分配到校,黄浦区,格致初级中学   院    上海市格致中学,741,否
2025,名额分配到校,黄浦区,格致初级中学    上海市格致中学（奉贤校区）,714,否
2025,名额分配到校,黄浦区,格致初级中学        上海市大同中学,735.5,否
2025,名额分配到校,黄浦区,格致初级中学        上海市向明中学,717.5,否
2025,名额分配到校,黄浦区,格致初级中学    上海市向明中学（浦江校区）,706.5,否
2025,名额分配到校,黄浦区,院,683,否
2025,名额分配到校,黄浦区,格致初级中学        上海市光明中学,656.5,否
2025,名额分配到校,黄浦区,格致初级中学        上海市敬业中学,689,否
2025,名额分配到校,黄浦区,大同初级中学        上海市格致中学,734,否
2025,名额分配到校,黄浦区,大同初级中学    上海市格致中学（奉贤校区）,708,否
2025,名额分配到校,黄浦区,大同初级中学        上海市大同中学,739.5,否
2025,名额分配到校,黄浦区,大同初级中学        上海市向明中学,701.5,否
2025,名额分配到校,黄浦区,大同初级中学    上海市向明中学（浦江校区）,704.5,否
2025,名额分配到校,黄浦区,大同初级中学    上海外国语大学附属大境中学,680.5,否
2025,名额分配到校,黄浦区,大同初级中学        上海市光明中学,661.5,否
2025,名额分配到校,黄浦区,大同初级中学        上海市敬业中学,697.5,否
2025,名额分配到校,黄浦区,大同初级中学       上海市卢湾高级中学,674,否
2025,名额分配到校,黄浦区,向明初级中学        上海市格致中学,735,否
2025,名额分配到校,黄浦区,向明初级中学    上海市格致中学（奉贤校区）,716.5,否
2025,名额分配到校,黄浦区,向明初级中学        上海市大同中学,736,否
2025,名额分配到校,黄浦区,向明初级中学        上海市向明中学,716.5,否
2025,名额分配到校,黄浦区,向明初级中学    上海市向明中学（浦江校区）,704,否
2025,名额分配到校,黄浦区,向明初级中学    上海外国语大学附属大境中学,675,否
2025,名额分配到校,黄浦区,向明初级中学        上海市光明中学,655.5,否
2025,名额分配到校,黄浦区,向明初级中学        上海市敬业中学,693.5,否
2025,名额分配到校,黄浦区,向明初级中学       上海市卢湾高级中学,673,否
2025,名额分配到校,黄浦区,格致中学,726.5,否
2025,名额分配到校,黄浦区,格致中学（奉贤校区）,716.5,否
2025,名额分配到校,黄浦区,大同中学,730,否
2025,名额分配到校,黄浦区,学        院    向明中学,714,否
2025,名额分配到校,黄浦区,向明中学（浦江校区）,713,否
2025,名额分配到校,黄浦区,上海外国语大学附属大境中学,689.5,否
2025,名额分配到校,黄浦区,光明中学,667.5,否
2025,名额分配到校,黄浦区,敬业中学,695,否
2025,名额分配到校,黄浦区,院,683,否
2025,名额分配到校,黄浦区,光明初级中学        上海市格致中学,727,否
2025,名额分配到校,黄浦区,光明初级中学    上海市格致中学（奉贤校区）,711.5,否
2025,名额分配到校,黄浦区,光明初级中学        上海市向明中学,705,否
2025,名额分配到校,黄浦区,光明初级中学    上海市向明中学（浦江校区）,688.5,否
2025,名额分配到校,黄浦区,光明初级中学    上海外国语大学附属大境中学,677,否
2025,名额分配到校,黄浦区,光明初级中学        上海市光明中学,667,否
2025,名额分配到校,黄浦区,光明初级中学        上海市敬业中学,704,否
2025,名额分配到校,黄浦区,光明初级中学       上海市卢湾高级中学,677,否
2025,名额分配到校,黄浦区,光明初级中学       复旦大学附属中学,748,否
2025,名额分配到校,黄浦区,敬业初级中学        上海市格致中学,724.5,否
2025,名额分配到校,黄浦区,敬业初级中学    上海市格致中学（奉贤校区）,719,否
2025,名额分配到校,黄浦区,敬业初级中学        上海市大同中学,728.5,否
2025,名额分配到校,黄浦区,敬业初级中学        上海市向明中学,707,否
2025,名额分配到校,黄浦区,敬业初级中学    上海市向明中学（浦江校区）,684,否
