年份,初中学校,初中学校代码,高中代码,高中名称,计划数
2024,0,上海市建平中学西校,,上海市建平中学,12
2024,0,上海市建平中学西校,,上海市进才中学,11
2024,0,上海市建平中学西校,,上海市洋泾中学,12
2024,0,上海市建平中学西校,,上海市川沙中学,9
2024,0,上海市建平中学西校,,上海 南汇中学,15
2024,0,上海市建平中学西校,,上海市高桥中学,8
2024,0,上海市建平中学西校,,上海中学东校,5
2024,0,上海市建平中学西校,,上海市浦东复旦附中分校,1
2024,0,上海市进才中学北校,,上海交通大学附属中学,1
2024,0,上海市进才中学北校,,上海市建平中学,8
2024,0,上海市进才中学北校,,上海市进才中学,8
2024,0,上海市进才中学北校,,上海市洋泾中学,9
2024,0,上海市进才中学北校,,上海市川沙中学,7
2024,0,上海市进才中学北校,,上海 南汇中学,11
2024,0,上海市进才中学北校,,上海市高桥中学,6
2024,0,上海市进才中学北校,,上海中学东校,4
2024,0,上海市进才中学北校,,上海市浦东复旦附中分校,1
2024,0,华东师范大学附属东昌中学南校,,华东师范大学第二附属中学,1
2024,0,华东师范大学附属东昌中学南校,,上海市建平中学,2
2024,0,华东师范大学附属东昌中学南校,,上海市进才中学,3
2024,0,华东师范大学附属东昌中学南校,,上海市洋泾中学,2
2024,0,华东师范大学附属东昌中学南校,,上海市川沙中学,1
2024,0,华东师范大学附属东昌中学南校,,上海 南汇中学,3
2024,0,华东师范大学附属东昌中学南校,,上海市高桥中学,2
2024,0,华东师范大学附属东昌中学南校,,上海中学东校,2
2024,0,华东师范大学附属东昌中学南校,,上海市浦东复旦附中分校,1
2024,0,上海市洋泾中学东校,,华东师范大学第二附属中学,1
2024,0,上海市洋泾中学东校,,上海市建平中学,1
2024,0,上海市洋泾中学东校,,上海市进才中学,2
2024,0,上海市洋泾中学东校,,上海市洋泾中学,1
2024,0,上海市洋泾中学东校,,上海市川沙中学,1
2024,0,上海市洋泾中学东校,,上海 南汇中学,1
2024,0,上海市洋泾中学东校,,上海市高桥中学,1
2024,0,上海市洋泾中学东校,,上海中学东校,1
2024,0,上海市洋泾中学东校,,上海市浦东复旦附中分校,1
