学校招生代码,学校名称,所在区,学校地址,收费标准,自招计划数,名额到区计划数,名额到区分数线,1-15志愿计划数,1-15志愿分数线,学校类型,录取难度等级,寄宿情况
42032,上海市上海中学,上海市,待补充,2000,153,10,763.5,1,763.5,市重点,5,全部
102056,上海交通大学附属中学,上海市,待补充,2000,171,9,760.5,1,760.5,市重点,5,全部
142002,上海交通大学附属中学嘉定分校,嘉定区,待补充,2000,67,10,759,122,759,市重点,5,部分
102057,复旦大学附属中学,上海市,待补充,2000,150,10,758,1,758,市重点,5,全部
152003,华东师范大学第二附属中学,上海市,待补充,2000,154,10,749,1,749,市重点,5,全部
122001,上海市七宝中学,闵行区,待补充,0,84,6,748,0,748,市重点,5,走读
172002,华东师范大学第二附属中学松江分校,松江区,待补充,0,14,1,748,0,748,市重点,5,走读
73082,华东师范大学第二附属中学（普陀校区）,普陀区,待补充,0,15,6,747.5,0,747.5,市重点,5,走读
102032,上海市控江中学,杨浦区,待补充,0,62,5,746,0,746,市重点,5,走读
42008,上海市南洋模范中学,徐汇区,待补充,0,61,4,745,0,745,市重点,5,走读
42036,复旦大学附属中学徐汇分校,徐汇区,待补充,0,16,3,744,0,744,市重点,5,走读
152005,上海市浦东复旦附中分校,浦东新区,待补充,0,36,4,743,0,743,市重点,5,走读
152001,上海市建平中学,浦东新区,待补充,0,75,4,742.5,0,742.5,市重点,5,走读
152002,上海市进才中学,浦东新区,待补充,0,65,5,741,0,741,市重点,5,走读
182002,复旦大学附属中学青浦分校,青浦区,待补充,0,31,4,741,0,741,市重点,5,走读
133003,华东师范大学第二附属中学（宝山校区）,宝山区,待补充,0,18,3,738.5,0,738.5,市重点,5,走读
12001,上海市格致中学,黄浦区,待补充,0,38,5,738,0,738,市重点,4,走读
72002,上海市曹杨第二中学,普陀区,待补充,0,49,12,737.5,0,737.5,市重点,5,走读
52002,上海市延安中学,长宁区,待补充,0,57,5,737,0,737,市重点,5,走读
12003,上海市大同中学,黄浦区,待补充,0,45,4,737,0,737,市重点,4,走读
92001,上海市复兴高级中学,虹口区,待补充,0,45,5,735.5,0,735.5,市重点,4,走读
72001,上海市晋元高级中学,普陀区,待补充,0,48,10,732.5,0,732.5,市重点,5,走读
132003,上海师范大学附属中学宝山分校,宝山区,待补充,0,8,2,730,0,730,市重点,4,走读
151078,上海中学东校,浦东新区,待补充,0,44,2,729,0,729,市重点,4,走读
122002,华东师范大学第二附属中学闵行紫竹分校,闵行区,待补充,0,40,3,728.5,0,728.5,市重点,4,走读
132001,上海市行知中学,宝山区,待补充,0,57,6,728.5,0,728.5,市重点,4,走读
142001,上海市嘉定区第一中学,嘉定区,待补充,2000,57,9,728,100,728,市重点,5,部分
182001,上海市青浦高级中学,青浦区,待补充,0,65,10,728,0,728,市重点,4,走读
62002,上海市育才中学,静安区,待补充,0,38,10,727,0,727,市重点,4,走读
172001,上海市松江二中,松江区,待补充,0,56,3,727,0,727,市重点,4,走读
202001,上海市奉贤中学,奉贤区,待补充,0,51,2,727,0,727,市重点,4,走读
122003,上海师范大学附属中学闵行分校,闵行区,待补充,0,42,2,722.5,0,722.5,市重点,4,走读
174003,上海外国语大学附属外国语学校松江云间中学,松江区,待补充,0,40,5,722.5,0,722.5,市重点,4,走读
52001,上海市第三女子中学,长宁区,待补充,0,48,4,722,0,722,市重点,4,走读
162000,上海市金山中学,金山区,待补充,0,48,2,721,0,721,市重点,4,走读
62004,上海市市北中学,静安区,待补充,0,45,3,718.5,0,718.5,市重点,4,走读
153001,上海市洋泾中学,浦东新区,待补充,0,62,4,717.5,0,717.5,市重点,4,走读
93001,上海财经大学附属北郊高级中学,虹口区,待补充,0,35,2,717.5,0,717.5,区重点,3,走读
73003,上海市宜川中学,普陀区,待补充,0,48,7,717,0,717,市重点,4,走读
102004,上海市杨浦高级中学,杨浦区,待补充,0,59,5,716.5,0,716.5,市重点,4,走读
123001,上海市闵行中学,闵行区,待补充,0,81,12,714.5,0,714.5,市重点,4,走读
42035,上海市位育中学,徐汇区,待补充,0,52,2,713.5,0,713.5,市重点,4,走读
43015,上海市南洋中学,徐汇区,待补充,0,47,2,713,0,713,市重点,4,走读
132002,上海大学附属中学,宝山区,待补充,0,55,9,712.5,0,712.5,市重点,4,走读
62003,上海市新中高级中学,静安区,待补充,0,50,4,712,0,712,市重点,4,走读
92002,华东师范大学第一附属中学,虹口区,待补充,0,36,5,711.5,0,711.5,市重点,4,走读
153005,上海市川沙中学,浦东新区,待补充,0,56,6,710,0,710,市重点,4,走读
103002,同济大学第一附属中学,杨浦区,待补充,0,64,5,709,0,709,市重点,4,走读
12010,上海市卢湾高级中学,黄浦区,待补充,0,37,6,708,0,708,市重点,4,走读
133001,上海市吴淞中学,宝山区,待补充,0,59,13,705,0,705,市重点,4,走读
173001,上海市松江一中,松江区,待补充,0,56,4,704.5,0,704.5,市重点,4,走读
512000,上海市崇明中学,崇明区,待补充,0,38,4,704.5,0,704.5,市重点,4,走读
183002,上海市朱家角中学,青浦区,待补充,0,59,7,704,0,704,区重点,3,走读
152004,上海南汇中学,浦东新区,待补充,0,80,14,703.5,0,703.5,市重点,4,走读
64001,上海市华东模范中学,静安区,待补充,0,24,2,702.5,0,702.5,一般,2,走读
53004,上海市复旦中学,长宁区,待补充,0,35,4,700.5,0,700.5,市重点,4,走读
42001,上海市第二中学,徐汇区,待补充,0,29,5,695.5,0,695.5,市重点,3,走读
153004,上海市高桥中学,浦东新区,待补充,0,48,7,695.5,0,695.5,区重点,3,走读
152006,上海师范大学附属中学,上海市,待补充,1500,85,3,692,1,692,市重点,4,走读
12008,上海市光明中学,黄浦区,待补充,0,35,1,682.5,0,682.5,市重点,3,走读
163002,华东师范大学第三附属中学,金山区,待补充,0,54,3,681,0,681,区重点,3,走读
12005,上海市向明中学,黄浦区,待补充,0,31,0,0,0,0,市重点,4,走读
12007,上海外国语大学附属大境中学,黄浦区,待补充,0,36,0,0,0,0,市重点,4,走读
12009,上海市敬业中学,黄浦区,待补充,0,36,0,0,0,0,市重点,4,走读
12002,上海市格致中学（奉贤校区）,黄浦区,待补充,0,25,0,0,0,0,市重点,4,走读
12006,上海市向明中学（浦江校区）,黄浦区,待补充,0,20,0,0,0,0,市重点,4,走读
42002,上海市第二中学（梅陇校区）,徐汇区,待补充,0,30,0,0,0,0,市重点,4,走读
54013,华东政法大学附属中学,长宁区,待补充,0,24,0,0,0,0,市重点,4,走读
62001,上海市市西中学,静安区,待补充,0,47,0,0,0,0,市重点,4,走读
73004,上海市曹杨中学,普陀区,待补充,0,61,0,0,0,0,市重点,4,走读
74005,同济大学第二附属中学,普陀区,待补充,0,56,0,0,0,0,市重点,4,走读
103039,上海理工大学附属中学,杨浦区,待补充,0,52,0,0,0,0,市重点,4,走读
122004,上海交通大学附属中学闵行分校,闵行区,待补充,0,41,0,0,0,0,市重点,4,走读
