序号,学校 招生代码,学校名称,所属区,办别,学校类型,寄宿情况,合计,其中:市级优秀体育学生,其中:市级艺术骨干学生
1,42032,上海市上海中学,上海市,公办,市实验性示范性高中,全部寄宿,153,0,0
2,102056,上海交通大学附属中学,上海市,公办,市实验性示范性高中,部分寄宿,171,8,3
3,102057,复旦大学附属中学,上海市,公办,市实验性示范性高中,部分寄宿,150,4,6
4,152003,华东师范大学第二附属中学,上海市,公办,市实验性示范性高中,部分寄宿,154,3,2
5,152006,上海师范大学附属中学,上海市,公办,市实验性示范性高中,部分寄宿,85,6,7
6,155001,上海市实验学校,上海市,公办,市实验性示范性高中,部分寄宿,28,1,2
7,12001,上海市格致中学,黄浦区,公办,市实验性示范性高中,部分寄宿,38,3,6
8,12003,上海市大同中学,黄浦区,公办,市实验性示范性高中,部分寄宿,45,9,7
9,12005,上海市向明中学,黄浦区,公办,市实验性示范性高中,无寄宿,31,5,3
10,12007,上海外国语大学附属大境中学,黄浦区,公办,市实验性示范性高中,部分寄宿,36,5,2
11,12008,上海市光明中学,黄浦区,公办,市实验性示范性高中,无寄宿,35,4,2
12,12009,上海市敬业中学,黄浦区,公办,市实验性示范性高中,无寄宿,36,5,2
13,12010,上海市卢湾高级中学,黄浦区,公办,市实验性示范性高中,部分寄宿,37,2,6
14,12002,上海市格致中学（奉贤校区）,黄浦区,公办,"享受市实验性示范性高中
招生政策高中",全部寄宿,25,2,2
15,12006,上海市向明中学（浦江校区）,黄浦区,公办,"享受市实验性示范性高中
招生政策高中",全部寄宿,20,0,0
16,42001,上海市第二中学,徐汇区,公办,市实验性示范性高中,无寄宿,29,0,3
17,42008,上海市南洋模范中学,徐汇区,公办,市实验性示范性高中,部分寄宿,61,5,10
18,42035,上海市位育中学,徐汇区,公办,市实验性示范性高中,全部寄宿,52,3,3
19,43015,上海市南洋中学,徐汇区,公办,市实验性示范性高中,部分寄宿,47,8,3
20,42002,上海市第二中学（梅陇校区）,徐汇区,公办,"享受市实验性示范性高中
招生政策高中",全部寄宿,30,5,0
21,42036,复旦大学附属中学徐汇分校,徐汇区,公办,"享受市实验性示范性高中
招生政策高中",全部寄宿,16,0,0
22,44109,上海市徐汇中学,徐汇区,公办,"区实验性示范性高中
（市特色普通高中）",无寄宿,65,2,8
23,44223,上海市紫竹园中学,徐汇区,公办,市特色普通高中,无寄宿,28,0,0
24,52001,上海市第三女子中学,长宁区,公办,市实验性示范性高中,部分寄宿,48,10,12
25,52002,上海市延安中学,长宁区,公办,市实验性示范性高中,全部寄宿,57,10,10
26,53004,上海市复旦中学,长宁区,公办,市实验性示范性高中,全部寄宿,35,5,3
27,54013,华东政法大学附属中学,长宁区,公办,"区实验性示范性高中
（市特色普通高中）",无寄宿,24,0,0
28,62001,上海市市西中学,静安区,公办,市实验性示范性高中,无寄宿,47,4,8
29,62002,上海市育才中学,静安区,公办,市实验性示范性高中,全部寄宿,38,2,2
30,62003,上海市新中高级中学,静安区,公办,市实验性示范性高中,部分寄宿,50,11,5
31,62004,上海市市北中学,静安区,公办,市实验性示范性高中,无寄宿,45,4,4
32,62011,上海市回民中学,静安区,公办,市实验性示范性高中,部分寄宿,35,8,0
33,63004,上海市第六十中学,静安区,公办,市实验性示范性高中,无寄宿,33,3,3
34,64001,上海市华东模范中学,静安区,公办,市实验性示范性高中,无寄宿,24,5,0
35,72001,上海市晋元高级中学,普陀区,公办,市实验性示范性高中,全部寄宿,48,3,2
36,72002,上海市曹杨第二中学,普陀区,公办,市实验性示范性高中,部分寄宿,49,5,2
37,73003,上海市宜川中学,普陀区,公办,市实验性示范性高中,无寄宿,48,2,3
38,73082,"华东师范大学第二附属中学
（普陀校区）",普陀区,公办,"享受市实验性示范性高中
招生政策高中",部分寄宿,15,0,0
39,73004,上海市曹杨中学,普陀区,公办,"区实验性示范性高中
（市特色普通高中）",部分寄宿,61,0,2
40,74005,同济大学第二附属中学,普陀区,公办,"区实验性示范性高中
（市特色普通高中）",无寄宿,56,0,0
41,74007,上海市甘泉外国语中学,普陀区,公办,"区实验性示范性高中
（市特色普通高中）",部分寄宿,59,3,0
42,92001,上海市复兴高级中学,虹口区,公办,市实验性示范性高中,部分寄宿,45,6,3
43,92002,华东师范大学第一附属中学,虹口区,公办,市实验性示范性高中,部分寄宿,36,3,0
44,93001,上海财经大学附属北郊高级中学,虹口区,公办,市实验性示范性高中,无寄宿,35,5,3
45,102004,上海市杨浦高级中学,杨浦区,公办,市实验性示范性高中,部分寄宿,59,3,6
46,102032,上海市控江中学,杨浦区,公办,市实验性示范性高中,部分寄宿,62,2,10
47,103002,同济大学第一附属中学,杨浦区,公办,市实验性示范性高中,部分寄宿,64,16,6
48,103039,上海理工大学附属中学,杨浦区,公办,"区实验性示范性高中
（市特色普通高中）",无寄宿,52,0,2
49,122001,上海市七宝中学,闵行区,公办,市实验性示范性高中,部分寄宿,84,18,6
50,123001,上海市闵行中学,闵行区,公办,市实验性示范性高中,部分寄宿,81,18,3
51,122002,"华东师范大学第二附属中学
闵行紫竹分校",闵行区,公办,"享受市实验性示范性高中
招生政策高中",部分寄宿,40,3,3
52,122003,上海师范大学附属中学闵行分校,闵行区,公办,"享受市实验性示范性高中
招生政策高中",部分寄宿,42,3,5
53,122004,上海交通大学附属中学闵行分校,闵行区,公办,"享受市实验性示范性高中
招生政策高中",部分寄宿,41,3,0
54,124006,上海市闵行第三中学,闵行区,公办,市特色普通高中,部分寄宿,75,0,0
55,132001,上海市行知中学,宝山区,公办,市实验性示范性高中,部分寄宿,57,5,3
56,132002,上海大学附属中学,宝山区,公办,市实验性示范性高中,部分寄宿,55,3,3
57,133001,上海市吴淞中学,宝山区,公办,市实验性示范性高中,部分寄宿,59,5,6
58,132003,上海师范大学附属中学宝山分校,宝山区,公办,"享受市实验性示范性高中
招生政策高中",全部寄宿,8,0,0
59,133003,"华东师范大学第二附属中学
（宝山校区）",宝山区,公办,"享受市实验性示范性高中
招生政策高中",全部寄宿,18,0,0
60,133002,上海师范大学附属宝山罗店中学,宝山区,公办,"区实验性示范性高中
（市特色普通高中）",全部寄宿,76,0,0
61,142001,上海市嘉定区第一中学,嘉定区,公办,市实验性示范性高中,部分寄宿,57,9,3
62,142002,上海交通大学附属中学嘉定分校,嘉定区,公办,"享受市实验性示范性高中
招生政策高中",部分寄宿,67,3,10
63,143001,上海市嘉定区第二中学,嘉定区,公办,"区实验性示范性高中
（市特色普通高中）",部分寄宿,81,0,0
64,152001,上海市建平中学,浦东新区,公办,市实验性示范性高中,部分寄宿,75,9,10
65,152002,上海市进才中学,浦东新区,公办,市实验性示范性高中,全部寄宿,65,6,3
66,152004,上海南汇中学,浦东新区,公办,市实验性示范性高中,部分寄宿,80,3,5
67,153001,上海市洋泾中学,浦东新区,公办,市实验性示范性高中,部分寄宿,62,3,3
