招生学校,录取最低分,是否同分优待,语数外,,数学,语文,综合测试
上海市第二中学,683.5,否,396.5,,132,129,136
上海市第二中学(梅陇校区),684.5,否,399.5,,124,131,140
上海市南洋模范中学,693,否,410,,136,130,137
上海市上海中学,710,否,421,,140,134,144
上海市位育中学,687,否,398,,128,125,142
复旦大学附属中学徐汇分校,702,否,413,,139,129,143
上海市南洋中学,677,否,403,,121,134,132
上海市民办西南高级中学,574.5,否,330.5,,99,123,103
上海市中国中学,653.5,否,378.5,,125,121,134
上海市第五十四中学,636,否,381.5,,129,119,116
上海市徐汇中学,663,否,385,,129,122,133
上海市第四中学,643.5,否,377,,114,122,123
上海市零陵中学,631,否,365,,120,123,129
华东理工大学附属中学,622,否,361.5,,105,119,119
上海市西南位育中学,663.5,否,381.5,,116,130,136
上海市西南模范中学,607,否,355,,108,120,120
上海市紫竹园中学,603.5,否,355,,90,125,105.5
上海市徐汇区董恒甫高级中学,596,否,349,,118,117,115
上海市同济黄浦设计创意中学,628,否,367,,105,123,116
上海市久隆模范中学,线上无人投档,,,,,,
上海田家炳中学,649,否,367,,112,128,141
上海市民办扬波中学,617.5,否,344,,108,119,130
上海戏剧学院附属高级中学(艺术班),614.5,否,366,,113,130,108
上海安生学校,573,否,323,,101,115,112
上海音乐学院附属安师实验中学(艺术班),613,否,347.5,,131,121,129
上海交通大学附属中学,709,否,420,,142,133,143
复旦大学附属中学,708.5,否,423,,143,141,142
上海市民办文绮中学,642,否,369,,116,128,128
上海市民办燎原双语高级中学,608.5,否,355,,108,119,117
上海闵行区诺达双语学校,570,否,331,,95,117,104
上海民办行中中学,572.5,否,333.5,,95,122,99
上海创艺高级中学,528.5,否,290,,80,120,102
上海金瑞学校,569,否,323,,90,129,107
上海宝山区世外学校,673,否,390,,129,119,138
上海市民办远东学校,595.5,否,351.5,,107,124,112
上海华旭双语学校,543,否,310.5,,80,119,101
上海嘉定区民办华盛怀少学校,546,否,319.5,,93,112,97
华东师范大学第二附属中学,708.5,否,422.5,,138,136,139
上海师范大学附属中学,692,否,405,,134,131,141
上海市民办金苹果学校,588,否,335,,117,120,121
上海浦东新区民办东鼎外国语学校,605.5,否,350,,116,120,125
上海市民办尚德实验学校,641.5,否,369.5,,126,119,132
上海市民办交大南洋中学,597.5,否,341.5,,114,122,120
上海金山区世外学校,633,否,367,,118,127,125
上海市松江九峰实验学校,653.5,否,377.5,,116,125,131
上海市西外外国语学校,585,否,336,,97,116,114
上海赫贤学校,616,否,359,,110,119,113
上海青浦区世外高级中学,665.5,否,390.5,,121,125,134
上海奉贤区博华双语学校,586.5,否,338.5,,100,115,116
上海民办民一中学,567,否,303.5,,100,123,125
