代码,招生学校,录取最低分,是否同分优待,语数外,数学,语文,综合测试,备 注
73082,华东师范大学第二附属中学（普陀）,696,否,407,129,132,144,
72002,上海市曹杨第二中学,684.5,否,405.5,134,129,135,
72001,上海市晋元高级中学,677.5,否,391,118,129,141,
73003,上海市宜川中学,671,否,391,118,133,137,
73004,上海市曹杨中学,659,否,392,126,129,122,
74007,上海市甘泉外国语中学,649.5,否,376.5,118,130,129,
74005,同济大学第二附属中学,641,否,379,115,121,119,
74010,上海市长征中学,624.5,否,369,118,124,120,
74016,上海音乐学院附属安师实验中学,609.5,否,341.5,109,113,126,
74307,上海市甘泉外国语中学,604,否,355.5,104,118,115,限招甘泉外国语中学初三法语班报考法语的应届学生。
74407,上海市甘泉外国语中学,604,否,358,104,124,115,限招甘泉外国语中学初三西班牙语班报考西班牙语的应届学生。
74011,上海市桃浦中学,594,否,336.5,103,113,119,
74018,上海华东师范大学附属进华中学,582.5,否,328.5,114,117,120,
79016,上海音乐学院附属安师实验中学,580.5,否,337.5,96,115,103,只招收经学校艺术特长测试合格的学生。
74107,上海市甘泉外国语中学,578,否,331,114,116,113,限招甘泉外国语中学初三日语班报考日语的应届学生。
75013,上海培佳双语学校,574,否,320,94,124,113,
74207,上海市甘泉外国语中学,558,否,316,102,104,105,限招甘泉外国语中学初三德语班报考德语的应届学生。
74081,上海安生学校,518,否,280,77,116,94.5,
42032,上海市上海中学,712.5,否,423.5,143,135,142,
102056,上海交通大学附属中学,708.5,否,418.5,141,134,142,
102057,复旦大学附属中学,712,否,424,136,141,141,
152006,上海师范大学附属中学,697,否,410,140,130,143,
152003,华东师范大学第二附属中学,708.5,否,421,142,134,139,
13002,上海市五爱高级中学,658,否,383.5,111,129,136,
14006,上海市同济黄浦设计创意中学,628.5,否,357.5,119,118,135,
63008,上海市久隆模范中学,612,否,345.5,122,120,125,
64020,上海田家炳中学,653.5,否,389.5,122,127,129,
64021,上海市民办扬波中学,570.5,否,327.5,121,111,112,
64023,上海市民办新和中学,612.5,否,358,111,114,116,
64024,上海市民办风范中学,563,否,323,95,112,103,
69004,上海戏剧学院附属高级中学,605,否,352,112,121,116,只招收经学校艺术特长测试合格的学生。
124109,上海市民办文绮中学,659.5,否,388.5,115,133,126,
124116,上海市民办燎原双语高级中学,562.5,否,319,98,116,109.5,
125117,上海闵行区诺达双语学校,566.5,否,323,89,115,117,
134010,上海民办行中中学,529.5,否,300,83,122,91,
134012,上海存志高级中学,646,否,392,121,129,119,
134013,上海宝山区民办维尚高级中学,652.5,否,387.5,116,128,120,
134014,上海创艺高级中学,,,,,,,在最低投档控制分数线上无考生录取。
134015,上海市宝山华曜高级中学,643,否,376,120,121,124,
135003,上海金瑞学校,656,否,379,108,130,130,
135034,上海宝山区世外学校,673.5,否,397.5,119,131,130,
145018,上海华旭双语学校,540,否,293,94,114,114,
145030,上海嘉定区民办华盛怀少学校,542.5,否,311.5,88,118,96,
154033,上海市浦东新区民办浦实高级中学,529,否,301.5,88,112,92,
154039,上海市民办丰华高级中学,545,否,318.5,80,124,93,
154048,民办上海工商外国语职业学院附属中学,550.5,否,304,87,127,108,
155013,上海市民办金苹果学校,524,否,272.5,88,102,124,
155041,上海浦东新区民办东鼎外国语学校,580,否,338,106,112,109,
155043,上海市民办尚德实验学校,637,否,376,109,129,119,
164005,上海市民办交大南洋中学,556,否,312,80,111,105,
164008,上海市民办永昌中学,,,,,,,在最低投档控制分数线上无考生录取。
165004,上海金山区世外学校,644,否,379,121,125,126,
173002,上海市松江区科德高级中学,,,,,,,在最低投档控制分数线上无考生录取。
175018,上海市西外外国语学校,523.5,否,302.5,91,99,96,
175024,上海赫贤学校,565.5,否,328.5,98,115,97,
184006,上海青浦区世外高级中学,656,否,383,115,126,130,
184007,上海青浦区宏润博源高级中学,525,否,284.5,73,106,107.5,
185008,上海宋庆龄学校,654,否,377,115,121,128,
185014,上海青浦区协和双语学校,601.5,否,360.5,122,117,101,
204020,上海美达菲双语高级中学,533.5,否,300,98,120,96.5,
205006,上海奉贤区博华双语学校,525,否,308,99,104,90,
514010,上海民办民一中学,495.5,否,277,72,108,98,
