招生代码,招生学校,录取最低分,是否 同分优待,语数外,数学,语文,综合测试
42032,上海市上海中学,706.5,否,422.5,137,139,137
102056,上海交通大学附属中学,706.5,否,417.5,143,130,144
102057,复旦大学附属中学,706.5,否,416,137,134,144
152003,华东师范大学第二附属中学,706,否,417,135,135,144
152001,上海市建平中学,695,否,411,130,134,140
152002,上海市进才中学,690.5,否,409,132,131,138
152004,上海南汇中学,671.5,否,395.5,136,123,134
152006,上海师范大学附属中学,689,否,409,131,134,137
153001,上海市洋泾中学,682.5,否,405.5,130,132,132
153005,上海市川沙中学,680.5,否,395.5,123,128,139
155001,上海市实验学校,701,否,409.5,136,128,142
151078,上海中学东校,685,否,400,129,130,140
152005,上海市浦东复旦附中分校,697,否,414,133,133,135
153004,上海市高桥中学,669,否,390.5,132,122,137
152007,上海市建平中学筠溪分校,689.5,否,411,130,135,137
152008,上海市进才中学根林分校,686.5,否,404.5,131,129,140.5
152009,上海市川沙中学友仁分校,665,否,392.5,134,128,136
153002,华东师范大学附属东昌中学,668,是,377.5,118,132,129
153003,上海市上南中学,648,否,366,123,107,135
153006,上海市三林中学,636.5,否,367.5,112,113,130
153007,上海市杨思高级中学,628.5,否,369,114,118,121
153008,上海市新川中学,644.5,否,380,127,122,134
153009,华东师范大学附属周浦中学,651,否,391,125,132,123
153010,上海海洋大学附属大团高级中学,603,否,346,110,127,118
153011,上海市新场中学,578.5,否,336,107,130,107
153012,华东理工大学附属浦东科技高级中学,659,否,389,120,129,131
154003,上海市文建中学,598,否,342,104,116,121
154008,上海市泾南中学,574.5,否,318.5,127,101,122
154009,上海市香山中学,612.5,否,358,103,126,111
154010,上海市沪新中学,563.5,否,339.5,102,116,90
154011,上海市陆行中学,637,否,381,114,132,123
154012,上海市浦东中学,590,否,351.5,114,121,105
154013,上海海事大学附属北蔡高级中学,661,否,393,132,126,129
154015,上海市育民中学,614.5,否,365,107,120,110
154016,上海市高行中学,629.5,否,388,135,121,106
154017,上海第二工业大学附属龚路中学,592.5,否,348,104,114,110
154020,上海市江镇中学,580.5,否,320,92,117,124
154024,华东师范大学张江实验中学,616.5,否,372.5,112,122,104
154026,上海市三林中学东校,573.5,否,322,101,117,114
154033,上海市浦东新区民办浦实高级中学,518,否,286.5,87,106,104.5
154037,上海市民办育辛高级中学,531,否,296.5,93,104,112
154039,上海市民办丰华高级中学,524.5,否,304.5,96,110,95
154044,上海市建平世纪中学,622.5,否,368.5,116,119,115
154045,上海市高东中学,566.5,否,329,89,112,99
154046,上海交通大学附属中学浦东实验高中,604,否,352.5,108,123,120
154047,上海市祝桥高级中学,565,否,312,96,119,116
154048,民办上海工商外国语职业学院附属中学,518,否,288,112,86,103
154050,上海市南汇第一中学,608,否,341.5,117,117,126
154051,上海市老港中学,551.5,否,300,111,120,128
154052,上海市泥城中学,543,否,292,103,113,119
154053,上海市吴迅中学,558.5,否,332,103,117,108
155002,上海市长岛中学,581,否,349,113,103,108
151082,上海民办光华中学,589,否,353,105,118,101
155013,上海市民办金苹果学校,518.5,否,294.5,57,111,96
155041,上海浦东新区民办东鼎外国语学校,519.5,否,293.5,85,111,93
