学校代码,学校名称,录取最低分,是否同分优待,语数外,数学,语文,综合测试
42032,上海市上海中学,706.5,否,418,137,137,141
64020,上海田家炳中学,630.5,否,364.5,121,115,126
69004,上海戏剧学院附属高级中学（艺术班）,644,否,384,116,124,114
74081,上海安生学校,572,否,336,94,128,94
79016,上海音乐学院附属安师实验中学（艺术班）,552.5,否,319.5,94,115,98
102056,上海交通大学附属中学,704.5,否,423.5,146,132,139
102057,复旦大学附属中学,706.5,否,418.5,139,135,141
134010,上海民办行中中学,533.5,否,294.5,88,107,109
134012,上海存志高级中学,625,否,374.5,106,131,119
134014,上海创艺高级中学,597,否,331.5,97,120,125
134015,上海市宝山华曜高级中学,594,否,350,92,134,100
135034,上海宝山区世外学校,657,否,387.5,118,129,129
145030,上海嘉定区民办华盛怀少学校,607,否,359,108,113,109
152003,华东师范大学第二附属中学,704.5,否,412.5,139,134,141
152006,上海师范大学附属中学,696.5,否,414,143,129,142
155041,上海浦东新区民办东鼎外国语学校,线上无生源,,,,,
155043,上海市民办尚德实验学校,635.5,否,373,100,137,120
162000,上海市金山中学,667.5,否,394.5,125,130,130
163000,上海市张堰中学,626.5,否,365.5,112,124,126
163001,上海师范大学第二附属中学,601.5,否,348.5,111,114,116
163002,华东师范大学第三附属中学,655.5,否,373.5,120,126,141
164000,华东师范大学附属枫泾中学,578,否,354.5,108,124,92.5
164002,上海体育大学附属金山亭林中学,545.5,否,320.5,98,112,95
164005,上海市民办交大南洋中学,519,否,292.5,89,115,97
164008,上海市民办永昌中学,518.5,否,283,88,106,113
165004,上海金山区世外学校,639.5,否,377.5,118,125,123
175018,上海市西外外国语学校,530.5,否,311,97,116,84
175024,上海赫贤学校,620,否,357.5,113,125,125
184006,上海青浦区世外高级中学,604.5,否,351.5,109,120,114
204020,上海美达菲双语高级中学,线上无生源,,,,,
205006,上海奉贤区博华双语学校,584.5,否,330.5,98,120,115
514010,上海民办民一中学,507,否,292,76,119,87
