招生学校,录取最低分 (含政策性加分),是否同分优待,语数外,数学,语文,综合测试
上海市上海中学,706,否,419,142,134,143
上海田家炳中学,637.5,否,379,116,127,120
上海戏剧学院附属高级中学(艺术班》,629.5,否,375.5,112,133,120
上海安生学校,537.5,否,313.5,95,123,92
上海音乐学院附属安师实验中学(艺术班),582.5,否,343,105,116,99
上海交通大学附属中学,706,否,417,140,131,143
复旦大学附属中学,705.5,否,419.5,145,130,139
上海市民办燎原双语高级中学,570.5,否,334.5,107,124,103
上海闵行区诺达双语学校,/,/,/,/,/,/
上海民办行中中学,566.5,否,328,100,104,106
上海存志高级中学,584.5,否,336.5,121,125,119
上海创艺高级中学,/,/,/,/,/,/
上海市宝山华曙高级中学,652.5,否,384,115,129,128
上海市同洲模范学校,5420,否,317,94,117,97
上海宝山区世外学校,676,否,389,117,128,143
上海市民办远东学校,574,否,328,102,120,115
上海华旭双讲学校,/,/,/,/,/,/
上海嘉定区民办华盛怀少学校,/,/,/,/,/,/
华东师范大学第二附属中学,708,否,419,143,128,144
上海师范大学附属中学,689,否,405,131,133,141
上海市民办丰华高级中学,568.5,否,338,94,126,99
上海浦东新区民办东鼎外国语学校,566,否,327.5,110,120,112
上海市民办尚德实验学校,627,否,360,123,124,125
上海市民办交大南洋中学,571.5,否,336.5,113,128,105
上海市民办永昌中学,552,否,315,91,124,105
上海金山区世外学校,630,否,376,116,125,115
上海市松江区科德高级中学,598,否,357,99,120,108
上海市西外外国语学校,567,否,328,90,114,102
上海赫贤学校,/,/,/,/,/,/
上海市青浦高级中学,666,否,401,130,128,125
复旦大学附属中学青浦分校,689,否,407,133,130,137
上海市朱家角中学,651,否,391,130,123,123
上海市青浦区第二中学,580,否,334,101,116,109
E海市青浦区东湖中学,609,否,359,143,123,114
上海市青浦区第一中学,632.5,否,381,119,134,110
上海青浦区世外高级中学,570.5,否,342,90,116,94
上海青浦区宏润博源高级中学,559.5,否,329.5,104,123,99
上海宋庆龄学校,643,否,377,122,120,131
E海青浦区协和双语学校,525.5,否,307,93,110,85
上海美达菲双语高级中学,539,否,312,96,110,105
上海民办民一中学,543.5,否,310,99,111,103
