区名称,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,末位录取考生成绩,末位录取考生成绩,末位录取考生成绩,末位录取考生成绩
区名称,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,语数外,数学,语文,综合测试
嘉定区,上海市格致中学,738,否,404,132,132,140
嘉定区,上海市大同中学,737,否,402,133,128,142
嘉定区,上海市光明中学,682.5,否,378,126,123,111
嘉定区,上海市卢湾高级中学,708,否,389,120,128,127
嘉定区,上海市第二中学,695.5,否,375.5,122,122,131
嘉定区,上海市南洋模范中学,745,否,410,137,130,141
嘉定区,上海市上海中学,763.5,否,424.5,150,131,141
嘉定区,上海市位育中学,713.5,否,393.5,126,122,130
嘉定区,复旦大学附属中学徐汇分校,744,否,409,133,130,139
嘉定区,上海市南洋中学,713,否,394,126,128,119
嘉定区,上海市第三女子中学,722,否,396.5,131,130,131
嘉定区,上海市延安中学,737,否,402.5,129,132,140
嘉定区,上海市复旦中学,700.5,否,373.5,110,127,135
嘉定区,上海市育才中学,727,否,400,124,132,133
嘉定区,上海市新中高级中学,712,否,398,126,130,122
嘉定区,上海市市北中学,718.5,否,383.5,123,120,140
嘉定区,上海市华东模范中学,702.5,否,378,115,129,132
嘉定区,上海市晋元高级中学,732.5,否,404,131,133,136
嘉定区,上海市曹杨第二中学,737.5,否,406.5,135,129,136
嘉定区,上海市宜川中学,717,否,391,120,126,131
嘉定区,华东师范大学第二附属中学（普陀校区）,747.5,否,415.5,140,135,140
嘉定区,上海市复兴高级中学,735.5,否,404.5,123,134,136
嘉定区,华东师范大学第一附属中学,711.5,否,383.5,124,127,134
嘉定区,上海财经大学附属北郊高级中学,717.5,否,393.5,125,127,130
嘉定区,上海市杨浦高级中学,716.5,否,398.5,118,133,130
嘉定区,上海市控江中学,746,否,411,136,132,140
嘉定区,上海交通大学附属中学,760.5,否,420.5,145,130,145
嘉定区,复旦大学附属中学,758,否,421,144,132,141
区名称,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,语数外,数学,语文,综合测试
嘉定区,同济大学第一附属中学,709,否,386.5,121,128,130
嘉定区,上海市七宝中学,748,否,411,135,133,141
嘉定区,华东师范大学第二附属中学闵行紫竹分校,728.5,否,394.5,125,129,138
嘉定区,上海师范大学附属中学闵行分校,722.5,否,384.5,117,129,141
嘉定区,上海市闵行中学,714.5,否,396.5,126,133,129
嘉定区,上海市行知中学,728.5,否,394.5,135,122,142
嘉定区,上海大学附属中学,712.5,否,390.5,121,130,129
嘉定区,上海师范大学附属中学宝山分校,730,否,403,137,128,138
嘉定区,上海市吴淞中学,705,否,385,115,131,128
嘉定区,华东师范大学第二附属中学（宝山校区）,738.5,否,409,130,136,135
嘉定区,上海市嘉定区第一中学,728,否,394,123,134,138
嘉定区,上海交通大学附属中学嘉定分校,759,否,419,137,135,144
嘉定区,上海中学东校,729,否,400,130,128,135
嘉定区,上海市建平中学,742.5,否,406,133,129,143
嘉定区,上海市进才中学,741,否,400,127,131,145
嘉定区,华东师范大学第二附属中学,749,否,416.5,135,136,138
嘉定区,上海南汇中学,703.5,否,385.5,119,130,122
嘉定区,上海市浦东复旦附中分校,743,否,408,136,133,141
嘉定区,上海师范大学附属中学,692,否,374.5,119,124,123.5
嘉定区,上海市洋泾中学,717.5,否,385,114,131,122
嘉定区,上海市高桥中学,695.5,否,366.5,113,123,136
嘉定区,上海市川沙中学,710,否,387.5,116,132,128
嘉定区,上海市金山中学,721,否,398,127,132,131
嘉定区,华东师范大学第三附属中学,681,否,375,103,130,116
嘉定区,上海市松江二中,727,否,396.5,121,135,136
嘉定区,华东师范大学第二附属中学松江分校,748,否,415,130,141,137
嘉定区,上海市松江一中,704.5,否,381.5,119,123,127
嘉定区,上海外国语大学附属外国语学校松江云间中学,722.5,否,401,129,125,134
嘉定区,上海市青浦高级中学,728,否,409,136,130,128
嘉定区,复旦大学附属中学青浦分校,741,否,412,138,130,137
区名称,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,语数外,数学,语文,综合测试
嘉定区,上海市朱家角中学,704,否,384,114,131,128
嘉定区,上海市奉贤中学,727,否,391,125,121,138
嘉定区,上海市崇明中学,704.5,否,378.5,109,129,129
