区名称,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,末位录取考生成绩,末位录取考生成绩,末位录取考生成绩,末位录取考生成绩
区名称,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,语数外,数学,语文,综合测试
奉贤区,上海市格致中学（奉贤校区）,727.5,否,393.5,122,131,141
奉贤区,上海市第二中学,664.5,否,350.5,105,122,126
奉贤区,上海市上海中学,759,否,427,144,138,140
奉贤区,上海市位育中学,728,否,398.5,135,125,138
奉贤区,上海市南洋中学,678,否,352,104,128,139
奉贤区,上海市复旦中学,704,否,387,131,123,132
奉贤区,上海市育才中学,707.5,否,383,129,119,137
奉贤区,上海市晋元高级中学,700,否,382.5,117,130,130
奉贤区,上海市宜川中学,702,否,374.5,128,121,141
奉贤区,上海市杨浦高级中学,674.5,否,366.5,104,127,117
奉贤区,上海交通大学附属中学,748.5,否,411.5,141,131,142
奉贤区,复旦大学附属中学,745.5,否,413.5,132,134,138
奉贤区,上海市七宝中学,744.5,否,411.5,132,136,138
奉贤区,上海师范大学附属中学闵行分校,719.5,否,388.5,116,135,135
奉贤区,上海交通大学附属中学闵行分校,752,否,417.5,138,134,143
奉贤区,上海市闵行中学,712,否,392,124,128,132
奉贤区,上海市行知中学,716,否,397,137,127,127
奉贤区,上海大学附属中学,703,否,374.5,117,125,133
奉贤区,上海市吴淞中学,693,否,377.5,100,132,121
奉贤区,上海市嘉定区第一中学,697.5,否,381,112,129,131
奉贤区,上海交通大学附属中学嘉定分校,740,否,407,135,128,138
奉贤区,上海中学东校,718,否,393.5,126,130,136
奉贤区,上海市建平中学,732,否,407,132,130,132
奉贤区,上海市进才中学,734.5,否,401.5,130,130,135
奉贤区,华东师范大学第二附属中学,752.5,否,418.5,138,134,143
奉贤区,上海南汇中学,696,否,373,121,121,132
奉贤区,上海师范大学附属中学,730.5,否,396.5,125,129,140
奉贤区,上海市洋泾中学,715,否,394,127,133,130
区名称,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,语数外,数学,语文,综合测试
奉贤区,上海市高桥中学,681.5,否,371,122,127,120
奉贤区,上海市川沙中学,687.5,否,370.5,111,126,126
奉贤区,上海市金山中学,722,否,387,118,130,140
奉贤区,华东师范大学第三附属中学,691,否,382.5,118,129,118
奉贤区,上海市松江二中,734.5,否,403.5,121,136,133
奉贤区,上海市松江一中,689,否,373,112,127,127
奉贤区,上海外国语大学附属外国语学校松江云间中学,719.5,否,394.5,118,133,131
奉贤区,上海市青浦高级中学,695.5,否,367.5,127,126,135
奉贤区,上海市朱家角中学,687,否,371,120,122,127
奉贤区,上海市奉贤中学,757,否,411,137,134,143
奉贤区,华东师范大学第二附属中学临港奉贤分校,745,否,413.5,135,133,140
奉贤区,上海市崇明中学,676,否,368,109,126,118
