区名称,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,末位录取考生成绩,末位录取考生成绩,末位录取考生成绩,末位录取考生成绩
区名称,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,语数外,数学,语文,综合测试
崇明区,上海市上海中学,755.5,否,418.5,142,130,141
崇明区,上海市育才中学,711,否,382,117,130,134
崇明区,上海市新中高级中学,691,否,381,118,128,123
崇明区,上海市宜川中学,676.5,否,363.5,108,118,120
崇明区,上海市杨浦高级中学,724,否,399,128,130,135
崇明区,上海市控江中学,736,否,391,118,130,133
崇明区,上海交通大学附属中学,740,否,411,144,122,140
崇明区,复旦大学附属中学,749,否,415,133,135,138
崇明区,同济大学第一附属中学,709.5,否,379.5,118,127,138
崇明区,上海师范大学附属中学闵行分校,710,否,377,116,124,137
崇明区,上海市闵行中学,698.5,否,386.5,124,131,121
崇明区,上海市行知中学,717,否,390.5,128,131,133
崇明区,上海大学附属中学,677.5,否,364.5,118,113,127
崇明区,上海师范大学附属中学宝山分校,687.5,否,379,112,126,116
崇明区,上海市吴淞中学,709,否,400,125,133,121
崇明区,华东师范大学第二附属中学（宝山校区）,752.5,否,422.5,142,133,137
崇明区,上海市嘉定区第一中学,736.5,否,404,125,132,138
崇明区,上海市建平中学,738,否,406,130,136,137
崇明区,上海市进才中学,720.5,否,387,122,128,137
崇明区,华东师范大学第二附属中学,759.5,否,419,146,125,146
崇明区,上海南汇中学,687,否,372,116,122,125
崇明区,上海市洋泾中学,713.5,否,383.5,117,125,136
崇明区,上海市高桥中学,689.5,否,379.5,119,123,115
崇明区,上海市川沙中学,694.5,否,376,110,127,130
崇明区,华东师范大学第三附属中学,663.5,否,363.5,113,117,115
崇明区,上海市松江一中,706.5,否,389.5,116,134,124
崇明区,上海外国语大学附属外国语学校松江云间中学,698.5,否,390.5,111,134,112
崇明区,上海市青浦高级中学,703,否,392,122,126,125
区名称,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,语数外,数学,语文,综合测试
崇明区,上海市朱家角中学,664,否,361,121,126,111
崇明区,上海市奉贤中学,744,否,409,135,129,139
崇明区,上海市崇明中学,727,否,395,124,128,139
崇明区,上海市实验学校东滩高级中学,748,否,410,140,131,145
