区名称,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,末位录取考生成绩,末位录取考生成绩,末位录取考生成绩,末位录取考生成绩
区名称,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,语数外,数学,语文,综合测试
徐汇区,上海市格致中学,747,否,409,131,136,141
徐汇区,上海市大同中学,743,否,425,144,137,127
徐汇区,上海市向明中学,726.5,否,400.5,126,135,135
徐汇区,上海外国语大学附属大境中学,717.5,否,388.5,116,134,135
徐汇区,上海市光明中学,715,否,388,131,122,136
徐汇区,上海市敬业中学,715,否,379,127,124,141
徐汇区,上海市卢湾高级中学,708,否,386,127,125,129
徐汇区,上海市第二中学,735.5,否,404.5,135,126,137
徐汇区,上海市第二中学（梅陇校区）,730,否,405,122,137,135
徐汇区,上海市南洋模范中学,751,否,416,142,131,141
徐汇区,上海市上海中学,761.5,否,418.5,143,131,145
徐汇区,上海市位育中学,746.5,否,402.5,136,131,149
徐汇区,复旦大学附属中学徐汇分校,757.5,否,414.5,129,140,144
徐汇区,上海市南洋中学,724.5,否,401.5,133,129,128
徐汇区,上海市第三女子中学,722.5,否,404.5,121,137,126
徐汇区,上海市延安中学,735.5,否,398.5,125,130,141
徐汇区,上海市复旦中学,725.5,否,401.5,136,125,131
徐汇区,上海市市西中学,739,否,407,133,133,138
徐汇区,上海市育才中学,718.5,否,391.5,122,126,132
徐汇区,上海市新中高级中学,708.5,否,378,119,129,139
徐汇区,上海市市北中学,731.5,否,400.5,128,133,135
徐汇区,上海市回民中学,671,否,355,126,115,134
徐汇区,上海市第六十中学,676,否,368,111,125,121
徐汇区,上海市华东模范中学,708,否,379,125,126,133
徐汇区,上海市曹杨第二中学,747.5,否,411,129,135,140
徐汇区,上海市宜川中学,700,否,383,118,131,126
徐汇区,华东师范大学第二附属中学（普陀校区）,750.5,否,417.5,137,132,137
徐汇区,上海财经大学附属北郊高级中学,710,否,388.5,127,124,131
区名称,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,语数外,数学,语文,综合测试
徐汇区,上海市杨浦高级中学,731,否,404,131,127,131
徐汇区,上海市控江中学,737.5,否,410.5,134,137,134
徐汇区,上海交通大学附属中学,751.5,否,413.5,139,131,140
徐汇区,复旦大学附属中学,752.5,否,418.5,133,138,142
徐汇区,同济大学第一附属中学,718.5,否,400.5,131,135,127
徐汇区,上海市七宝中学,750.5,否,413.5,142,132,141
徐汇区,华东师范大学第二附属中学闵行紫竹分校,743,否,410.5,140,131,141
徐汇区,上海师范大学附属中学闵行分校,719.5,否,396.5,127,130,127
徐汇区,上海交通大学附属中学闵行分校,747.5,否,413.5,135,135,138
徐汇区,上海市闵行中学,727.5,否,397.5,126,126,135
徐汇区,上海市行知中学,666.5,否,362.5,106,117,116
徐汇区,上海大学附属中学,720,否,385,128,127,140
徐汇区,上海师范大学附属中学宝山分校,719,否,398,131,126,128
徐汇区,上海市吴淞中学,707.5,否,390,127,132,128
徐汇区,华东师范大学第二附属中学（宝山校区）,744.5,否,417,137,133,132
徐汇区,上海市嘉定区第一中学,704.5,否,383,122,127,126
徐汇区,上海交通大学附属中学嘉定分校,744.5,否,415.5,138,130,134
徐汇区,上海中学东校,724.5,否,399.5,129,129,130
徐汇区,上海市建平中学,750,否,414,138,134,139
徐汇区,上海市进才中学,733.5,否,402,130,133,137
徐汇区,华东师范大学第二附属中学,751.5,否,413.5,140,128,144
徐汇区,上海南汇中学,710,否,381,115,129,135
徐汇区,上海市浦东复旦附中分校,748.5,否,423.5,140,137,131
徐汇区,上海师范大学附属中学,728,否,394.5,127,124,141
徐汇区,上海市洋泾中学,719.5,否,387.5,131,122,137
徐汇区,上海市高桥中学,700,否,385.5,112,135,122
徐汇区,上海市川沙中学,716,否,391,136,119,133
徐汇区,上海市金山中学,726.5,否,399.5,125,134,134
徐汇区,华东师范大学第三附属中学,679,否,372,116,129,119
徐汇区,上海市松江二中,733,否,410,129,135,129
区名称,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,语数外,数学,语文,综合测试
徐汇区,华东师范大学第二附属中学松江分校,748.5,否,411.5,137,131,142
徐汇区,上海市松江一中,707.5,否,379.5,123,124,137
徐汇区,上海外国语大学附属外国语学校松江云间中学,729.5,否,405.5,141,130,129
徐汇区,上海市青浦高级中学,726.5,否,404.5,131,130,131
徐汇区,复旦大学附属中学青浦分校,750.5,否,415.5,140,128,140
徐汇区,上海市朱家角中学,692.5,否,387.5,110,134,110
徐汇区,上海市奉贤中学,739,否,405,133,130,141
徐汇区,华东师范大学第二附属中学临港奉贤分校,726.5,否,400.5,123,135,130
徐汇区,上海市崇明中学,708.5,否,378,117,127,136
