区名称,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,末位录取考生成绩,末位录取考生成绩,末位录取考生成绩,末位录取考生成绩
区名称,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,语数外,数学,语文,综合测试
普陀区,上海市格致中学,740.5,否,405,129,134,142
普陀区,上海市大同中学,726.5,否,400.5,132,129,130
普陀区,上海市向明中学,724,否,400,121,135,128
普陀区,上海外国语大学附属大境中学,705.5,否,379.5,124,117,127
普陀区,上海市光明中学,700.5,否,374,108,126,128
普陀区,上海市敬业中学,726.5,否,400.5,130,131,132
普陀区,上海市卢湾高级中学,702,否,389,119,126,121
普陀区,上海市第二中学,727,否,404,130,129,127
普陀区,上海市南洋模范中学,746.5,否,414,128,139,137
普陀区,上海市上海中学,766,否,423.5,144,133,145
普陀区,上海市位育中学,730.5,否,404.5,135,127,132
普陀区,复旦大学附属中学徐汇分校,759,否,421,142,132,140
普陀区,上海市南洋中学,733,否,401,127,135,135
普陀区,上海市第三女子中学,725,否,398,128,133,133
普陀区,上海市延安中学,739.5,否,404.5,131,129,140
普陀区,上海市复旦中学,723.5,否,392.5,122,129,137
普陀区,上海市市西中学,743,否,408,130,136,144
普陀区,上海市育才中学,734.5,否,401.5,125,134,138
普陀区,上海市新中高级中学,730.5,否,409.5,132,133,130
普陀区,上海市市北中学,727.5,否,403.5,134,130,129
普陀区,上海市回民中学,689.5,否,376.5,107,124,126
普陀区,上海市第六十中学,692,否,385,117,133,113
普陀区,上海市华东模范中学,711.5,否,389.5,119,127,130
普陀区,上海市晋元高级中学,741,否,412,136,131,138
普陀区,上海市曹杨第二中学,750,否,418,134,138,136
普陀区,上海市宜川中学,725.5,否,394,130,126,137
普陀区,华东师范大学第二附属中学（普陀校区）,759,否,419,137,135,141
普陀区,上海市复兴高级中学,746.5,否,407.5,133,130,139
区名称,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,语数外,数学,语文,综合测试
普陀区,华东师范大学第一附属中学,730.5,否,407,138,132,134
普陀区,上海财经大学附属北郊高级中学,684.5,否,377.5,111,131,116
普陀区,上海市杨浦高级中学,717.5,否,390.5,124,123,138
普陀区,上海市控江中学,726,否,402,126,129,130
普陀区,上海交通大学附属中学,757.5,否,420.5,144,133,143
普陀区,复旦大学附属中学,759,否,422,138,135,141
普陀区,同济大学第一附属中学,722.5,否,400,122,137,129
普陀区,上海市七宝中学,755,否,419,138,139,139
普陀区,华东师范大学第二附属中学闵行紫竹分校,744,否,411,139,130,139
普陀区,上海师范大学附属中学闵行分校,718,否,393.5,127,127,133
普陀区,上海交通大学附属中学闵行分校,748.5,否,413.5,138,134,138
普陀区,上海市闵行中学,713,否,385,118,134,133
普陀区,上海市行知中学,736.5,否,401,125,132,142
普陀区,上海大学附属中学,732.5,否,401.5,127,128,136
普陀区,上海师范大学附属中学宝山分校,746,否,413,134,132,137
普陀区,上海市吴淞中学,719.5,否,397.5,124,133,129
普陀区,上海市嘉定区第一中学,723.5,否,389.5,115,128,139
普陀区,上海交通大学附属中学嘉定分校,753.5,否,414.5,140,135,141
普陀区,上海市建平中学,740,否,403,138,123,141
普陀区,上海市进才中学,735,否,401,125,129,139
普陀区,华东师范大学第二附属中学,751.5,否,415,140,130,142
普陀区,上海南汇中学,706,否,384,126,121,129
普陀区,上海市浦东复旦附中分校,755,否,421,138,136,139
普陀区,上海师范大学附属中学,729,否,399,134,130,137
普陀区,上海市洋泾中学,723.5,否,405,125,139,127
普陀区,上海市高桥中学,704.5,否,379,115,130,131
普陀区,上海市川沙中学,715.5,否,382,113,131,139
普陀区,上海市金山中学,710.5,否,387.5,126,125,133
普陀区,华东师范大学第三附属中学,711,否,380.5,119,124,140
普陀区,上海市松江二中,746,否,411.5,133,134,139
区名称,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,语数外,数学,语文,综合测试
普陀区,上海市松江一中,718,否,394,116,135,128
普陀区,上海外国语大学附属外国语学校松江云间中学,715,否,389,117,131,130
普陀区,上海市青浦高级中学,724.5,否,397,126,129,138
普陀区,复旦大学附属中学青浦分校,749,否,417,132,138,137
普陀区,上海市朱家角中学,688.5,否,375.5,119,124,120
普陀区,上海市奉贤中学,732.5,否,397.5,122,133,139
普陀区,上海市崇明中学,714.5,否,393.5,122,131,128
