区名称,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,末位录取考生成绩,末位录取考生成绩,末位录取考生成绩,末位录取考生成绩
区名称,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,语数外,数学,语文,综合测试
杨浦区,上海市格致中学,736.5,否,402.5,126,134,135
杨浦区,上海市大同中学,693,否,365.5,118,121,140
杨浦区,上海市向明中学,734,否,390.5,116,131,144
杨浦区,上海外国语大学附属大境中学,713.5,否,385.5,112,128,137
杨浦区,上海市光明中学,702,否,389.5,120,134,119
杨浦区,上海市敬业中学,718.5,否,390.5,123,126,133
杨浦区,上海市第二中学,724.5,否,398.5,112,138,130
杨浦区,上海市南洋模范中学,748.5,否,419.5,140,133,135
杨浦区,上海市上海中学,756,否,414,140,134,142
杨浦区,上海市位育中学,741.5,否,412,135,137,138
杨浦区,复旦大学附属中学徐汇分校,744.5,否,409,135,132,139
杨浦区,上海市南洋中学,716.5,否,399.5,136,123,128
杨浦区,上海市第三女子中学,713,否,397,114,139,123
杨浦区,上海市延安中学,745.5,否,405.5,127,138,145
杨浦区,上海市复旦中学,724.5,否,393.5,120,131,135
杨浦区,上海市市西中学,688.5,否,376.5,115,124,121
杨浦区,上海市育才中学,720.5,否,394.5,118,131,131
杨浦区,上海市新中高级中学,714,否,389,123,124,132
杨浦区,上海市市北中学,734,否,400.5,138,123,141
杨浦区,上海市回民中学,685,否,371,108,127,125
杨浦区,上海市第六十中学,701,否,372,118,120,138
杨浦区,上海市晋元高级中学,725.5,否,391.5,117,137,138
杨浦区,上海市曹杨第二中学,741.5,否,403,133,128,144
杨浦区,上海市宜川中学,717.5,否,389.5,122,128,135
杨浦区,上海市复兴高级中学,740.5,否,409,132,134,141
杨浦区,华东师范大学第一附属中学,739,否,408.5,135,132,135
杨浦区,上海财经大学附属北郊高级中学,723,否,400,128,133,130
杨浦区,上海市杨浦高级中学,736.5,否,403.5,128,134,138
区名称,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,语数外,数学,语文,综合测试
杨浦区,上海市控江中学,750,否,414,136,134,140
杨浦区,上海交通大学附属中学,751.5,否,418.5,144,130,138
杨浦区,复旦大学附属中学,759.5,是,419.5,140,135,142
杨浦区,同济大学第一附属中学,728,否,402.5,127,129,135
杨浦区,上海市七宝中学,748.5,否,409.5,133,136,141
杨浦区,华东师范大学第二附属中学闵行紫竹分校,722.5,否,399.5,131,123,139
杨浦区,上海师范大学附属中学闵行分校,728.5,否,401.5,131,132,131
杨浦区,上海交通大学附属中学闵行分校,750.5,否,416,137,134,138
杨浦区,上海市闵行中学,712,否,387.5,125,127,133
杨浦区,上海市行知中学,733.5,否,399.5,124,129,141
杨浦区,上海大学附属中学,720.5,否,382.5,123,125,143
杨浦区,上海师范大学附属中学宝山分校,731,否,398.5,132,127,140
杨浦区,上海市吴淞中学,724,否,397,126,133,133
杨浦区,华东师范大学第二附属中学（宝山校区）,737,否,407,128,137,135
杨浦区,上海市嘉定区第一中学,716,否,384.5,110,132,136
杨浦区,上海交通大学附属中学嘉定分校,755,否,419,140,135,138
杨浦区,上海中学东校,734.5,否,401.5,126,133,141
杨浦区,上海市建平中学,748,否,409,136,131,143
杨浦区,上海市进才中学,740,否,401,121,135,143
杨浦区,华东师范大学第二附属中学,752,否,419,140,132,137
杨浦区,上海南汇中学,712.5,否,381.5,120,125,139
杨浦区,上海市浦东复旦附中分校,752.5,否,421,141,137,136
杨浦区,上海市洋泾中学,729.5,否,398.5,127,127,136
杨浦区,上海市高桥中学,713.5,否,381.5,112,129,137
杨浦区,上海市川沙中学,718.5,否,393.5,124,128,131
杨浦区,上海市金山中学,723,否,397,116,136,133
杨浦区,华东师范大学第三附属中学,681.5,否,374,127,124,118
杨浦区,上海市松江二中,730,否,395,129,123,138
杨浦区,华东师范大学第二附属中学松江分校,748.5,否,410.5,128,138,140
杨浦区,上海市松江一中,704,否,390,122,127,125
区名称,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,语数外,数学,语文,综合测试
杨浦区,上海外国语大学附属外国语学校松江云间中学,698,否,389,116,130,115
杨浦区,上海市青浦高级中学,719.5,否,386,124,122,140
杨浦区,复旦大学附属中学青浦分校,740,否,415,134,134,133
杨浦区,上海市朱家角中学,704.5,否,387.5,118,133,124
杨浦区,上海市奉贤中学,727.5,否,398.5,127,128,131
杨浦区,上海市崇明中学,706,否,381,111,130,132
杨浦区,上海市实验学校东滩高级中学,720.5,否,392,138,127,137
